sample_size,rho,innovation,effect,true_effect,simulations,bias,rmse,growing_lag,coverage_student,coverage_nw2,coverage_hac,rejection_student,rejection_nw2,rejection_hac,rejection_sign,rejection_three_025,z_mean,z_sd,z_q025,z_q975
33,0.3,gaussian,moderate,-0.035,10000,-2.09046952229514e-05,0.0281882311961398,3,0.8541,0.8862,0.8722,0.5046,0.4414,0.4532,0.3703,0.23,-0.000734339531244579,0.990244614144942,-1.93124726994002,1.94314930606987
33,0.3,gaussian,application,-0.07,10000,0.00018318396061402,0.0280822734337351,3,0.8565,0.8883,0.8729,0.8922,0.8509,0.8554,0.7749,0.6376,0.00643488088843946,0.986501630100131,-1.9220861331196,1.92194525505804
33,0.3,skewed,null,0,10000,3.47397740649447e-07,0.0279474674158732,3,0.8333,0.8718,0.8586,0.1712,0.144,0.1495,0.3652,0.0939,1.22033778203749e-05,0.981786920337378,-1.72360388726639,2.11189696998118
33,0.3,skewed,moderate,-0.035,10000,-4.2527031381801e-05,0.0283350177908547,3,0.8291,0.8643,0.851,0.5574,0.5071,0.5156,0.7675,0.4067,-0.00149388833260042,0.995400338440073,-1.712755231119,2.12875235151665
33,0.3,skewed,application,-0.07,10000,-8.35708884959772e-05,0.027923028199516,3,0.8336,0.8682,0.8544,0.8515,0.8185,0.8226,0.9516,0.7469,-0.00293567576227796,0.98092398407271,-1.73031896302433,2.08758273225993
33,0.3,t3,null,0,10000,-0.000111486641088881,0.0277282906857861,3,0.8497,0.8922,0.875,0.1174,0.093,0.1,0.0914,0.0329,-0.0039162995147308,0.974079428042489,-1.93490726992178,1.8949343372319
33,0.3,t3,moderate,-0.035,10000,0.000123672641487423,0.028042976333155,3,0.8547,0.8944,0.8823,0.5782,0.512,0.5216,0.5748,0.3372,0.00434436898548712,0.985132542570342,-1.91970557750753,1.93789704022884
33,0.3,t3,application,-0.07,10000,0.000332169702191173,0.0276039162541684,3,0.8537,0.8915,0.8779,0.907,0.879,0.8822,0.9434,0.7955,0.0116684477242655,0.969647849891776,-1.94434084406651,1.91045427575254
33,0.6,gaussian,null,0,10000,3.85293004538201e-05,0.0411177096871863,3,0.6607,0.7873,0.7895,0.2125,0.1439,0.1412,0.1588,0.0847,0.000922224917434388,0.984229027180924,-1.92449137305482,1.92078768317722
33,0.6,gaussian,moderate,-0.035,10000,0.000313647723841846,0.0405902630390153,3,0.6684,0.7911,0.7922,0.508,0.4017,0.3939,0.411,0.2775,0.00750737082730644,0.971575027793309,-1.88644770194428,1.86838504236069
