analysis_role,site_id,lon,lat,moderate_anomaly,extreme_anomaly,anomaly_difference,profile_contribution,contribution_h_0_125,contribution_h_0_250,contribution_h_0_500,contribution_h_1_000,contribution_h_2_000
confirmatory,81,114.6,34.8,2.06087004864569,2.81533235662827,0.754462307982581,-2.66958126236055e-05,-0.00065479590246591,-0.000470744625407442,0.000277091210612602,0.000402307617276924,0.0003126626368658
confirmatory,82,114.6,36.6,1.45902170343164,2.24049846647675,0.781476763045111,0.000257577134954858,0.000148252036734511,0.000160435282569607,0.000506096367209465,0.000304830730411984,0.000168271257848724
confirmatory,83,114.6,38.4,0.874754199343136,1.51641175056766,0.641657551224524,3.82790577701794e-06,0.000132088747514547,0.000106451318171964,0.000122679677362971,-0.000116035769477165,-0.000226044444687227
confirmatory,84,114.6,40.2,-3.96640037711189,-3.45047249501315,0.515927882098742,-0.000279458929225861,0.000438840767674023,0.000381588057550781,-7.60379330390522e-06,-0.000871744708914101,-0.0013383749691361
confirmatory,85,114.6,42,-7.66753048843945,-7.13086174526568,0.536668743173778,-0.00049139628994176,0.000118404002400808,0.000255293910683652,0.000114369605590752,-0.00099877158162839,-0.00194627738675562
confirmatory,86,116.2,24,3.27435447043501,2.23066145763837,-1.04369301279664,-0.000740762905818108,-0.000125108491768393,-0.000186769666938677,-0.000420047654257491,-0.0011947825985659,-0.00177710611756008
confirmatory,87,116.2,25.8,2.6753375668275,1.74161574425453,-0.933721822572975,-0.00069434726698272,-0.000125075710784356,-0.000205522241519324,-0.000425574228878769,-0.00118007711570289,-0.00153548703802826
confirmatory,88,116.2,27.6,4.29939551127195,3.64711068112322,-0.652284830148732,-0.00122532021212201,-0.00032648420583351,-0.000754541136209013,-0.00127271101970207,-0.00185404871123772,-0.00191881598762774
confirmatory,89,116.2,29.4,4.53037575605309,4.17502563945655,-0.355350116596544,-0.0013821810716908,-0.00111997125197898,-0.000980395163885459,-0.00147776898528375,-0.00173554469177333,-0.00159722526553247
confirmatory,90,116.2,31.2,1.03454954802038,1.07873558011311,0.0441860320927299,-0.000794683879423188,-0.000338932074357027,-0.000634874912162221,-0.00111639971347284,-0.00103165502986384,-0.000851557667260016
confirmatory,91,116.2,33,3.00046306865531,3.53490347152726,0.534440402871951,-0.000280759413715302,-0.000420064259626025,-0.000701056627504146,-0.000320390140852958,-2.23492498576103e-06,3.99488843923786e-05
confirmatory,92,116.2,34.8,2.24603062685636,2.8571814349111,0.611150808054731,-0.000331385530696645,-0.000750550350059277,-0.000773205160501987,-0.00025895072227499,5.51191000470815e-05,7.06594793059472e-05
confirmatory,93,116.2,36.6,1.69647942858797,2.39631506874948,0.699835640161513,-5.72225795056516e-05,-0.00042867660195013,-0.000277730697913355,0.000128290209384549,0.000178601646853607,0.000113402546097071
confirmatory,94,116.2,38.4,1.19315874859759,1.89668549930503,0.703526750707449,0.000194636842888338,0.000180832577000246,0.000455414413371499,0.000308301457291147,7.52296362838369e-05,-4.65938695050371e-05
confirmatory,95,116.2,40.2,0.072827999295036,0.563148884406044,0.490320885111008,-0.000223953016305954,-3.02468166708764e-06,-0.000125141994627247,-0.00013969704919737,-0.000345789953016968,-0.000506111403021095
confirmatory,96,116.2,42,-7.37035488083965,-6.89133499185658,0.479019888983062,-0.000351299353907922,0.000224247909448957,0.000346665241811925,0.00019848933601687,-0.000807730384544673,-0.00171816887227269
confirmatory,97,117.8,25.8,1.62873365100259,0.676486466476751,-0.952247184525837,-0.000241023545737133,-1.89357206688825e-05,0.000186171632019379,0.000194578839499143,-0.000562960752930519,-0.00100397172660479
confirmatory,98,117.8,27.6,2.07083079640903,1.33140294248685,-0.739427853922181,-0.000411728454896502,5.94760290125917e-05,8.21193566389209e-05,-0.000143365624367184,-0.000908112978236928,-0.00114875905752991
confirmatory,99,117.8,29.4,3.37267271035805,2.99616125561816,-0.376511454739882,-0.000820327113239772,-0.000174964046837024,-0.000341602641104102,-0.000867605707448087,-0.00136329735151159,-0.00135416581929806
confirmatory,100,117.8,31.2,3.92089353152207,3.9379563149616,0.0170627834395314,-0.000822844101529553,-0.00063445021315475,-0.000577569740401912,-0.000974846967483306,-0.0010313977894701,-0.000895955797137689
confirmatory,101,117.8,33,3.05783353099297,3.40876400814342,0.35093047715045,-0.000530056478278963,-0.000608635225654044,-0.000668431661427559,-0.00064355637029986,-0.00041686390648454,-0.00031279522752881
