year,analysis_role,hours_with_buffer,sites,dewpoint_exceedances_clipped,t2m_min_c,t2m_max_c,sp_min_pa,sp_max_pa,wbt_min_c,wbt_max_c,definitions,same_peak_days,mean_absolute_peak_shift_hours,max_absolute_peak_shift_hours
2004,confirmatory,2232,465,147,2.9291015625000227,40.11898193359377,78170.71875,102026.640625,5.665679931640625,29.444488525390625,2,80,0.14130434782608695,2.0
2005,confirmatory,2232,465,241,2.7023559570312727,43.83257446289065,78149.453125,101801.453125,3.808807373046875,29.364288330078125,2,73,0.31521739130434784,5.0
2006,confirmatory,2232,465,399,1.9500366210937727,42.35531005859377,78253.421875,101455.125,4.759796142578125,29.378936767578125,2,84,0.13043478260869565,5.0
2007,confirmatory,2232,465,292,2.6868225097656477,39.92659912109377,78104.515625,101538.9375,3.712982177734375,29.267791748046875,2,78,0.21739130434782608,5.0
2008,confirmatory,2232,465,253,0.6281982421875227,40.92543945312502,78263.328125,101485.890625,3.806976318359375,29.972198486328125,2,77,0.30434782608695654,5.0
2009,confirmatory,2232,465,195,3.1770874023437727,44.4247985839844,78105.9140625,101922.875,4.071014404296875,30.390655517578125,2,73,0.5434782608695652,5.0
2010,confirmatory,2232,465,346,3.5299926757812727,42.45437011718752,78470.65625,101838.171875,5.821075439453125,30.509490966796875,2,82,0.17391304347826086,5.0
2011,confirmatory,2232,465,198,3.1447082519531477,42.38778076171877,78083.03125,101608.8671875,5.601531982421875,29.880096435546875,2,78,0.18478260869565216,4.0
2012,confirmatory,2232,465,212,1.3639160156250227,41.82753906250002,78235.609375,101724.890625,3.465423583984375,29.228607177734375,2,75,0.2826086956521739,5.0
2013,confirmatory,2232,465,264,2.7045227050781477,42.14162597656252,78136.78125,101659.15625,4.246429443359375,30.030914306640625,2,79,0.2608695652173913,5.0
2014,confirmatory,2232,465,230,2.5404907226562727,41.43850097656252,78312.625,101636.734375,5.086273193359375,29.077423095703125,2,78,0.2608695652173913,5.0
2015,discovery,2232,465,289,3.4428039550781477,42.66594848632815,78061.171875,101469.8203125,4.021820068359375,29.303314208984375,2,76,0.20652173913043478,4.0
2016,confirmatory,2232,465,249,3.0744873046875227,40.02141723632815,78265.859375,101647.4375,6.120574951171875,30.628326416015625,2,75,0.30434782608695654,5.0
2017,confirmatory,2232,465,312,0.8412414550781477,42.46962890625002,78377.796875,102084.984375,5.506500244140625,30.324188232421875,2,72,0.31521739130434784,5.0
2018,confirmatory,2232,465,249,4.264489746093773,41.8732849121094,78108.6953125,101690.453125,4.127227783203125,29.448577880859375,2,84,0.17391304347826086,5.0
2019,confirmatory,2232,465,306,3.7783447265625227,40.81270751953127,78236.7109375,101712.046875,6.785491943359375,29.852325439453125,2,77,0.391304347826087,6.0
2020,confirmatory,2232,465,121,3.6462951660156477,40.68489990234377,78096.484375,101779.1171875,4.698028564453125,29.289093017578125,2,83,0.13043478260869565,4.0
2021,confirmatory,2232,465,161,-0.11801757812497726,41.17788085937502,78055.3125,101582.875,1.919952392578125,29.618377685546875,2,83,0.16304347826086957,4.0
2022,discovery,2232,465,292,1.6784301757812727,43.02681884765627,78068.828125,101958.9765625,4.567901611328125,30.226470947265625,2,74,0.25,4.0
2023,confirmatory,2232,465,217,3.4479003906250227,43.14214477539065,78007.5078125,101425.296875,4.145355224609375,29.791229248046875,2,67,0.4782608695652174,5.0
2024,confirmatory,2232,465,363,3.8931213378906477,42.5556579589844,77934.640625,101748.28125,5.547943115234375,30.193817138671875,2,70,0.3695652173913043,5.0
2025,confirmatory,2232,465,204,2.6517272949218977,43.43483886718752,77994.578125,101487.234375,3.467132568359375,30.586212158203125,2,76,0.33695652173913043,4.0
