basis,year,bandwidth_km,total_effect,structured_component,residual_component,analysis_role
latitude,2004,125.7997650312984,-8.815421416239848e-05,-0.029826233487859167,0.029738079273697374,held_out
latitude,2004,251.5995300625968,-0.010005581311561951,-0.060130841358905895,0.05012526004734424,held_out
latitude,2004,503.1990601251936,-0.03161321027749355,-0.11617951862599583,0.08456630834850269,held_out
latitude,2004,1006.3981202503873,-0.09751911147577735,-0.17637011137343894,0.07885099989766113,held_out
latitude,2004,2012.7962405007745,-0.14062161844321494,-0.2078421231504424,0.067220504707227,held_out
latitude,2005,125.7997650312984,-0.05048876638118178,-0.03588789217092996,-0.01460087421025197,held_out
latitude,2005,251.5995300625968,-0.06507217075894665,-0.06086907819225587,-0.004203092566691362,held_out
latitude,2005,503.1990601251936,-0.08987288358534729,-0.11232695288125494,0.02245406929590742,held_out
latitude,2005,1006.3981202503873,-0.1445061924134975,-0.17513538753183044,0.030629195118332692,held_out
latitude,2005,2012.7962405007745,-0.1799367318861139,-0.20772010976621183,0.027783377880098492,held_out
latitude,2006,125.7997650312984,-0.040054711487800765,-0.020484383397116772,-0.019570328090683167,held_out
latitude,2006,251.5995300625968,-0.053050437122116524,-0.042514966367807584,-0.010535470754308301,held_out
latitude,2006,503.1990601251936,-0.08710379142472695,-0.07867888720857742,-0.008424904216149304,held_out
latitude,2006,1006.3981202503873,-0.1371482518280955,-0.11915677680799347,-0.017991475020101955,held_out
latitude,2006,2012.7962405007745,-0.16203416653242073,-0.1398403655852168,-0.022193800947204263,held_out
latitude,2007,125.7997650312984,0.04689492352015042,-0.03540382853673452,0.08229875205688482,held_out
latitude,2007,251.5995300625968,0.04425642252381599,-0.062186762956440184,0.10644318548025587,held_out
latitude,2007,503.1990601251936,0.010748305864602833,-0.11433591372670476,0.12508421959130778,held_out
latitude,2007,1006.3981202503873,-0.07775516085830302,-0.17657631315157118,0.09882115229326803,held_out
latitude,2007,2012.7962405007745,-0.12990271329871625,-0.20900578405280004,0.0791030707540842,held_out
latitude,2008,125.7997650312984,0.03211732059294587,-0.01871454726162757,0.05083186785457419,held_out
latitude,2008,251.5995300625968,0.01275453003395037,-0.030960157347874624,0.04371468738182426,held_out
latitude,2008,503.1990601251936,-0.01843600236920943,-0.061040279015426226,0.042604276646217326,held_out
latitude,2008,1006.3981202503873,-0.0632149565716328,-0.0971031303089563,0.03388817373732335,held_out
latitude,2008,2012.7962405007745,-0.08710642835472411,-0.1148176644869298,0.027711236132205535,held_out
latitude,2009,125.7997650312984,-0.08414173102131213,-0.024766670137668534,-0.05937506088364416,held_out
latitude,2009,251.5995300625968,-0.08653275327624399,-0.045687191878090526,-0.04084556139815416,held_out
latitude,2009,503.1990601251936,-0.10517391999956989,-0.08841789890975477,-0.016756021089814586,held_out
latitude,2009,1006.3981202503873,-0.14453185828078485,-0.13345217208434043,-0.01107968619644438,held_out
latitude,2009,2012.7962405007745,-0.16515886186819426,-0.1523961017698647,-0.01276276009832951,held_out
latitude,2010,125.7997650312984,-0.008427480424166063,-0.035046004002035634,0.02661852357787148,held_out
latitude,2010,251.5995300625968,-0.01879529319471244,-0.05492634283377623,0.03613104963906404,held_out
latitude,2010,503.1990601251936,-0.041185836355734175,-0.08623007122019977,0.04504423486446627,held_out
latitude,2010,1006.3981202503873,-0.09754692522242525,-0.12757493978146692,0.030028014559041544,held_out
latitude,2010,2012.7962405007745,-0.13640810627072697,-0.15403733694440766,0.017629230673680715,held_out
latitude,2011,125.7997650312984,-0.015847881870322832,-0.03616414431079521,0.020316262440471747,held_out
latitude,2011,251.5995300625968,-0.026034848247796612,-0.061327828765747446,0.035292980517951586,held_out
latitude,2011,503.1990601251936,-0.04518523212370381,-0.10574596351075183,0.06056073138704863,held_out
latitude,2011,1006.3981202503873,-0.10901687980902446,-0.15582673476690742,0.046809854957882646,held_out
latitude,2011,2012.7962405007745,-0.14753527798602215,-0.18060093635701435,0.0330656583709922,held_out
latitude,2012,125.7997650312984,-0.1571974409109251,-0.04135024757832457,-0.11584719333260086,held_out
latitude,2012,251.5995300625968,-0.2205943323025441,-0.07623682281679196,-0.14435750948575182,held_out
latitude,2012,503.1990601251936,-0.3007200770347968,-0.1460065698343955,-0.15471350720040059,held_out
latitude,2012,1006.3981202503873,-0.3509542954207074,-0.2185884391869112,-0.13236585623379626,held_out
latitude,2012,2012.7962405007745,-0.3687728230252592,-0.2518774706033569,-0.11689535242190252,held_out
latitude,2013,125.7997650312984,0.008176083915524197,-0.017838158810120852,0.026014242725645786,held_out
latitude,2013,251.5995300625968,-0.01013264106710017,-0.029053195381250035,0.01892055431414991,held_out
latitude,2013,503.1990601251936,-0.03432284108807283,-0.05541582859528376,0.02109298750721147,held_out
latitude,2013,1006.3981202503873,-0.07822947752807426,-0.09090941580947866,0.012679938281403716,held_out
latitude,2013,2012.7962405007745,-0.10311575953339981,-0.10895864605819862,0.005842886524797891,held_out
latitude,2014,125.7997650312984,-0.006289860254514747,-0.0145198765459663,0.008230016291452412,held_out
latitude,2014,251.5995300625968,-0.00015455880273333952,-0.023288079862493333,0.023133521059759826,held_out
latitude,2014,503.1990601251936,0.018301176210815357,-0.03505583989516222,0.05335701610597763,held_out
latitude,2014,1006.3981202503873,0.0017858475255833571,-0.047201478427095926,0.04898732595267919,held_out
latitude,2014,2012.7962405007745,-0.015194974417808019,-0.05375608472432833,0.03856111030651979,held_out
latitude,2015,125.7997650312984,-0.12307942713824677,-0.043125556714636,-0.07995387042361031,development
latitude,2015,251.5995300625968,-0.1666166249964671,-0.08037990466988106,-0.08623672032658602,development
latitude,2015,503.1990601251936,-0.22276200196000348,-0.14216709252546364,-0.08059490943454005,development
latitude,2015,1006.3981202503873,-0.2709820091656706,-0.20527118651860846,-0.06571082264706209,development
latitude,2015,2012.7962405007745,-0.2946707833245899,-0.23559974001162476,-0.05907104331296547,development
