file,date,n_sites,wbt_mean,spatial_variance,lambda_weighted
era5_201506_consistent.csv,2015-06-28,121,22.4885960553924,12.6228416850907,3.85714435257336
era5_201506_consistent.csv,2015-06-29,121,22.0482293662772,20.9412715311234,6.75243314788968
era5_201506_consistent.csv,2015-06-30,121,21.1556947559514,23.1463682486166,7.20872689559178
era5_201507_consistent.csv,2015-07-01,121,20.5610436442535,26.8646901452905,8.58412694851473
era5_201507_consistent.csv,2015-07-02,121,20.5571149035897,29.0375850841076,9.68612978714229
era5_201507_consistent.csv,2015-07-03,121,19.9858634396001,26.1984857271462,7.94644375982506
era5_201507_consistent.csv,2015-07-04,121,19.2082977677165,15.321454907464,4.96470244830863
era5_201507_consistent.csv,2015-07-05,121,18.9577181449519,9.49971098358231,2.63933511523834
era5_201507_consistent.csv,2015-07-06,121,19.0464175998595,6.81680098373719,1.86770673200555
era5_201507_consistent.csv,2015-07-07,121,19.1588900815758,6.0568157388942,2.07013515352349
era5_201507_consistent.csv,2015-07-08,121,19.398423591964,7.95358613312387,3.17837083185198
era5_201507_consistent.csv,2015-07-09,121,19.6483463902123,9.84547215697885,3.33753471751723
era5_201507_consistent.csv,2015-07-10,121,20.5978942888033,11.3794983963893,4.07075269168695
era5_201507_consistent.csv,2015-07-11,121,21.3793704371067,12.288073889959,4.89834841091771
era5_201507_consistent.csv,2015-07-12,121,21.9618314799568,17.0641312447142,6.18059069942509
era5_201507_consistent.csv,2015-07-13,121,22.013916205966,25.5706761948826,10.0504100905661
era5_201507_consistent.csv,2015-07-14,121,22.2125829978331,23.8175417609806,9.87253699393439
era5_201507_consistent.csv,2015-07-15,121,21.1959419550978,23.3574625745525,8.6757488396372
era5_201507_consistent.csv,2015-07-16,121,20.496761679337,19.2367631511194,6.29505227234074
era5_201507_consistent.csv,2015-07-17,121,20.7756623374743,15.5743732345175,5.4655780529757
era5_201507_consistent.csv,2015-07-18,121,21.275765791425,14.3885186341972,5.34463660154833
era5_201507_consistent.csv,2015-07-19,121,21.6681222574575,13.9490363066247,5.14388172077537
era5_201507_consistent.csv,2015-07-20,121,22.1584504735071,12.9693534740393,4.87721483794426
era5_201507_consistent.csv,2015-07-21,121,22.6234360212646,11.4992372093482,4.6045221633271
era5_201507_consistent.csv,2015-07-22,121,22.5030783787693,14.927092449208,5.84407255431376
era5_201507_consistent.csv,2015-07-23,121,21.7903591664566,18.6365288263514,7.48353831406306
era5_201507_consistent.csv,2015-07-24,121,21.5472048681171,18.091630139152,7.21060550529867
era5_201507_consistent.csv,2015-07-25,121,21.9255616966226,16.2430157074141,6.29160816916727
era5_201507_consistent.csv,2015-07-26,121,22.2002452424729,16.447143901378,6.25611348930202
era5_201507_consistent.csv,2015-07-27,121,22.7611406998447,10.9852872014766,4.11365262936083
era5_201507_consistent.csv,2015-07-28,121,22.8778970435508,9.66423738484997,3.68031229157946
era5_201507_consistent.csv,2015-07-29,121,22.9038274206701,11.2768604258398,4.65448548139407
era5_201507_consistent.csv,2015-07-30,121,22.5532365088269,12.0830709334024,5.14784673290313
era5_201507_consistent.csv,2015-07-31,121,22.5057877631994,10.6117004429048,3.97660094628629
era5_201508_consistent.csv,2015-08-01,121,22.9980720755185,8.60034984476997,3.08663976497798
era5_201508_consistent.csv,2015-08-02,121,22.5869183354169,14.9563806504465,6.93920794321743
era5_201508_consistent.csv,2015-08-03,121,21.6996427982735,21.4317438110994,9.56472942075975
era5_201508_consistent.csv,2015-08-04,121,21.3076533228064,19.8205292292565,7.48623043260254
era5_201508_consistent.csv,2015-08-05,121,21.348460321366,18.0766398170194,7.55872620549631
era5_201508_consistent.csv,2015-08-06,121,21.5348682143037,19.5364338330794,8.12137930661737
era5_201508_consistent.csv,2015-08-07,121,22.0386184109755,17.5042146152702,7.41947033393687
era5_201508_consistent.csv,2015-08-08,121,22.0559938765628,16.4491636486338,6.27584391128541
