lon,lat,candidate_id,era5_land_valid,coordinate_key,original_site_id,is_original_site
109.8,34.8,167,TRUE,"109.800000,34.800000",46,TRUE
109.8,35.7,168,TRUE,"109.800000,35.700000",,FALSE
109.8,36.6,169,TRUE,"109.800000,36.600000",47,TRUE
109.8,37.5,170,TRUE,"109.800000,37.500000",,FALSE
109.8,38.4,171,TRUE,"109.800000,38.400000",48,TRUE
109.8,39.3,172,TRUE,"109.800000,39.300000",,FALSE
109.8,40.2,173,TRUE,"109.800000,40.200000",49,TRUE
109.8,41.1,174,TRUE,"109.800000,41.100000",,FALSE
109.8,42,175,TRUE,"109.800000,42.000000",50,TRUE
110.6,20.4,176,FALSE,"110.600000,20.400000",,FALSE
110.6,21.3,177,TRUE,"110.600000,21.300000",,FALSE
110.6,22.2,178,TRUE,"110.600000,22.200000",,FALSE
110.6,23.1,179,TRUE,"110.600000,23.100000",,FALSE
110.6,24,180,TRUE,"110.600000,24.000000",,FALSE
110.6,24.9,181,TRUE,"110.600000,24.900000",,FALSE
110.6,25.8,182,TRUE,"110.600000,25.800000",,FALSE
110.6,26.7,183,TRUE,"110.600000,26.700000",,FALSE
110.6,27.6,184,TRUE,"110.600000,27.600000",,FALSE
110.6,28.5,185,TRUE,"110.600000,28.500000",,FALSE
110.6,29.4,186,TRUE,"110.600000,29.400000",,FALSE
110.6,30.3,187,TRUE,"110.600000,30.300000",,FALSE
110.6,31.2,188,TRUE,"110.600000,31.200000",,FALSE
110.6,32.1,189,TRUE,"110.600000,32.100000",,FALSE
110.6,33,190,TRUE,"110.600000,33.000000",,FALSE
110.6,33.9,191,TRUE,"110.600000,33.900000",,FALSE
110.6,34.8,192,TRUE,"110.600000,34.800000",,FALSE
110.6,35.7,193,TRUE,"110.600000,35.700000",,FALSE
110.6,36.6,194,TRUE,"110.600000,36.600000",,FALSE
110.6,37.5,195,TRUE,"110.600000,37.500000",,FALSE
110.6,38.4,196,TRUE,"110.600000,38.400000",,FALSE
110.6,39.3,197,TRUE,"110.600000,39.300000",,FALSE
110.6,40.2,198,TRUE,"110.600000,40.200000",,FALSE
110.6,41.1,199,TRUE,"110.600000,41.100000",,FALSE
110.6,42,200,TRUE,"110.600000,42.000000",,FALSE
111.4,20.4,201,FALSE,"111.400000,20.400000",,FALSE
111.4,21.3,202,FALSE,"111.400000,21.300000",,FALSE
111.4,22.2,203,TRUE,"111.400000,22.200000",51,TRUE
111.4,23.1,204,TRUE,"111.400000,23.100000",,FALSE
111.4,24,205,TRUE,"111.400000,24.000000",52,TRUE
111.4,24.9,206,TRUE,"111.400000,24.900000",,FALSE
111.4,25.8,207,TRUE,"111.400000,25.800000",53,TRUE
111.4,26.7,208,TRUE,"111.400000,26.700000",,FALSE
111.4,27.6,209,TRUE,"111.400000,27.600000",54,TRUE
111.4,28.5,210,TRUE,"111.400000,28.500000",,FALSE
111.4,29.4,211,TRUE,"111.400000,29.400000",55,TRUE
111.4,30.3,212,TRUE,"111.400000,30.300000",,FALSE
