site_id,lon,lat,matched_lon,matched_lat,geopotential_m2_s2,elevation_m
82,114.6,36.6,114.5999984741211,36.599998474121094,473.5490168717479,48.28856101438798
83,114.6,38.4,114.5999984741211,38.400001525878906,931.6017231418737,94.99693811259438
84,114.6,40.2,114.5999984741211,40.20000076293945,9553.23851681834,974.1592202044877
85,114.6,42.0,114.5999984741211,42.0,14571.728254812939,1485.9027552541327
86,116.2,24.0,116.19999694824219,24.0,3468.972635506634,353.73676388028883
87,116.2,25.8,116.19999694824219,25.799999237060547,4800.941689265808,489.5598078105988
88,116.2,27.6,116.19999694824219,27.600000381469727,1307.2853024072792,133.30600178524566
89,116.2,29.4,116.19999694824219,29.399999618530273,35.586341578386055,3.628796946805082
90,116.2,31.2,116.19999694824219,31.200000762939453,6374.995616294938,650.0686387599169
91,116.2,33.0,116.19999694824219,33.0,251.5541745785522,25.65138702600299
92,116.2,34.8,116.19999694824219,34.79999923706055,417.2969301368212,42.55244452864344
93,116.2,36.6,116.19999694824219,36.599998474121094,315.84227370418375,32.20694872399686
94,116.2,38.4,116.19999694824219,38.400001525878906,107.91045309471883,11.003803857047906
95,116.2,40.2,116.19999694824219,40.20000076293945,867.3136240162421,88.44137641460051
96,116.2,42.0,116.19999694824219,42.0,14435.116044170973,1471.9721866458958
97,117.8,25.8,117.80000305175781,25.799999237060547,6584.936440002079,671.476644929928
98,117.8,27.6,117.80000305175781,27.600000381469727,5055.08058112182,515.4747626479807
99,117.8,29.4,117.80000305175781,29.399999618530273,1959.2068076031355,199.7834946289646
100,117.8,31.2,117.80000305175781,31.200000762939453,-0.5757141797839722,-0.05870650831670063
101,117.8,33.0,117.80000305175781,33.0,233.47314669946718,23.807635298442097
102,117.8,34.8,117.80000305175781,34.79999923706055,531.8101067043535,54.22953880319513
103,117.8,36.6,117.80000305175781,36.599998474121094,3119.4060965110148,318.0908971474474
104,117.8,40.2,117.80000305175781,40.20000076293945,933.610726239549,95.20179941565662
105,117.8,42.0,117.80000305175781,42.0,10675.266746870377,1088.574257964787
106,119.4,25.8,119.4000015258789,25.799999237060547,1635.7573088773024,166.800824835933
107,119.4,27.6,119.4000015258789,27.600000381469727,9938.967111572128,1013.4925903924509
108,119.4,29.4,119.4000015258789,29.399999618530273,1821.5900954123317,185.75049536919659
109,119.4,31.2,119.4000015258789,31.200000762939453,1059.1734198442973,108.00563085705082
110,119.4,33.0,119.4000015258789,33.0,11.47830440627149,1.1704613100571033
111,119.4,36.6,119.4000015258789,36.599998474121094,381.1348743786548,38.864941073522026
112,119.4,40.2,119.4000015258789,40.20000076293945,4991.796983545028,509.02163160151815
113,119.4,42.0,119.4000015258789,42.0,5429.759658838393,553.6813956691014
114,121.0,24.0,121.0,24.0,8081.643747770686,824.0983157113476
115,121.0,29.4,121.0,29.399999618530273,3485.044660288044,355.3756543047875
116,121.0,31.2,121.0,31.200000762939453,35.586341578386055,3.628796946805082
117,121.0,42.0,121.0,42.0,2339.912894612735,238.60471155927203
118,122.6,40.2,122.5999984741211,40.20000076293945,2639.2543561664534,269.1290457155556
119,122.6,42.0,122.5999984741211,42.0,419.3059332344965,42.75730583170568
120,124.2,40.2,124.19999694824219,40.20000076293945,1437.8705037562177,146.62198648429563
121,124.2,42.0,124.19999694824219,42.0,2319.8228636359745,236.5560985286489
