file,year,month,analysis_role,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,configuration
201907,2019,7,confirmatory,11.5173244657743,13.0177442405374,-0.115259583153496,-1.50041977476317,8,15,graph_h_1.000,primary_121_reproduction
201908,2019,8,confirmatory,11.6823083042032,13.1733462862702,-0.113185970342323,-1.49103798206693,8,15,graph_h_1.000,primary_121_reproduction
202006,2020,6,confirmatory,14.2833918952736,15.7428575602602,-0.0927065279857922,-1.4594656649866,8,14,graph_h_1.000,primary_121_reproduction
202007,2020,7,confirmatory,9.15548102554377,10.8134617418103,-0.153325619108262,-1.65798071626657,8,15,graph_h_1.000,primary_121_reproduction
202008,2020,8,confirmatory,12.8151773840968,13.3518120525283,-0.0401918980225489,-0.536634668431455,8,15,graph_h_1.000,primary_121_reproduction
202106,2021,6,confirmatory,12.0922442451338,15.2318744718671,-0.206122380573192,-3.13963022673327,8,14,graph_h_1.000,primary_121_reproduction
202107,2021,7,confirmatory,9.42679352311441,9.61752809144154,-0.019831974132404,-0.190734568327137,8,15,graph_h_1.000,primary_121_reproduction
202108,2021,8,confirmatory,14.2397747428107,15.5120194867671,-0.0820167061446558,-1.27224474395635,8,15,graph_h_1.000,primary_121_reproduction
202206,2022,6,discovery,12.0679512993065,14.2650033784079,-0.154016933667671,-2.19705207910135,8,14,graph_h_1.000,primary_121_reproduction
202207,2022,7,discovery,12.2439302754711,11.8494077070079,0.0332947079059343,0.394522568463156,8,15,graph_h_1.000,primary_121_reproduction
202208,2022,8,discovery,7.05485264903682,11.4027761199395,-0.381303940827156,-4.34792347090273,8,15,graph_h_1.000,primary_121_reproduction
202306,2023,6,confirmatory,15.042432091456,14.446568843833,0.041246004782473,0.595863247623059,8,14,graph_h_1.000,primary_121_reproduction
202307,2023,7,confirmatory,9.52123780188499,14.2984713919045,-0.334107993720523,-4.7772335900195,8,15,graph_h_1.000,primary_121_reproduction
202308,2023,8,confirmatory,7.67817490086546,14.0400638642527,-0.453123933402125,-6.36188896338721,8,15,graph_h_1.000,primary_121_reproduction
202406,2024,6,confirmatory,13.6135064657085,15.7115419547115,-0.133534664837521,-2.09803548900305,8,14,graph_h_1.000,primary_121_reproduction
202407,2024,7,confirmatory,12.071255630033,11.6834493572161,0.0331927893004718,0.387806272816807,8,15,graph_h_1.000,primary_121_reproduction
202408,2024,8,confirmatory,10.7880306480574,11.2357903061607,-0.0398511938993537,-0.447759658103289,8,15,graph_h_1.000,primary_121_reproduction
202506,2025,6,confirmatory,12.0289855873312,15.0243827019897,-0.199369063879198,-2.99539711465849,8,14,graph_h_1.000,primary_121_reproduction
202507,2025,7,confirmatory,7.17846875971133,9.46831786429369,-0.241843285935477,-2.28984910458237,8,15,graph_h_1.000,primary_121_reproduction
202508,2025,8,confirmatory,8.375831482656,10.9770340209596,-0.236967703055021,-2.60120253830363,8,15,graph_h_1.000,primary_121_reproduction
199106,1991,6,confirmatory,19.1733112369,17.1781772473865,0.116143520979041,1.99513398951352,8,14,graph_h_2.000,primary_121_reproduction
199107,1991,7,confirmatory,12.1559747587069,14.9975169907546,-0.1894675121088,-2.84154223204772,8,15,graph_h_2.000,primary_121_reproduction
199108,1991,8,confirmatory,12.8961824675401,11.8572276705516,0.0876220669667021,1.0389547969885,8,15,graph_h_2.000,primary_121_reproduction
199206,1992,6,confirmatory,16.250332465112,16.176847500753,0.00454260104483417,0.073484964359043,8,14,graph_h_2.000,primary_121_reproduction
199207,1992,7,confirmatory,13.4071875132745,15.7010372440126,-0.146095426377825,-2.29384973073814,8,15,graph_h_2.000,primary_121_reproduction
199208,1992,8,confirmatory,12.2825838630767,12.6984678798365,-0.0327507240003476,-0.415884016759806,8,15,graph_h_2.000,primary_121_reproduction
199306,1993,6,confirmatory,19.5384159479477,21.0787195015707,-0.0730738673906727,-1.54030355362296,8,14,graph_h_2.000,primary_121_reproduction
199307,1993,7,confirmatory,14.5628202624292,14.4072417163495,0.0107986350991258,0.155578546079761,8,15,graph_h_2.000,primary_121_reproduction
199308,1993,8,confirmatory,15.1162446116303,17.4912664446273,-0.135783297368186,-2.375021832997,8,15,graph_h_2.000,primary_121_reproduction
199406,1994,6,confirmatory,16.6733375939721,13.8073648885672,0.207568404871957,2.86597270540496,8,14,graph_h_2.000,primary_121_reproduction
199407,1994,7,confirmatory,10.0485678967813,14.3998362860141,-0.302174851352929,-4.35126838923284,8,15,graph_h_2.000,primary_121_reproduction
199408,1994,8,confirmatory,12.0133769903422,12.9781784675674,-0.074340284319265,-0.964801477225119,8,15,graph_h_2.000,primary_121_reproduction
199506,1995,6,confirmatory,22.3736885601104,20.0951618357485,0.113386831267438,2.27852672436188,8,14,graph_h_2.000,primary_121_reproduction
199507,1995,7,confirmatory,11.9585599342736,15.7247809011103,-0.239508645018438,-3.76622096683674,8,15,graph_h_2.000,primary_121_reproduction
199508,1995,8,confirmatory,11.0319245517722,13.9883347286379,-0.211348257974779,-2.95641017686574,8,15,graph_h_2.000,primary_121_reproduction
199606,1996,6,confirmatory,18.7408450665798,21.1527543015987,-0.114023412773088,-2.41190923501889,8,14,graph_h_2.000,primary_121_reproduction
199607,1996,7,confirmatory,11.1148401281183,13.0113522952394,-0.145758267402769,-1.89651216712113,8,15,graph_h_2.000,primary_121_reproduction
199608,1996,8,confirmatory,11.2608061465864,14.8451843802626,-0.241450570222744,-3.58437823367617,8,15,graph_h_2.000,primary_121_reproduction
199706,1997,6,confirmatory,11.9776985913295,18.2113224981198,-0.342293861823263,-6.23362390679029,8,14,graph_h_2.000,primary_121_reproduction
199707,1997,7,confirmatory,11.0528172811532,12.0742199380197,-0.0845936766192524,-1.02140265686657,8,15,graph_h_2.000,primary_121_reproduction
199708,1997,8,confirmatory,12.5064740140184,14.8207227624467,-0.15614952020371,-2.31424874842825,8,15,graph_h_2.000,primary_121_reproduction
199806,1998,6,confirmatory,13.5181724969706,18.7429974041385,-0.2787614379125,-5.22482490716791,8,14,graph_h_2.000,primary_121_reproduction
199807,1998,7,confirmatory,14.1788142442746,12.9297682493174,0.0966023497770811,1.24904599495716,8,15,graph_h_2.000,primary_121_reproduction
199808,1998,8,confirmatory,16.2315820747189,16.002373939484,0.0143233832743628,0.229208135234906,8,15,graph_h_2.000,primary_121_reproduction
199906,1999,6,confirmatory,13.4453806258793,19.5607457978774,-0.312634560828537,-6.11536517199804,8,14,graph_h_2.000,primary_121_reproduction
199907,1999,7,confirmatory,9.67733857335338,10.1402825513928,-0.0456539525100154,-0.462943978039425,8,15,graph_h_2.000,primary_121_reproduction
199908,1999,8,confirmatory,10.6131217381169,15.8875916630915,-0.331986750215121,-5.27446992497461,8,15,graph_h_2.000,primary_121_reproduction
200006,2000,6,confirmatory,15.3717202368386,16.9826695755359,-0.0948584279716462,-1.61094933869724,8,14,graph_h_2.000,primary_121_reproduction
200007,2000,7,confirmatory,8.6368042500194,14.5299539840945,-0.405586262731882,-5.89314973407512,8,15,graph_h_2.000,primary_121_reproduction
200008,2000,8,confirmatory,12.0370535483096,15.8734839758614,-0.241687989441122,-3.8364304275518,8,15,graph_h_2.000,primary_121_reproduction
200106,2001,6,confirmatory,16.5460229732843,17.5229785316081,-0.055752825158212,-0.976955558323851,8,14,graph_h_2.000,primary_121_reproduction
200107,2001,7,confirmatory,15.2633757199838,16.1964602270515,-0.0576103972094622,-0.933084507067692,8,15,graph_h_2.000,primary_121_reproduction
200108,2001,8,confirmatory,12.1923221957755,18.1736904406677,-0.329122379652046,-5.9813682448922,8,15,graph_h_2.000,primary_121_reproduction
200206,2002,6,confirmatory,15.3639286328728,16.1063939668413,-0.0460975520341199,-0.742465333968502,8,14,graph_h_2.000,primary_121_reproduction
200207,2002,7,confirmatory,16.5947874779296,12.6057811224925,0.316442616024762,3.98900635543709,8,15,graph_h_2.000,primary_121_reproduction
200208,2002,8,confirmatory,12.8675280918964,17.4057899130934,-0.260732885083433,-4.53826182119695,8,15,graph_h_2.000,primary_121_reproduction
200306,2003,6,confirmatory,14.9240146414012,17.4443436375562,-0.144478293280633,-2.520328996155,8,14,graph_h_2.000,primary_121_reproduction
200307,2003,7,confirmatory,12.5301061038664,14.3336613286844,-0.125826554950665,-1.80355522481793,8,15,graph_h_2.000,primary_121_reproduction
