lat,regime,anomaly
26.5,High days,1.1916399089164
26.6,High days,1.21282319348822
26.7,High days,1.23963470104059
26.8,High days,1.27003583595886
26.9,High days,1.30420202916724
27,High days,1.34197145265981
27.1,High days,1.38388606258857
27.2,High days,1.42603858947603
27.3,High days,1.47161023244952
27.4,High days,1.52073036001177
27.5,High days,1.56993945121349
27.6,High days,1.62243496591951
27.7,High days,1.67625914765386
27.8,High days,1.72861717867745
27.9,High days,1.78139183173817
28,High days,1.83903956598358
28.1,High days,1.88757059355459
28.2,High days,1.94145939405063
28.3,High days,1.98948781639757
28.4,High days,2.0399978550882
28.5,High days,2.09113892251636
28.6,High days,2.14177084985419
28.7,High days,2.18859171883173
28.8,High days,2.23377405026867
28.9,High days,2.27820459948947
29,High days,2.31906298146438
29.1,High days,2.35837361389148
29.2,High days,2.39506245549914
29.3,High days,2.42812960399138
29.4,High days,2.4586852030256
29.5,High days,2.48565827675578
29.6,High days,2.50853034218799
29.7,High days,2.52941205020744
29.8,High days,2.5476239290305
29.9,High days,2.56307424810601
30,High days,2.57115867985422
30.1,High days,2.57830707914997
30.2,High days,2.57042875102859
30.3,High days,2.55808760487806
30.4,High days,2.55772484594579
30.5,High days,2.54792002126975
30.6,High days,2.5373099303088
30.7,High days,2.53047188914689
30.8,High days,2.51576283342992
30.9,High days,2.5103781211125
31,High days,2.48764200579055
31.1,High days,2.46195408137028
31.2,High days,2.42856348858108
31.3,High days,2.39170817893793
31.4,High days,2.35155320866302
31.5,High days,2.31414450343265
31.6,High days,2.26822462862847
31.7,High days,2.2130184173083
31.8,High days,2.16834497721399
31.9,High days,2.14919453720948
32,High days,2.08083824328063
32.1,High days,2.0448268760081
32.2,High days,1.98608335192951
32.3,High days,1.93334920216188
32.4,High days,1.87078054428364
32.5,High days,1.79724816171418
32.6,High days,1.72076539543381
32.7,High days,1.65130741189014
32.8,High days,1.59015934226453
32.9,High days,1.52778222510525
33,High days,1.46420478281035
33.1,High days,1.39944967673842
33.2,High days,1.32203466101449
33.3,High days,1.25457237411125
33.4,High days,1.17367637532921
33.5,High days,1.10340401564715
33.6,High days,1.01892927978286
33.7,High days,0.945737578732827
33.8,High days,0.857591638588201
33.9,High days,0.78136759809967
34,High days,0.68950946229986
34.1,High days,0.610345268625585
34.2,High days,0.529994965171863
34.3,High days,0.433629074601629
34.4,High days,0.320307109056669
34.5,High days,0.188614390553406
34.6,High days,0.070700420277827
34.7,High days,-0.0317282045947829
34.8,High days,-0.17015295251759
34.9,High days,-0.256543565742771
35,High days,-0.325125035817305
35.1,High days,-0.393600875346149
35.2,High days,-0.479398289095589
35.3,High days,-0.546865088070259
35.4,High days,-0.613484816879621
35.5,High days,-0.678979142626355
35.6,High days,-0.743064345086945
35.7,High days,-0.787863190637886
35.8,High days,-0.848267680590479
35.9,High days,-0.906576055426649
36,High days,-0.962685046658185
36.1,High days,-1.03406011876909
36.2,High days,-1.06749815430385
36.3,High days,-1.09922421019078
36.4,High days,-1.14558524500916
36.5,High days,-1.18932032638615
36.6,High days,-1.24776691169162
36.7,High days,-1.23494613800244
36.8,High days,-1.23892131614272
36.9,High days,-1.22874199735701
37,High days,-1.22022934570037
37.1,High days,-1.25370739318068
37.2,High days,-1.40851371405652
37.3,High days,-1.48825158572914
37.4,High days,-1.55177556120486
37.5,High days,-1.76901221941641
37.6,High days,-1.91266852253671
37.7,High days,-1.99991398531633
37.8,High days,-2.15954201768915
37.9,High days,-2.25516524249857
38,High days,-2.33175721634703
38.1,High days,-2.3986147809585
38.2,High days,-2.7263178134342
38.3,High days,-2.86254103869295
38.4,High days,-2.98465438791449
38.5,High days,-3.05316022930712
38.6,High days,-3.18430245128295
38.7,High days,-3.25904367398837
38.8,High days,-3.27457514681489
38.9,High days,-3.22585260413036
39,High days,-3.29938095811677
39.1,High days,-3.31424742304574
39.2,High days,-3.07945922106772
39.3,High days,-3.08286865676162
39.4,High days,-3.00102063722708
39.5,High days,-3.06264187991876
39.6,High days,-3.13822543781552
39.7,High days,-3.16760522744283
39.8,High days,-3.16195638250068
39.9,High days,-3.16763181055955
40,High days,-3.24786101341814
40.1,High days,-3.32693021349375
40.2,High days,-3.42722594523303
40.3,High days,-3.53031743358797
40.4,High days,-3.65356584618716
40.5,High days,-3.77744941549787
40.6,High days,-3.86396048797636
40.7,High days,-3.95259523902957
40.8,High days,-4.0187544496722
40.9,High days,-3.99124356500393
41,High days,-4.09485303214599
41.1,High days,-4.2176833362687
41.2,High days,-4.34057751750687
41.3,High days,-4.46339551574791
41.4,High days,-4.58601670094154
41.5,High days,-4.70832485798777
41.6,High days,-4.83020877124385
41.7,High days,-4.95156250879792
41.8,High days,-5.07228558099734
41.9,High days,-5.19228296779969
42,High days,-5.31146474464631
