configuration,analysis_role,year,metric,yearly_relative_effect,months
dense_465_fixed_labels,confirmatory,2010,graph_h_0.500,-0.0470832529675762,3
dense_465_fixed_labels,confirmatory,2011,graph_h_0.500,-0.0489261147036872,3
dense_465_fixed_labels,confirmatory,2012,graph_h_0.500,-0.300676331600421,3
dense_465_fixed_labels,confirmatory,2013,graph_h_0.500,-0.0486137702380176,3
dense_465_fixed_labels,confirmatory,2014,graph_h_0.500,0.0311079973871041,3
dense_465_fixed_labels,discovery,2015,graph_h_0.500,-0.22628912429019,3
dense_465_fixed_labels,confirmatory,2016,graph_h_0.500,0.0475008496261281,3
dense_465_fixed_labels,confirmatory,2017,graph_h_0.500,-0.052652853657727,3
dense_465_fixed_labels,confirmatory,2018,graph_h_0.500,-0.130243110294795,3
dense_465_fixed_labels,confirmatory,2019,graph_h_0.500,-0.107093570757954,3
dense_465_fixed_labels,confirmatory,2020,graph_h_0.500,-0.059918833993863,3
dense_465_fixed_labels,confirmatory,2021,graph_h_0.500,-0.0799385444980051,3
dense_465_fixed_labels,discovery,2022,graph_h_0.500,-0.0846533275308754,3
dense_465_fixed_labels,confirmatory,2023,graph_h_0.500,-0.217017639480656,3
dense_465_fixed_labels,confirmatory,2024,graph_h_0.500,-0.0223212175326176,3
dense_465_fixed_labels,confirmatory,2025,graph_h_0.500,-0.19029222233885,3
dense_465_fixed_labels,confirmatory,1991,graph_h_1.000,0.0382484483180837,3
dense_465_fixed_labels,confirmatory,1992,graph_h_1.000,-0.0413456491197635,3
dense_465_fixed_labels,confirmatory,1993,graph_h_1.000,-0.0546472385845335,3
dense_465_fixed_labels,confirmatory,1994,graph_h_1.000,-0.0561663626602171,3
dense_465_fixed_labels,confirmatory,1995,graph_h_1.000,-0.114254248342566,3
dense_465_fixed_labels,confirmatory,1996,graph_h_1.000,-0.128536283789296,3
dense_465_fixed_labels,confirmatory,1997,graph_h_1.000,-0.176719113109271,3
dense_465_fixed_labels,confirmatory,1998,graph_h_1.000,-0.0445779550817167,3
dense_465_fixed_labels,confirmatory,1999,graph_h_1.000,-0.197853225591627,3
dense_465_fixed_labels,confirmatory,2000,graph_h_1.000,-0.233042158331579,3
dense_465_fixed_labels,confirmatory,2001,graph_h_1.000,-0.13237468762377,3
dense_465_fixed_labels,confirmatory,2002,graph_h_1.000,0.0258817135935307,3
dense_465_fixed_labels,confirmatory,2003,graph_h_1.000,-0.0844240455533248,3
dense_465_fixed_labels,confirmatory,2004,graph_h_1.000,-0.117050242468269,3
dense_465_fixed_labels,confirmatory,2005,graph_h_1.000,-0.153194114303584,3
dense_465_fixed_labels,confirmatory,2006,graph_h_1.000,-0.144830319041127,3
dense_465_fixed_labels,confirmatory,2007,graph_h_1.000,-0.0773975509779907,3
dense_465_fixed_labels,confirmatory,2008,graph_h_1.000,-0.0843797963181609,3
dense_465_fixed_labels,confirmatory,2009,graph_h_1.000,-0.157674529102802,3
dense_465_fixed_labels,confirmatory,2010,graph_h_1.000,-0.0989553141919415,3
dense_465_fixed_labels,confirmatory,2011,graph_h_1.000,-0.111720218352579,3
dense_465_fixed_labels,confirmatory,2012,graph_h_1.000,-0.351286080101465,3
dense_465_fixed_labels,confirmatory,2013,graph_h_1.000,-0.089759045121194,3
dense_465_fixed_labels,confirmatory,2014,graph_h_1.000,0.00557423735185014,3
dense_465_fixed_labels,discovery,2015,graph_h_1.000,-0.275822971588976,3
dense_465_fixed_labels,confirmatory,2016,graph_h_1.000,0.00672223490831355,3
dense_465_fixed_labels,confirmatory,2017,graph_h_1.000,-0.0969724563744976,3
dense_465_fixed_labels,confirmatory,2018,graph_h_1.000,-0.189587961032432,3
dense_465_fixed_labels,confirmatory,2019,graph_h_1.000,-0.129857257463599,3
dense_465_fixed_labels,confirmatory,2020,graph_h_1.000,-0.0982307172270201,3
dense_465_fixed_labels,confirmatory,2021,graph_h_1.000,-0.109750907240727,3
dense_465_fixed_labels,discovery,2022,graph_h_1.000,-0.164138330152598,3
dense_465_fixed_labels,confirmatory,2023,graph_h_1.000,-0.251977781189518,3
dense_465_fixed_labels,confirmatory,2024,graph_h_1.000,-0.0617236755904098,3
