file,date,n_sites,wbt_mean,spatial_variance,lambda_weighted,graph_h_0.125,graph_h_0.250,graph_h_0.500,graph_h_1.000,graph_h_2.000
era5_201506_consistent.csv,2015-06-25,121,21.5863424070665,16.5747446347661,5.49923284170593,2.03383396749666,3.4182302330948,6.69856948825259,12.0455431865165,15.3010964494366
era5_201506_consistent.csv,2015-06-26,121,22.1215236288894,14.5222689871965,5.35496013377752,2.19159201836593,3.39463436181963,6.02511262532173,10.4228867042565,13.3250968516496
era5_201506_consistent.csv,2015-06-27,121,22.1819149622679,13.5885875639008,4.67100155487802,2.30616809476955,3.5994072529405,6.15587692543424,10.0828986783733,12.5818682015245
era5_201506_consistent.csv,2015-06-28,121,22.4885960553924,12.6228416850907,3.85714435257336,2.54472809557636,3.88260950656748,6.28729744832443,9.74335918976991,11.818646960596
era5_201506_consistent.csv,2015-06-29,121,22.0482293662772,20.9412715311234,6.75243314788968,2.77918337145307,4.5640737787595,8.36448153091808,14.758662959916,19.0701565012449
era5_201506_consistent.csv,2015-06-30,121,21.1556947559514,23.1463682486166,7.20872689559178,2.38760337491045,3.9577265555742,7.77251105030591,15.2120790521838,20.7016895716662
era5_201507_consistent.csv,2015-07-01,121,20.5610436442535,26.8646901452905,8.58412694851473,3.11949007846408,5.66700882422231,10.9002169955358,18.6470154923251,24.2928153554176
era5_201507_consistent.csv,2015-07-02,121,20.5571149035897,29.0375850841076,9.68612978714229,2.99025243055621,5.25045465402473,10.9429989966734,20.0212206793988,26.2918567393523
era5_201507_consistent.csv,2015-07-03,121,19.9858634396001,26.1984857271462,7.94644375982506,3.13715592585656,5.28902893466359,10.2690526300765,18.1483880799093,23.7252297287998
era5_201507_consistent.csv,2015-07-04,121,19.2082977677165,15.321454907464,4.96470244830863,3.01952881756557,5.03222571795359,8.06027805467144,11.406396050152,14.0526790534835
era5_201507_consistent.csv,2015-07-05,121,18.9577181449519,9.49971098358231,2.63933511523834,2.61963022172545,4.16326422371018,6.10403785403473,7.75686327939162,8.95802708826866
era5_201507_consistent.csv,2015-07-06,121,19.0464175998595,6.81680098373719,1.86770673200555,2.04833395119242,3.19589189348797,4.51363808483648,5.63892693255206,6.46087818000776
era5_201507_consistent.csv,2015-07-07,121,19.1588900815758,6.0568157388942,2.07013515352349,1.79487143332964,2.77581147151492,4.05045888300982,5.07807330435935,5.7616195054904
era5_201507_consistent.csv,2015-07-08,121,19.398423591964,7.95358613312387,3.17837083185198,2.02771229348048,2.99511857982297,4.57458290724211,6.38165301848225,7.50300480065746
