simulation,delta,p_value,rejects_05
477,-0.142205687172155,0.201,FALSE
478,-0.225272028874947,0.19,FALSE
479,0.130873236553728,0.735,FALSE
480,0.0538583129402363,0.581,FALSE
481,0.16387131707749,0.785,FALSE
482,0.071697134127636,0.633,FALSE
483,0.363316917075665,0.982,FALSE
484,0.141437724380204,0.795,FALSE
485,0.0863882737513383,0.669,FALSE
486,-0.214018847011849,0.129,FALSE
487,0.0769065821705284,0.619,FALSE
488,-0.531807411775268,0.006,TRUE
489,0.00167583326198798,0.468,FALSE
490,0.506679018389556,0.996,FALSE
491,-0.0490881225544884,0.405,FALSE
492,-0.400067610766375,0.022,TRUE
493,-0.0282588184852254,0.449,FALSE
494,0.172542278564858,0.784,FALSE
495,0.0283966588721555,0.55,FALSE
496,0.157463800928966,0.808,FALSE
497,0.171365980394206,0.834,FALSE
498,0.18307013791841,0.831,FALSE
499,0.0936153996019549,0.709,FALSE
500,-0.0103556490827061,0.494,FALSE
