year,month,threshold_c,high,middle,difference,outcome
2010,8,13.75,0.947378841177466,0.9034475363575543,0.0439313048199117,C_coslat
2010,8,14.0,0.9458988037734347,0.8966612463566774,0.04923755741675728,C_coslat
2010,8,14.25,0.9437195639372015,0.8891148275955003,0.054604736341701154,C_coslat
2010,8,14.5,0.9407678646382985,0.8814586036956805,0.059309260942618014,C_coslat
2010,8,14.75,0.9361293936232531,0.8761164883646174,0.060012905258635674,C_coslat
2010,8,15.0,0.9343943682951515,0.8699260419289742,0.06446832636617739,C_coslat
2010,8,15.25,0.9304877038719223,0.8632651225216459,0.06722258135027637,C_coslat
2010,8,15.5,0.9245838669835955,0.8551597917742273,0.06942407520936822,C_coslat
2010,8,15.75,0.9209214342647194,0.8482376767077133,0.07268375755700607,C_coslat
2010,8,16.0,0.9163064595357331,0.84111468005041,0.07519177948532307,C_coslat
2010,8,16.25,0.9092730451893127,0.833713583486079,0.07555946170323369,C_coslat
2010,8,16.5,0.9036863031395649,0.8258854716174056,0.07780083152215933,C_coslat
2010,8,16.75,0.8999947344739038,0.8174470925506667,0.08254764192323705,C_coslat
2010,8,17.0,0.8965108282720783,0.8068921847982226,0.08961864347385573,C_coslat
2010,8,17.25,0.8931021531738041,0.7978415107458489,0.09526064242795529,C_coslat
2010,8,17.5,0.8876920138542491,0.7917434707692743,0.0959485430849748,C_coslat
2010,8,17.75,0.8827259078835968,0.7832052684973367,0.0995206393862601,C_coslat
2010,8,18.0,0.8780284758283765,0.7740622474003647,0.10396622842801184,C_coslat
2010,8,18.25,0.8726298596932502,0.7672479262332312,0.105381933460019,C_coslat
2010,8,18.5,0.8669330006410674,0.7579020653399942,0.10903093530107322,C_coslat
2010,8,18.75,0.8629894725059324,0.7499027325440414,0.113086739961891,C_coslat
2010,8,19.0,0.8538477363993678,0.7396256942878939,0.11422204211147391,C_coslat
2010,8,19.25,0.8460035695991219,0.7311026884600618,0.11490088113906016,C_coslat
2010,8,19.5,0.8375939070831002,0.7244431319144329,0.11315077516866734,C_coslat
2010,8,19.75,0.8277779085407165,0.7170274842335069,0.1107504243072096,C_coslat
2010,8,20.0,0.822979351639716,0.7086595786933896,0.11431977294632645,C_coslat
2010,8,20.25,0.8128187288040182,0.6991895620973206,0.11362916670669754,C_coslat
2010,8,20.5,0.8008479774300329,0.6892536334844961,0.1115943439455368,C_coslat
2010,8,20.75,0.7865225956069843,0.6765858437747835,0.10993675183220086,C_coslat
2010,8,21.0,0.7760963900058254,0.6632690214910877,0.11282736851473774,C_coslat
2010,8,21.25,0.7617533888383569,0.6526085314523792,0.10914485738597768,C_coslat
2010,8,21.5,0.7539453242761484,0.6382820666010246,0.11566325767512375,C_coslat
2010,8,21.75,0.7383343218260592,0.6228548671922488,0.11547945463381037,C_coslat
2010,8,22.0,0.7283717529397155,0.6080830535890038,0.12028869935071163,C_coslat
2010,8,22.25,0.7150381742490397,0.5860934158240191,0.12894475842502062,C_coslat
2010,8,22.5,0.6960502617813583,0.5705285655674932,0.1255216962138651,C_coslat
2010,8,22.75,0.6744012662045009,0.5528320988714112,0.12156916733308976,C_coslat
2010,8,23.0,0.6500278215844544,0.5261277370887026,0.12390008449575174,C_coslat
2010,8,23.25,0.6362234259159973,0.4996674564360709,0.13655596947992643,C_coslat
2010,8,23.5,0.6218153732271383,0.4620226858957882,0.1597926873313501,C_coslat
2010,8,23.75,0.5872196563758455,0.421625643869428,0.16559401250641748,C_coslat
2010,8,24.0,0.5448278381971847,0.36824968316159834,0.17657815503558638,C_coslat
2010,8,24.25,0.512414685924505,0.33193261617301995,0.18048206975148506,C_coslat
2010,8,24.5,0.478890656102701,0.3025561070736732,0.1763345490290278,C_coslat
2010,8,24.75,0.4277726219063245,0.27966649506758645,0.14810612683873803,C_coslat
2010,8,25.0,0.3331025915300372,0.2374952697534924,0.0956073217765448,C_coslat
2010,8,25.25,0.2920573366812038,0.20336848651443018,0.08868885016677364,C_coslat
2010,8,25.5,0.25757267595162525,0.17545091263095225,0.082121763320673,C_coslat
2010,8,25.75,0.23837982901361346,0.12760957157337718,0.11077025744023627,C_coslat
2010,8,26.0,0.21728561448702835,0.1134146551025643,0.10387095938446406,C_coslat
2010,8,26.25,0.19870760523204575,0.09759834559829458,0.10110925963375117,C_coslat
2010,8,26.5,0.1808568731002533,0.08064161287276989,0.10021526022748342,C_coslat
2010,8,26.75,0.16047030729076256,0.06297427407728347,0.09749603321347909,C_coslat
2010,8,27.0,0.1383481851908272,0.04692961645573687,0.09141856873509033,C_coslat
2010,8,27.25,0.11602676156654385,0.03531129571765071,0.08071546584889314,C_coslat
2010,8,27.5,0.09159466017649892,0.025996328042570613,0.06559833213392831,C_coslat
2010,8,27.75,0.0648871548723323,0.013516604212892686,0.05137055065943962,C_coslat
2010,8,28.0,0.05163622428385017,0.008465736466679589,0.043170487817170575,C_coslat
2010,8,28.25,0.038203259021194556,0.00537249689582331,0.03283076212537125,C_coslat
2010,8,28.5,0.020537362615884906,0.003192980858783609,0.017344381757101297,C_coslat
2011,6,9.5,0.9866257798480155,0.9851138639611526,0.0015119158868628357,C_coslat
2011,6,9.75,0.9866257798480155,0.98278229504654,0.0038434848014754497,C_coslat
2011,6,10.0,0.9866257798480155,0.9820872566668072,0.004538523181208287,C_coslat
2011,6,10.25,0.9866257798480155,0.9807115029946127,0.0059142768534027335,C_coslat
2011,6,10.5,0.9866257798480155,0.9787900204620895,0.007835759385925956,C_coslat
2011,6,10.75,0.9866257798480155,0.976274385281051,0.010351394566964434,C_coslat
2011,6,11.0,0.9866257798480155,0.9730580918162817,0.013567688031733804,C_coslat
2011,6,11.25,0.9863876754982277,0.9695459528824139,0.016841722615813848,C_coslat
2011,6,11.5,0.9861495711484398,0.9620149765800321,0.02413459456840772,C_coslat
