year,method,outcome,subset,mae,offset
1997,mean,C,all,0.03202780143468358,0
1997,mean,C,high,0.026127865462751573,0
1997,simple,A,all,0.007845309880680785,0
1997,simple,A,high,0.007061765820284009,0
1997,simple,A_new344,all,0.009796560361953076,0
1997,simple,A_new344,high,0.009043697855010467,0
1997,simple,C,all,0.014092398328341757,0
1997,simple,C,high,0.012768658974524168,0
1997,variogram,A,all,0.007798031014474118,0
1997,variogram,A,high,0.007110603734471119,0
1997,variogram,A_new344,all,0.009724734920353174,0
1997,variogram,A_new344,high,0.009101154760328448,0
1997,variogram,C,all,0.013708165669082709,0
1997,variogram,C,high,0.0126589137341387,0
1998,graph,A,all,0.007685631321254287,0
1998,graph,A,high,0.007286532317532106,0
1998,graph,A_new344,all,0.009569753824263184,0
1998,graph,A_new344,high,0.00909952069633019,0
1998,graph,C,all,0.013143653147960142,0
1998,graph,C,high,0.012277778078206788,0
1998,interpolation,A,all,0.014300160043144543,0
1998,interpolation,A,high,0.014075595619198569,0
1998,interpolation,A_new344,all,0.01903224105909413,0
1998,interpolation,A_new344,high,0.018733365785185196,0
1998,interpolation,C,all,0.01843716451992847,0
1998,interpolation,C,high,0.01899823290103595,0
1998,mean,A,all,0.027393404909747628,0
1998,mean,A,high,0.02350443192630018,0
1998,mean,A_new344,all,0.027582751840905157,0
1998,mean,A_new344,high,0.02363160583296034,0
1998,mean,C,all,0.030347019418734994,0
1998,mean,C,high,0.02571514890700884,0
1998,simple,A,all,0.00775153182272339,0
1998,simple,A,high,0.007330819714498106,0
1998,simple,A_new344,all,0.009628885470210923,0
1998,simple,A_new344,high,0.009084087639923731,0
1998,simple,C,all,0.013166708725714597,0
1998,simple,C,high,0.012198124867544716,0
1998,variogram,A,all,0.007586454774559703,0
1998,variogram,A,high,0.007138602851143194,0
1998,variogram,A_new344,all,0.0094525708530393,0
1998,variogram,A_new344,high,0.0089199020000326,0
1998,variogram,C,all,0.01290262670161491,0
1998,variogram,C,high,0.011979455440169904,0
1999,graph,A,all,0.008128230760197266,0
1999,graph,A,high,0.007111470780529326,0
1999,graph,A_new344,all,0.010107189974770944,0
1999,graph,A_new344,high,0.008817467650286981,0
1999,graph,C,all,0.01329132522219051,0
1999,graph,C,high,0.012296669748582961,0
1999,interpolation,A,all,0.012900886694154502,0
1999,interpolation,A,high,0.013441192352179781,0
1999,interpolation,A_new344,all,0.017169932692950248,0
1999,interpolation,A_new344,high,0.017889031465139125,0
1999,interpolation,C,all,0.01676234739468184,0
1999,interpolation,C,high,0.017096546651872876,0
1999,mean,A,all,0.033004076450174336,0
1999,mean,A,high,0.028961542438037922,0
1999,mean,A_new344,all,0.033155458617922164,0
1999,mean,A_new344,high,0.029078609465758624,0
1999,mean,C,all,0.03603542921495335,0
1999,mean,C,high,0.03176636447574327,0
1999,simple,A,all,0.008195301072857313,0
1999,simple,A,high,0.007336794315842188,0
1999,simple,A_new344,all,0.010209116140905744,0
1999,simple,A_new344,high,0.009066762976754319,0
1999,simple,C,all,0.013275283716357458,0
1999,simple,C,high,0.012502914277277016,0
1999,variogram,A,all,0.007967680498324565,0
1999,variogram,A,high,0.007010775049708793,0
1999,variogram,A_new344,all,0.00994966317856679,0
1999,variogram,A_new344,high,0.008706274186975288,0
1999,variogram,C,all,0.013199772052700714,0
1999,variogram,C,high,0.012219256343425114,0
2000,graph,A,all,0.008196969244112833,0
2000,graph,A,high,0.007337436713469414,0
2000,graph,A_new344,all,0.010201125089692224,0
2000,graph,A_new344,high,0.009155146378626005,0
2000,graph,C,all,0.013515961136262376,0
2000,graph,C,high,0.012215947799603562,0
2000,interpolation,A,all,0.014020514999800407,0
2000,interpolation,A,high,0.013642731896223422,0
2000,interpolation,A_new344,all,0.01866005838002978,0
2000,interpolation,A_new344,high,0.018157262671895255,0
2000,interpolation,C,all,0.018760916134178414,0
2000,interpolation,C,high,0.018666788899688775,0
2000,mean,A,all,0.027840479906411992,0
2000,mean,A,high,0.02223132418413535,0
2000,mean,A_new344,all,0.028152512065845244,0
2000,mean,A_new344,high,0.022360574086856398,0
2000,mean,C,all,0.030242275268326686,0
2000,mean,C,high,0.024652722760255423,0
2000,simple,A,all,0.008269694465850207,0
2000,simple,A,high,0.007387914962385453,0
2000,simple,A_new344,all,0.01031489189116159,0
2000,simple,A_new344,high,0.009206392050468332,0
2000,simple,C,all,0.013449618607535149,0
2000,simple,C,high,0.012282688215213272,0
2000,variogram,A,all,0.00811779999570158,0
2000,variogram,A,high,0.007354861102502122,0
2000,variogram,A_new344,all,0.010120563112474995,0
2000,variogram,A_new344,high,0.009241275699622973,0
2000,variogram,C,all,0.013330048659437507,0
2000,variogram,C,high,0.01210069903227795,0
2001,graph,A,all,0.00830209927941986,0
2001,graph,A,high,0.0075443788813870155,0
2001,graph,A_new344,all,0.010361589236401635,0
2001,graph,A_new344,high,0.009368527231559062,0
2001,graph,C,all,0.0142379611906783,0
2001,graph,C,high,0.012458237479077356,0
2001,interpolation,A,all,0.013552737563333722,0
2001,interpolation,A,high,0.01389411357500507,0
2001,interpolation,A_new344,all,0.01803748821955755,0
2001,interpolation,A_new344,high,0.018491829326672354,0
2001,interpolation,C,all,0.01718220411394044,0
2001,interpolation,C,high,0.01820137923398053,0
2001,mean,A,all,0.030331552312831533,0
2001,mean,A,high,0.024471593660308433,0
2001,mean,A_new344,all,0.03065027382297962,0
2001,mean,A_new344,high,0.024852552104286416,0
2001,mean,C,all,0.03326251157252007,0
2001,mean,C,high,0.026690551206910287,0
2001,simple,A,all,0.008294099941486804,0
2001,simple,A,high,0.00765051302653828,0
2001,simple,A_new344,all,0.010359669923760254,0
2001,simple,A_new344,high,0.00950318974539168,0
2001,simple,C,all,0.014276205456184184,0
2001,simple,C,high,0.012668128254874702,0
2001,variogram,A,all,0.008187777222928636,0
2001,variogram,A,high,0.0074848858801749,0
2001,variogram,A_new344,all,0.010234362864116263,0
2001,variogram,A_new344,high,0.009286726908345207,0
2001,variogram,C,all,0.013967477007549528,0
2001,variogram,C,high,0.01246232019023849,0
2002,graph,A,all,0.0085146284541214,0
2002,graph,A,high,0.008691036412500734,0
2002,graph,A_new344,all,0.010575657865143357,0
2002,graph,A_new344,high,0.010768217775864486,0
2002,graph,C,all,0.014109799177847092,0
2002,graph,C,high,0.01351465014863698,0
2002,interpolation,A,all,0.01341113666106006,0
2002,interpolation,A,high,0.014010797197130293,0
2002,interpolation,A_new344,all,0.017849030013626522,0
2002,interpolation,A_new344,high,0.0186471248490466,0
2002,interpolation,C,all,0.0177649125683314,0
2002,interpolation,C,high,0.01868594693613131,0
2002,mean,A,all,0.030743789159338026,0
2002,mean,A,high,0.028594978694217243,0
2002,mean,A_new344,all,0.03094788221351055,0
2002,mean,A_new344,high,0.028497568015920276,0
2002,mean,C,all,0.032774406790667156,0
2002,mean,C,high,0.031001891584454964,0
2002,simple,A,all,0.008694738462307065,0
2002,simple,A,high,0.008621665105484547,0
2002,simple,A_new344,all,0.010794347063187508,0
2002,simple,A_new344,high,0.01070946599027583,0
2002,simple,C,all,0.014345945979996019,0
2002,simple,C,high,0.013577483090660286,0
