dense_site_id,lon,lat,original_site_id,is_original_site,row,col,land_area_km2,cell_area_km2,land_fraction,weight,coslat_weight
126,109.0,25.8,,False,6,5,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
127,109.0,26.7,,False,7,5,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
128,109.0,27.6,,False,8,5,7876.592565884155,7876.592565884155,1.0,0.0024454336118962645,0.00227152414741709
129,109.0,28.5,,False,9,5,7812.301994771332,7812.301994771332,1.0,0.0024254734168992218,0.0022525910968524618
130,109.0,29.4,,False,10,5,7746.088816070434,7746.088816070434,1.0,0.0024049163128734286,0.00223310225314093
131,109.0,30.3,,False,11,5,7677.966622197205,7677.966622197205,1.0,0.0023837665198353513,0.002213062424863061
132,109.0,31.2,,False,12,5,7607.949470217224,7607.949470217224,1.0,0.002362028402060578,0.0021924765565466218
133,109.0,32.1,,False,13,5,7536.051884413391,7536.051884413391,1.0,0.0023397064688809414,0.002171349727446585
134,109.0,33.0,,False,14,5,7462.288858749634,7462.288858749634,1.0,0.0023168053754494223,0.0021496871502919043
135,109.0,33.9,,False,15,5,7386.6758592148435,7386.6758592148435,1.0,0.002293329923467869,0.002127494169999349
136,109.0,34.8,,False,16,5,7309.228826034668,7309.228826034668,1.0,0.0022692850618736874,0.0021047762623547244
137,109.0,35.7,,False,17,5,7229.964175737061,7229.964175737061,1.0,0.002244675887481129,0.0020815390326618067
138,109.0,36.6,,False,18,5,7148.898803057678,7148.898803057678,1.0,0.002219507645572858,0.0020577882143593177
139,109.0,37.5,,False,19,5,7066.050082671509,7066.050082671509,1.0,0.0021937857304375674,0.0020335296676062807
140,109.0,38.4,,False,20,5,6981.435870740478,6981.435870740478,1.0,0.00216751568585046,0.00200876937783612
141,109.0,39.3,,False,21,5,6895.074506255798,6895.074506255798,1.0,0.002140703205490007,0.0019835134542798396
142,109.0,40.2,,False,22,5,6806.984812172058,6806.984812172058,1.0,0.002113354133290046,0.001957768128458664
143,109.0,41.1,,False,23,5,6717.1860963112185,6717.1860963112185,1.0,0.002085474463720446,0.0019315397526465054
144,109.0,42.0,,False,24,5,3324.389859362854,3324.389859362854,1.0,0.0010321182203005656,0.0019048347983026304
145,109.8,21.3,,False,1,6,5972.576901000086,8271.748103979247,0.7220453072219267,0.0018542967890203866,0.0023881184538130577
146,109.8,22.2,39.0,True,2,6,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
147,109.8,23.1,,False,3,6,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
148,109.8,24.0,40.0,True,4,6,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
149,109.8,24.9,,False,5,6,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
150,109.8,25.8,41.0,True,6,6,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
151,109.8,26.7,,False,7,6,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
152,109.8,27.6,42.0,True,8,6,7876.592565884155,7876.592565884155,1.0,0.0024454336118962645,0.00227152414741709
153,109.8,28.5,,False,9,6,7812.301994771332,7812.301994771332,1.0,0.0024254734168992218,0.0022525910968524618
154,109.8,29.4,43.0,True,10,6,7746.088816070434,7746.088816070434,1.0,0.0024049163128734286,0.00223310225314093
155,109.8,30.3,,False,11,6,7677.966622197205,7677.966622197205,1.0,0.0023837665198353513,0.002213062424863061
156,109.8,31.2,44.0,True,12,6,7607.949470217224,7607.949470217224,1.0,0.002362028402060578,0.0021924765565466218
157,109.8,32.1,,False,13,6,7536.051884413391,7536.051884413391,1.0,0.0023397064688809414,0.002171349727446585
158,109.8,33.0,45.0,True,14,6,7462.288858749634,7462.288858749634,1.0,0.0023168053754494223,0.0021496871502919043
159,109.8,33.9,,False,15,6,7386.6758592148435,7386.6758592148435,1.0,0.002293329923467869,0.002127494169999349
160,109.8,34.8,46.0,True,16,6,7309.228826034668,7309.228826034668,1.0,0.0022692850618736874,0.0021047762623547244
161,109.8,35.7,,False,17,6,7229.964175737061,7229.964175737061,1.0,0.002244675887481129,0.0020815390326618067
162,109.8,36.6,47.0,True,18,6,7148.898803057678,7148.898803057678,1.0,0.002219507645572858,0.0020577882143593177
163,109.8,37.5,,False,19,6,7066.050082671509,7066.050082671509,1.0,0.0021937857304375674,0.0020335296676062807
164,109.8,38.4,48.0,True,20,6,6981.435870740478,6981.435870740478,1.0,0.00216751568585046,0.00200876937783612
165,109.8,39.3,,False,21,6,6895.074506255798,6895.074506255798,1.0,0.002140703205490007,0.0019835134542798396
166,109.8,40.2,49.0,True,22,6,6806.984812172058,6806.984812172058,1.0,0.002113354133290046,0.001957768128458664
167,109.8,41.1,,False,23,6,6717.1860963112185,6717.1860963112185,1.0,0.002085474463720446,0.0019315397526465054
168,109.8,42.0,50.0,True,24,6,3324.389859362854,3324.389859362854,1.0,0.0010321182203005656,0.0019048347983026304
169,110.6,21.3,,False,1,7,6328.1446439756855,8271.748103979247,0.7650311112510109,0.0019646893607708615,0.0023881184538130577
170,110.6,22.2,,False,2,7,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
171,110.6,23.1,,False,3,7,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
172,110.6,24.0,,False,4,7,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
173,110.6,24.9,,False,5,7,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
174,110.6,25.8,,False,6,7,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
175,110.6,26.7,,False,7,7,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
176,110.6,27.6,,False,8,7,7876.592565884155,7876.592565884155,1.0,0.0024454336118962645,0.00227152414741709
177,110.6,28.5,,False,9,7,7812.301994771332,7812.301994771332,1.0,0.0024254734168992218,0.0022525910968524618
178,110.6,29.4,,False,10,7,7746.088816070434,7746.088816070434,1.0,0.0024049163128734286,0.00223310225314093
179,110.6,30.3,,False,11,7,7677.966622197205,7677.966622197205,1.0,0.0023837665198353513,0.002213062424863061
180,110.6,31.2,,False,12,7,7607.949470217224,7607.949470217224,1.0,0.002362028402060578,0.0021924765565466218
181,110.6,32.1,,False,13,7,7536.051884413391,7536.051884413391,1.0,0.0023397064688809414,0.002171349727446585
182,110.6,33.0,,False,14,7,7462.288858749634,7462.288858749634,1.0,0.0023168053754494223,0.0021496871502919043
183,110.6,33.9,,False,15,7,7386.6758592148435,7386.6758592148435,1.0,0.002293329923467869,0.002127494169999349
184,110.6,34.8,,False,16,7,7309.228826034668,7309.228826034668,1.0,0.0022692850618736874,0.0021047762623547244
185,110.6,35.7,,False,17,7,7229.964175737061,7229.964175737061,1.0,0.002244675887481129,0.0020815390326618067
186,110.6,36.6,,False,18,7,7148.898803057678,7148.898803057678,1.0,0.002219507645572858,0.0020577882143593177
187,110.6,37.5,,False,19,7,7066.050082671509,7066.050082671509,1.0,0.0021937857304375674,0.0020335296676062807
188,110.6,38.4,,False,20,7,6981.435870740478,6981.435870740478,1.0,0.00216751568585046,0.00200876937783612
189,110.6,39.3,,False,21,7,6895.074506255798,6895.074506255798,1.0,0.002140703205490007,0.0019835134542798396
190,110.6,40.2,,False,22,7,6806.984812172058,6806.984812172058,1.0,0.002113354133290046,0.001957768128458664
191,110.6,41.1,,False,23,7,6717.1860963112185,6717.1860963112185,1.0,0.002085474463720446,0.0019315397526465054
192,110.6,42.0,,False,24,7,3324.389859362854,3324.389859362854,1.0,0.0010321182203005656,0.0019048347983026304
193,111.4,22.2,51.0,True,2,8,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
194,111.4,23.1,,False,3,8,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
195,111.4,24.0,52.0,True,4,8,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
196,111.4,24.9,,False,5,8,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
197,111.4,25.8,53.0,True,6,8,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
198,111.4,26.7,,False,7,8,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
