year,method,threshold_c,mae,bias,outcome,subset
1991,mean,26.25,0.040687478041381446,0.021584502174274895,A,all
1991,mean,26.5,0.03543716832672055,0.018577148185631085,A,all
1991,mean,26.75,0.02998218617080009,0.01480069375848303,A,all
1991,mean,27.0,0.02466133889572386,0.011441916174751028,A,all
1991,mean,27.25,0.020612198722565506,0.007796968211385437,A,all
1991,mean,27.5,0.01628449929255567,0.004909751852403846,A,all
1991,mean,27.75,0.012276023957576215,0.001869356030536878,A,all
1991,mean,28.0,0.008646468638288265,0.0003486122493593762,A,all
1991,mean,28.25,0.0063682075403578,-0.0007812803398283356,A,all
1991,mean,28.5,0.003806457581731436,-0.0004035819305574113,A,all
1991,simple,9.5,0.0012107024583975694,-0.0002694938075523424,A,all
1991,simple,9.75,0.0011998167381810636,-0.0002883543203959522,A,all
1991,simple,10.0,0.001496642859183067,-0.00014167254218392893,A,all
1991,simple,10.25,0.0017886796960820482,-0.00015250788572573255,A,all
1991,simple,10.5,0.0017103631032112229,-0.0002201012916835804,A,all
1991,simple,10.75,0.001900333356875702,-0.00042425187424931877,A,all
1991,simple,11.0,0.002070330591224506,-0.00011215891654109216,A,all
1991,simple,11.25,0.002090224614045674,0.00043701358678787907,A,all
1991,simple,11.5,0.002472623941510948,0.0007778597588772424,A,all
1991,simple,11.75,0.002477119822884738,0.0009756628625784621,A,all
1991,simple,12.0,0.00276548703722304,0.0005197893581531619,A,all
1991,simple,12.25,0.0037774322550854205,0.00045579300745931427,A,all
1991,simple,12.5,0.004687089238116451,0.0008139590835554052,A,all
1991,simple,12.75,0.005439930297459702,0.0012676097888463299,A,all
1991,simple,13.0,0.005436399663624897,0.0014274055252875718,A,all
1991,simple,13.25,0.005358886814991294,0.0015540073461573027,A,all
1991,simple,13.5,0.005725110155291527,0.002775258882795742,A,all
1991,simple,13.75,0.00528385386470324,0.002588266480601863,A,all
1991,simple,14.0,0.00502868366153041,0.00274989841809363,A,all
1991,simple,14.25,0.005999911020095779,0.00284286866248374,A,all
1991,simple,14.5,0.0065358577913984155,0.0023597813185995964,A,all
1991,simple,14.75,0.006798285947577518,0.0017947988032342582,A,all
1991,simple,15.0,0.0074502877050780965,0.00021924215329636025,A,all
1991,simple,15.25,0.006680657804122458,0.000516451164884641,A,all
1991,simple,15.5,0.006632059101254097,0.001105794106017203,A,all
1991,simple,15.75,0.006637722116455931,0.0004465791762953025,A,all
1991,simple,16.0,0.007782185795036269,0.0005129031357328885,A,all
1991,simple,16.25,0.009093819387521867,-0.0014205633437070766,A,all
1991,simple,16.5,0.0093481218828785,-0.0015847731066479791,A,all
1991,simple,16.75,0.008971858653409137,-0.000890460623654,A,all
1991,simple,17.0,0.009248854271382398,-0.0016024783152116986,A,all
1991,simple,17.25,0.00975793862962797,-0.001309701343430708,A,all
1991,simple,17.5,0.009794863050969488,-0.001710644779057173,A,all
1991,simple,17.75,0.010160322087819569,-0.0020947714199830033,A,all
