year,method,outcome,subset,mae,bias,outer_fold
1995,interpolation,A_new344,all,0.01855428082417655,0.007428151566924955,1
1995,interpolation,A_new344,high,0.01814898789230222,0.007083232264078086,1
1995,interpolation,C,all,0.017488894319321754,0.013134568454656766,1
1995,interpolation,C,high,0.017108870782114496,0.013048966626774662,1
1995,mean,A,all,0.026904375888174046,0.00015378840993680157,1
1995,mean,A,high,0.027037366268640513,-0.0014737251099001497,1
1995,mean,A_new344,all,0.02723874798322984,8.632451406461695e-05,1
1995,mean,A_new344,high,0.027418265037239594,-0.0015730616660212494,1
1995,mean,C,all,0.029917443083401152,-0.00012045700010470826,1
1995,mean,C,high,0.02989477876229426,-0.0013776469887770266,1
1995,simple,A,all,0.008031190476986413,-6.703905599234685e-05,1
1995,simple,A,high,0.007695068955237806,-4.511822349436974e-05,1
1995,simple,A_new344,all,0.009976724797553436,-6.0685971381678185e-05,1
1995,simple,A_new344,high,0.009548834836176853,-6.44765327142089e-05,1
1995,simple,C,all,0.013715088469326217,-0.000452370816505989,1
1995,simple,C,high,0.01334959325051045,-6.932257473535776e-05,1
1995,variogram,A,all,0.007938842927502328,-0.00047602664662814035,1
1995,variogram,A,high,0.00758599034890397,-0.0008255164876690397,1
1995,variogram,A_new344,all,0.009852468148942067,-0.00046255310028803736,1
1995,variogram,A_new344,high,0.009351298662623122,-0.0007335941441575721,1
1995,variogram,C,all,0.013551900103387275,-0.0010545017837741487,1
1995,variogram,C,high,0.013452120760203577,-0.0010977047959949229,1
1996,graph,A,all,0.007991158118731587,-8.171570350704353e-05,2
1996,graph,A,high,0.0068765085252100585,0.000174831683013988,2
1996,graph,A_new344,all,0.009984806539773645,-0.00010912634756355908,2
1996,graph,A_new344,high,0.008637525962954407,0.0002566601886550696,2
1996,graph,C,all,0.01308367010429088,-0.0007056342082949465,2
1996,graph,C,high,0.011921518183815724,-0.0015155578686070394,2
1996,interpolation,A,all,0.013796205033620869,0.005696349573064073,2
1996,interpolation,A,high,0.014366827036803923,0.006010504603043833,2
1996,interpolation,A_new344,all,0.018361521766774684,0.007581334607747715,2
1996,interpolation,A_new344,high,0.019120968897816375,0.007999447009459482,2
1996,interpolation,C,all,0.017618529987977343,0.013339278629962838,2
1996,interpolation,C,high,0.017853552509495753,0.0129029837899363,2
1996,mean,A,all,0.027029635640545,-0.0014383971969002924,2
1996,mean,A,high,0.01781774420237797,-0.0017031229512262226,2
1996,mean,A_new344,all,0.02733381551498834,-0.0013407030385936011,2
1996,mean,A_new344,high,0.017961207410512138,-0.0015529077030840075,2
1996,mean,C,all,0.029427461629556773,-0.0022095269603190134,2
1996,mean,C,high,0.020319960203037474,-0.003439738796866854,2
1996,simple,A,all,0.008056080535873042,1.1039612252899135e-05,2
1996,simple,A,high,0.006870059551916831,0.0003985514341000748,2
1996,simple,A_new344,all,0.010067444723741069,1.4305307205843246e-05,2
1996,simple,A_new344,high,0.008604964540056425,0.000486606803194738,2
1996,simple,C,all,0.01323078489445369,-0.0005233756405213126,2
1996,simple,C,high,0.011815464065763413,-0.0012904744448170929,2
1996,variogram,A,all,0.007911601210009823,-0.00014331104811896158,2
1996,variogram,A,high,0.006903532547093397,0.0001502420159891015,2
1996,variogram,A_new344,all,0.009892426524237757,-0.00015390086217573708,2
1996,variogram,A_new344,high,0.008646717351508003,0.00020302494554443447,2
1996,variogram,C,all,0.013004635931410427,-0.0008044779080403226,2
1996,variogram,C,high,0.011876534432847056,-0.0009440429240380298,2
1997,graph,A,all,0.007894910787331327,0.0003179915047182001,2
1997,graph,A,high,0.007219964169992339,0.0002321773933535152,2
1997,graph,A_new344,all,0.00983536401503486,0.0004115207647465536,2
1997,graph,A_new344,high,0.009193006597141964,0.0005858555743833602,2
1997,graph,C,all,0.013923700481856493,0.0009014885596538408,2
1997,graph,C,high,0.012770988172123299,-0.00036413733923785455,2
1997,interpolation,A,all,0.0140446402717174,0.005807410627592903,2
1997,interpolation,A,high,0.013842461717372847,0.0059934773234416915,2
1997,interpolation,A_new344,all,0.01869216697107737,0.007729146992762466,2
1997,interpolation,A_new344,high,0.01842308529844886,0.00797678521483684,2
1997,interpolation,C,all,0.01841514353907628,0.013996805984702513,2
1997,interpolation,C,high,0.01858377608260707,0.014559560675068379,2
1997,mean,A,all,0.02986236817876269,0.0023317084652456515,2
1997,mean,A,high,0.023739756088189814,0.0033927271548132762,2
1997,mean,A_new344,all,0.030101168907406873,0.0023635938670968732,2
1997,mean,A_new344,high,0.02419834599036084,0.0036590693607753935,2
1997,mean,C,all,0.03236197928452194,0.0028601956166318444,2
1997,mean,C,high,0.026637398552546637,0.002910830526670951,2
1997,simple,A,all,0.007924429473070906,0.00021357007803583358,2
1997,simple,A,high,0.0071202471813606675,0.0002233596437067206,2
1997,simple,A_new344,all,0.009875551900545338,0.00035386940632825407,2
1997,simple,A_new344,high,0.009092040048318295,0.0005681175822088815,2
1997,simple,C,all,0.014151338726003986,0.0007046427103011895,2
1997,simple,C,high,0.012957109422786746,-0.00038194310223406826,2
1997,variogram,A,all,0.007882231260499983,0.000449645894051298,2
1997,variogram,A,high,0.007147005167840949,0.00045100413000524417,2
1997,variogram,A_new344,all,0.009820528181984778,0.0005306070037896653,2
1997,variogram,A_new344,high,0.009144266768424787,0.0007662488708426252,2
1997,variogram,C,all,0.01376945869752401,0.0011183429752648934,2
1997,variogram,C,high,0.012746179567316994,0.0002048588538670679,2
1998,graph,A,all,0.007728457436364905,-0.00011032151355230499,2
1998,graph,A,high,0.007202055835157727,-8.420054842546485e-06,2
1998,graph,A_new344,all,0.00960322013184458,2.1080881994444068e-05,2
1998,graph,A_new344,high,0.008951086781967672,0.0002170638680349877,2
1998,graph,C,all,0.013175629800599317,-0.00045291104787611455,2
1998,graph,C,high,0.012331035576317288,-0.0003164797625656652,2
1998,interpolation,A,all,0.014417195629042881,0.0058351721838565025,2
1998,interpolation,A,high,0.014123075964412719,0.005814774967193094,2
1998,interpolation,A_new344,all,0.019188005013944225,0.007766095154838306,2
1998,interpolation,A_new344,high,0.018796557901424336,0.0077389482737333865,2
1998,interpolation,C,all,0.01864567197969956,0.013573051826172603,2
