outer_fold,method,outcome,alpha,inner_mae
6,graph,A_new344,0.1,0.010225273868245
6,graph,A_new344,1.0,0.010233085274317958
6,graph,A_new344,10.0,0.010466100406901326
6,graph,A_new344,100.0,0.012194605397209034
6,graph,A_new344,1000.0,0.017191704610506894
7,mean,A,0.1,0.027826745430255734
7,mean,A,1.0,0.027836493452870145
7,mean,A,10.0,0.028070582417048583
7,mean,A,100.0,0.02954689603891012
7,mean,A,1000.0,0.033441465501789704
7,mean,C,0.1,0.03064106057548398
7,mean,C,1.0,0.03064926714222174
7,mean,C,10.0,0.030878298164123165
7,mean,C,100.0,0.03230090407316513
7,mean,C,1000.0,0.03603520378895786
7,mean,A_new344,0.1,0.028054025807000563
7,mean,A_new344,1.0,0.028063677846646564
7,mean,A_new344,10.0,0.028292551381554065
7,mean,A_new344,100.0,0.029743019107009324
7,mean,A_new344,1000.0,0.03362980301697913
7,simple,A,0.1,0.008303942145587767
7,simple,A,1.0,0.008312344912829214
7,simple,A,10.0,0.008581764342397763
7,simple,A,100.0,0.010594400090694409
7,simple,A,1000.0,0.015891358719911965
7,simple,C,0.1,0.013986539511593305
7,simple,C,1.0,0.013981244206485641
7,simple,C,10.0,0.014163409410565425
7,simple,C,100.0,0.01596978871712125
7,simple,C,1000.0,0.02047846228831064
7,simple,A_new344,0.1,0.010318236633730242
7,simple,A_new344,1.0,0.010322519258103856
7,simple,A_new344,10.0,0.010532210861667038
7,simple,A_new344,100.0,0.012216688219329355
7,simple,A_new344,1000.0,0.016948444193451404
7,variogram,A,0.1,0.008180318509024877
7,variogram,A,1.0,0.008186556842480099
7,variogram,A,10.0,0.008469713878046124
7,variogram,A,100.0,0.010536141792411857
7,variogram,A,1000.0,0.016170837369070577
7,variogram,C,0.1,0.013759400118388424
7,variogram,C,1.0,0.013747970498834214
7,variogram,C,10.0,0.0139412710353301
7,variogram,C,100.0,0.01585579506052427
7,variogram,C,1000.0,0.020650487063227897
7,variogram,A_new344,0.1,0.010168026606908742
7,variogram,A_new344,1.0,0.010171085401731322
7,variogram,A_new344,10.0,0.010398645747399732
7,variogram,A_new344,100.0,0.012135198616446272
7,variogram,A_new344,1000.0,0.017174367747470894
7,graph,A,0.1,0.008233302884488288
7,graph,A,1.0,0.00824788442601752
7,graph,A,10.0,0.008529944685692153
7,graph,A,100.0,0.010575564728018764
7,graph,A,1000.0,0.016059942248060524
7,graph,C,0.1,0.013889649088248468
7,graph,C,1.0,0.013895382520724983
7,graph,C,10.0,0.01409332922776863
7,graph,C,100.0,0.015916503004713114
7,graph,C,1000.0,0.020550244714358613
7,graph,A_new344,0.1,0.010238441091320143
7,graph,A_new344,1.0,0.01024909078436603
7,graph,A_new344,10.0,0.010471391314240895
7,graph,A_new344,100.0,0.012185529137390823
7,graph,A_new344,1000.0,0.017078880020767583
