i,j,rook
268,291,False
268,247,False
269,291,True
269,270,True
269,292,False
269,248,False
270,292,True
270,271,True
270,293,False
270,249,False
271,293,True
271,272,True
271,294,False
271,250,False
272,294,True
272,273,True
272,295,False
272,251,False
273,295,True
273,274,True
273,296,False
273,252,False
274,296,True
274,275,True
274,297,False
274,253,False
275,297,True
275,276,True
275,298,False
275,254,False
276,298,True
276,277,True
276,299,False
276,255,False
277,299,True
277,278,True
277,300,False
277,256,False
278,300,True
278,279,True
278,301,False
278,257,False
279,301,True
279,280,True
279,302,False
279,258,False
280,302,True
280,281,True
280,303,False
280,259,False
281,303,True
281,282,True
281,304,False
281,260,False
282,304,True
283,305,True
283,284,True
283,306,False
283,262,False
284,306,True
284,285,True
284,307,False
284,263,False
285,307,True
285,286,True
285,308,False
285,264,False
286,308,True
286,287,True
286,309,False
286,265,False
287,309,True
287,288,True
287,310,False
287,266,False
288,310,True
288,289,True
288,311,False
288,267,False
289,311,True
289,290,True
289,312,False
289,268,False
290,312,True
290,291,True
290,313,False
290,269,False
291,313,True
291,292,True
291,314,False
291,270,False
292,314,True
292,293,True
292,315,False
292,271,False
293,315,True
293,294,True
293,316,False
293,272,False
294,316,True
294,295,True
294,317,False
294,273,False
295,317,True
295,296,True
295,318,False
295,274,False
296,318,True
296,297,True
296,319,False
296,275,False
297,319,True
297,298,True
297,320,False
297,276,False
298,320,True
298,299,True
298,321,False
298,277,False
299,321,True
299,300,True
299,322,False
299,278,False
300,322,True
300,301,True
300,323,False
300,279,False
301,323,True
301,302,True
301,324,False
301,280,False
302,324,True
302,303,True
302,325,False
302,281,False
303,325,True
303,304,True
303,326,False
303,282,False
304,326,True
305,327,True
305,306,True
305,328,False
305,284,False
306,328,True
306,307,True
306,329,False
306,285,False
307,329,True
307,308,True
307,330,False
307,286,False
308,330,True
308,309,True
308,331,False
308,287,False
309,331,True
309,310,True
309,332,False
309,288,False
310,332,True
310,311,True
310,333,False
310,289,False
311,333,True
311,312,True
311,334,False
311,290,False
312,334,True
312,313,True
312,335,False
312,291,False
313,335,True
313,314,True
313,336,False
313,292,False
314,336,True
314,315,True
314,337,False
314,293,False
315,337,True
315,316,True
315,338,False
315,294,False
316,338,True
316,317,True
316,339,False
316,295,False
317,339,True
317,318,True
317,340,False
317,296,False
318,340,True
318,319,True
318,341,False
