method,outcome,subset,threshold_c,mae,bias
simple,C,all,22.25,0.02300018047865545,-0.00011052615463531053
simple,C,all,22.5,0.024068881177183338,-0.00012755549361366688
simple,C,all,22.75,0.024564312135140744,-0.00011835300414425922
simple,C,all,23.0,0.024438817713732502,-6.535340336804294e-05
simple,C,all,23.25,0.025974123202586026,2.347092239765895e-05
simple,C,all,23.5,0.027334872346304884,0.00011943377098120464
simple,C,all,23.75,0.028725884545017157,0.00020339008327907628
simple,C,all,24.0,0.03278184260681292,0.0001532918421531524
simple,C,all,24.25,0.03532249243877903,0.00012924494253876154
simple,C,all,24.5,0.03671677319984171,0.00025358155077269114
simple,C,all,24.75,0.034936001967383896,0.00014765466558405463
simple,C,all,25.0,0.033319935064666184,3.0927897059610305e-06
simple,C,all,25.25,0.03044693862190396,-0.00010698194322475908
simple,C,all,25.5,0.026603764481272444,-7.499976087279442e-05
simple,C,all,25.75,0.02356443380168476,0.0001463196464596019
simple,C,all,26.0,0.020472576596633166,0.000264044527114273
simple,C,all,26.25,0.018252232435414562,0.0002838856236343946
simple,C,all,26.5,0.01615491846966505,0.0003517927220918406
simple,C,all,26.75,0.013759434941022561,0.00034011627492004783
simple,C,all,27.0,0.011390584039634439,0.0003392940950432684
simple,C,all,27.25,0.008905298321029183,0.00024153772739222032
simple,C,all,27.5,0.006815191033358223,0.00013021446651785866
simple,C,all,27.75,0.005050206391570896,0.0001290483309664475
simple,C,all,28.0,0.0036235914199648574,0.0001032099458035528
simple,C,all,28.25,0.002516394353103682,0.00010296950201140068
simple,C,all,28.5,0.0015085765076357047,7.788370638044344e-05
simple,C,high,9.5,0.0004771867541077631,5.7770972028526894e-05
simple,C,high,9.75,0.0005410897175320594,3.364493364375411e-05
simple,C,high,10.0,0.0006687672611775945,8.195736515639326e-05
simple,C,high,10.25,0.0007734175670067207,5.6235940285734805e-05
simple,C,high,10.5,0.0008749649449095189,6.82110242228207e-05
simple,C,high,10.75,0.0010588274192983634,9.501409873813469e-05
simple,C,high,11.0,0.001114249531809651,1.7702700683308562e-05
simple,C,high,11.25,0.001301922666241773,0.00011842328395861805
simple,C,high,11.5,0.0014709899637144269,0.00017092037993723897
simple,C,high,11.75,0.0016780255225089542,0.0001090757910384791
simple,C,high,12.0,0.0018628557827197166,-1.280138431606366e-05
simple,C,high,12.25,0.0021526878642690248,-4.66630641648953e-05
simple,C,high,12.5,0.0025837892502597907,-3.377154115134938e-05
simple,C,high,12.75,0.0030358924980192397,-2.076719337579163e-05
simple,C,high,13.0,0.003311079551654534,-1.8389488694232802e-05
simple,C,high,13.25,0.00353512462302638,7.051964934142414e-05
simple,C,high,13.5,0.0036808658078419467,0.00016671521079327322
simple,C,high,13.75,0.004243126651336228,0.0002836922615044898
simple,C,high,14.0,0.004714488493532645,0.0007294543617685155
simple,C,high,14.25,0.00515329179703859,0.0006781562532279084
simple,C,high,14.5,0.005401862074165544,0.0006893162763407514
simple,C,high,14.75,0.005782980716075287,0.0005841464942209438
simple,C,high,15.0,0.005705517484631961,0.0005982207545375353
