year,outcome,subset,reference,improvement_pp
2002,A_new344,all,simple,0.024211293497937263
2003,A_new344,all,simple,-0.0028117852552638975
2004,A_new344,all,simple,0.00816453033736439
2005,A_new344,all,simple,0.009956818806946058
2006,A_new344,all,simple,-0.0048843492283349305
2007,A_new344,all,simple,0.014949075434520127
2008,A_new344,all,simple,0.008238581805733967
2009,A_new344,all,simple,0.00794299811521914
2010,A_new344,all,simple,0.011094818619255577
2011,A_new344,all,simple,0.00520460732733579
2012,A_new344,all,simple,0.001826294054844274
2013,A_new344,all,simple,0.01926197855893711
2014,A_new344,all,simple,0.018686823177281077
2016,A_new344,all,simple,-0.000839422323537474
2017,A_new344,all,simple,0.004045368614794681
2018,A_new344,all,simple,0.0037478770771688305
2019,A_new344,all,simple,0.016112244290273844
2020,A_new344,all,simple,0.01172511583696391
2021,A_new344,all,simple,0.009222988015803076
2023,A_new344,all,simple,0.007808637630733403
2024,A_new344,all,simple,-0.005905198283906975
2025,A_new344,all,simple,0.002707091535457222
1991,A_new344,all,variogram,-0.011041128646111821
1992,A_new344,all,variogram,-0.011827720225385252
1993,A_new344,all,variogram,-0.008060985804892416
1994,A_new344,all,variogram,-0.0035472000695622313
1995,A_new344,all,variogram,-0.003239001868362776
1996,A_new344,all,variogram,-0.00923800155358881
1997,A_new344,all,variogram,-0.0014835833050081543
1998,A_new344,all,variogram,-0.011181097077893852
1999,A_new344,all,variogram,-0.01655670034202191
2000,A_new344,all,variogram,-0.00966250173969705
2001,A_new344,all,variogram,-0.011641630915709862
2002,A_new344,all,variogram,-0.014872024412296986
2003,A_new344,all,variogram,-0.0026985213167218455
2004,A_new344,all,variogram,0.012519344103748865
2005,A_new344,all,variogram,-0.009809778271565109
2006,A_new344,all,variogram,0.0014770754055461188
2007,A_new344,all,variogram,-0.014032994076681841
2008,A_new344,all,variogram,-0.008461947395089174
2009,A_new344,all,variogram,-0.017055270286207673
2010,A_new344,all,variogram,0.0019314710199851495
2011,A_new344,all,variogram,-0.006170081606053299
2012,A_new344,all,variogram,-0.010456926612475471
2013,A_new344,all,variogram,-0.0063249179978091055
2014,A_new344,all,variogram,-0.0019399445277325233
2016,A_new344,all,variogram,-0.010825749327437843
2017,A_new344,all,variogram,-0.012049110527822572
2018,A_new344,all,variogram,-0.0009906774661032
2019,A_new344,all,variogram,-0.002324149946022515
2020,A_new344,all,variogram,-0.00861370336412582
2021,A_new344,all,variogram,-0.01301461509564776
2023,A_new344,all,variogram,-0.00792064505923118
2024,A_new344,all,variogram,0.010238425624608909
2025,A_new344,all,variogram,-0.011553194344181283
1991,A_new344,high,simple,-0.0010117000147970637
1992,A_new344,high,simple,-0.006411133981161325
1993,A_new344,high,simple,0.00468305335202656
1994,A_new344,high,simple,0.010491014583616232
1995,A_new344,high,simple,0.011677593520195706
1996,A_new344,high,simple,-0.0032561422897982653
1997,A_new344,high,simple,-0.010096654882366975
1998,A_new344,high,simple,-0.0018089346133906906
1999,A_new344,high,simple,0.024961055932153434
2000,A_new344,high,simple,0.0017260198949174688
2001,A_new344,high,simple,0.012993819466856037
2002,A_new344,high,simple,-0.0010281952260434574
2003,A_new344,high,simple,-0.00012983776959667875
2004,A_new344,high,simple,0.00042802532494914253
2005,A_new344,high,simple,0.0076107579029705
2006,A_new344,high,simple,-0.0164076828564598
2007,A_new344,high,simple,0.016201311078446745
2008,A_new344,high,simple,0.013516859827059774
2009,A_new344,high,simple,0.003860067644973972
2010,A_new344,high,simple,-0.005282214995273871
2011,A_new344,high,simple,0.0011910904805010822
2012,A_new344,high,simple,0.0087610259836687
2013,A_new344,high,simple,0.033938353387151336
2014,A_new344,high,simple,0.014673741989293387
2016,A_new344,high,simple,0.00626582889009155
2017,A_new344,high,simple,0.016106613273710567
2018,A_new344,high,simple,0.012496845243230997
2019,A_new344,high,simple,0.0032020140124270485
2020,A_new344,high,simple,-0.005328581652465358
2021,A_new344,high,simple,0.004614191783593874
2023,A_new344,high,simple,-0.004115424935498789
2024,A_new344,high,simple,-0.010615733435287086
2025,A_new344,high,simple,-0.0034880474471024256
1991,A_new344,high,variogram,-0.024303723370415302
1992,A_new344,high,variogram,-0.006121831406976329
1993,A_new344,high,variogram,-0.005327426144864297
1994,A_new344,high,variogram,0.0013445417827833914
1995,A_new344,high,variogram,-0.008076023835177325
1996,A_new344,high,variogram,0.0009191388553595956
1997,A_new344,high,variogram,-0.004873982871717725
1998,A_new344,high,variogram,-0.017641559355749403
1999,A_new344,high,variogram,-0.008929265057472553
2000,A_new344,high,variogram,0.002795378542982778
2001,A_new344,high,variogram,-0.005673666025118353
2002,A_new344,high,variogram,-0.016863488584284957
2003,A_new344,high,variogram,0.012559953944617057
2004,A_new344,high,variogram,0.015176791531782037
2005,A_new344,high,variogram,0.011362861835940118
2006,A_new344,high,variogram,-0.011056479725741163
2007,A_new344,high,variogram,-0.03404230226855785
2008,A_new344,high,variogram,-0.01007785078213485
2009,A_new344,high,variogram,-0.01415664939060906
2010,A_new344,high,variogram,0.016067309069682685
2011,A_new344,high,variogram,-0.006111912866047647
2012,A_new344,high,variogram,-0.0047963229112758105
2013,A_new344,high,variogram,0.007277951415346658
2014,A_new344,high,variogram,0.014098142892674144
2016,A_new344,high,variogram,-0.009651482431972253
2017,A_new344,high,variogram,-0.008488276142891438
2018,A_new344,high,variogram,0.0242905179735544
2019,A_new344,high,variogram,-0.016543102697553526
2020,A_new344,high,variogram,-0.005186421838180438
2021,A_new344,high,variogram,-0.007761398526385903
2023,A_new344,high,variogram,-0.003522905624171388
2024,A_new344,high,variogram,0.02615939145955478
2025,A_new344,high,variogram,0.002148839852115364
1991,C,all,simple,0.016955157918095883
1992,C,all,simple,0.016055213426684894
1993,C,all,simple,0.03177819364492303
1994,C,all,simple,-0.0001329356739580151
1995,C,all,simple,0.007567789477800832
1996,C,all,simple,0.014711479016281045
1997,C,all,simple,0.022763824414749265
1998,C,all,simple,0.00136678592697545
1999,C,all,simple,0.0018618364302766532
2000,C,all,simple,-0.006473012175325747
2001,C,all,simple,0.0034661287236678953
2002,C,all,simple,0.022174251075803356
2003,C,all,simple,0.010316396135583682
2004,C,all,simple,0.022532497499646448
2005,C,all,simple,0.01600314036648686
2006,C,all,simple,-0.0011193385849775361
2007,C,all,simple,0.0198942070761942
2008,C,all,simple,-0.010164647016482585
2009,C,all,simple,0.0006553088843177027
2010,C,all,simple,0.013074489774966142
2011,C,all,simple,0.01571321435977803
2012,C,all,simple,-0.0065284729813040385
2013,C,all,simple,0.0164743493783516
2014,C,all,simple,0.02768010052477607
2016,C,all,simple,-0.012411277537080663
2017,C,all,simple,0.011838409689794889
2018,C,all,simple,0.0008786967381383542
2019,C,all,simple,0.0034164077898185888
2020,C,all,simple,0.029762802336458054
2021,C,all,simple,0.020224648988548602
2023,C,all,simple,0.005586241424724268
2024,C,all,simple,-0.0034057658259558504
2025,C,all,simple,0.016678462820583946
1991,C,all,variogram,-0.016067642721105842
1992,C,all,variogram,-0.007745927301288855
1993,C,all,variogram,-0.015019310888822468
1994,C,all,variogram,-0.010117158006548235
1995,C,all,variogram,-0.00875104711609339
