year,threshold_c,outcome,high,middle,difference
1991,10.75,largest_km2,3176282.9489018773,3180312.48398344,-4029.5350815619654
1991,11.0,A,0.9944537778619673,0.9955058537201356,-0.0010520758581682443
1991,11.0,A_coslat,0.9929406198162892,0.9945489423958634,-0.0016083225795742913
1991,11.0,A_new344,0.994201987864391,0.9951797576195336,-0.0009777697551427433
1991,11.0,C,0.9855223309977097,0.9863014037086076,-0.0007790727108978693
1991,11.0,C8,0.9869550459942227,0.9879825476090502,-0.001027501614827675
1991,11.0,C_coslat,0.9795663996643041,0.9808540819633711,-0.0012876822990669872
1991,11.0,S_km2,3203074.9866683595,3206463.6588624767,-3388.67219411768
1991,11.0,largest_km2,3174307.3408687054,3176816.6865704604,-2509.345701755956
1991,11.25,A,0.9934062442598136,0.9942484309645879,-0.0008421867047743911
1991,11.25,A_coslat,0.9916509813863605,0.9930516632035028,-0.0014006818171422575
1991,11.25,A_new344,0.9930968562401872,0.9938056696351101,-0.0007088133949229395
1991,11.25,C,0.9843672849946326,0.9849692468886045,-0.0006019618939718807
1991,11.25,C8,0.985907512392069,0.9867496990968433,-0.0008421867047743911
1991,11.25,C_coslat,0.9780386568845878,0.9793101778970348,-0.0012715210124469116
1991,11.25,S_km2,3199700.944803923,3202413.576831896,-2712.6320279731103
1991,11.25,largest_km2,3170587.008115923,3172525.890674803,-1938.8825588799082
1991,11.5,A,0.9920134489460953,0.9922992379544229,-0.0002857890083275416
1991,11.5,A_coslat,0.9899655144544006,0.9907407251809325,-0.0007752107265319349
1991,11.5,A_new344,0.9915293482184658,0.9918356223261692,-0.00030627410770345254
1991,11.5,C,0.9828669772799907,0.9830602286131107,-0.00019325133311998144
1991,11.5,C8,0.9845147170783507,0.9846536875750903,-0.00013897049673968395
1991,11.5,C_coslat,0.97611508560284,0.9769588063619108,-0.0008437207590707244
1991,11.5,S_km2,3195214.836017136,3196135.3449884094,-920.5089712734334
1991,11.5,largest_km2,3165754.6084407903,3166377.0592022394,-622.4507614495233
1991,11.75,A,0.9911800934090649,0.9903810382156989,0.0007990551933660198
1991,11.75,A_coslat,0.9889955535119568,0.9883971818825428,0.0005983716294139704
1991,11.75,A_new344,0.9906548965895943,0.9897625975451904,0.0008922990444039473
1991,11.75,C,0.9820766268414239,0.9809075162163247,0.0011691106250991308
1991,11.75,C8,0.9836813615413202,0.9824491770742999,0.0012321844670203734
1991,11.75,C_coslat,0.9753038608935881,0.9742798557824953,0.0010240051110927961
1991,11.75,S_km2,3192530.6486420296,3189956.9405825753,2573.708059454492
1991,11.75,largest_km2,3163208.9378658156,3159443.3038230203,3765.634042795282
