outcome,subset,reference,threshold_c,improvement_pp,lower_pp,upper_pp
A_new344,all,simple,9.5,-0.0013945094785866757,-0.003137378462205985,0.0002443689677490138
A_new344,all,simple,9.75,-0.0009826500250200807,-0.002917844365966646,0.0008409079960493485
A_new344,all,simple,10.0,-0.00018880308268936144,-0.0016738486221367175,0.0012440061921056645
A_new344,all,simple,10.25,-0.0008413573263137309,-0.002784051601331469,0.0014149949227717923
A_new344,all,simple,10.5,-0.00012462092029467422,-0.002906411012017349,0.0028512074538349095
A_new344,all,simple,10.75,-0.00026052453494481483,-0.0033249022383221288,0.003043297992075133
A_new344,all,simple,11.0,0.0003675385148663689,-0.0015449258053179106,0.0023348027494459675
A_new344,all,simple,11.25,9.165570571933875e-06,-0.001931456885052219,0.0018496203118057455
A_new344,all,simple,11.5,0.0010054792344734275,-0.001456377082383125,0.0030849581829379335
A_new344,all,simple,11.75,0.0019418755066043427,-0.00021451220194910114,0.004018905623288556
A_new344,all,simple,12.0,0.003032825723407463,0.0010266892647318167,0.00481290013025945
A_new344,all,simple,12.25,0.002365545126276941,-6.791662735967488e-06,0.004613593466732809
A_new344,all,simple,12.5,0.0017601836228858852,-0.0003140578310249241,0.0036387455634948663
A_new344,all,simple,12.75,0.0007166375311735631,-0.0016520744405590895,0.0031259911894315753
A_new344,all,simple,13.0,0.0007832740556363346,-0.0004491818619784599,0.002012758278199705
A_new344,all,simple,13.25,-0.0005733555040824045,-0.0023689673520639154,0.0011439639178422642
A_new344,all,simple,13.5,-0.00012465490859177707,-0.00235256863137949,0.002122102650757184
A_new344,all,simple,13.75,-8.588026661849579e-05,-0.001713130057468932,0.0016497637739059656
A_new344,all,simple,14.0,0.0011612774509217037,-0.0005089274389541171,0.003024616822191879
A_new344,all,simple,14.25,0.0008601723867615044,-0.0010681504230895715,0.0025268385850197514
A_new344,all,simple,14.5,0.0008653808583738276,-0.002679802408045231,0.004485372911299254
A_new344,all,simple,14.75,0.0005144677051472323,-0.0032710592783177866,0.004240335857512126
A_new344,all,simple,15.0,0.0012798482786833525,-0.003453581282975365,0.006317727065715969
A_new344,all,simple,15.25,0.004249949598056994,0.00013725099339719879,0.008411127574052562
A_new344,all,simple,15.5,0.0035770082976601886,-0.0006197678163415469,0.007532185687094389
A_new344,all,simple,15.75,0.003414096369679395,-0.00046164135175907846,0.007449352345921341
A_new344,all,simple,16.0,0.009218070212478134,0.003908758517466021,0.014011677983506408
A_new344,all,simple,16.25,0.00197056399795206,-0.002289671442037679,0.006100262543877677
A_new344,all,simple,16.5,0.0042400706084485115,0.00037170235187916926,0.008147900244223322
A_new344,all,simple,16.75,0.00624890317459971,0.0027261316282570424,0.009877565798365219
