threshold_c,high,middle,difference,lower,upper,outcome,positive_years,negative_years
27.75,0.03870560279449246,0.01587500039175451,0.02283060240273795,0.01884274802082788,0.026668958904504696,A_coslat,32,1
28.0,0.025742784140333565,0.009567670613838364,0.0161751135264952,0.012963591584978743,0.019275443271728903,A_coslat,32,1
28.25,0.016098147300389238,0.005320374481268568,0.010777772819120672,0.008476899155798386,0.013071767918211708,A_coslat,32,1
28.5,0.009185934935368095,0.002675441659936385,0.0065104932754317104,0.0050315006386102016,0.008140623822430304,A_coslat,32,1
9.5,0.9993540339690746,0.9972389577356634,0.0021150762334111823,0.0015484581335069106,0.00266470600470041,A_new344,30,3
9.75,0.9991994369909485,0.9966261088307109,0.002573328160237637,0.001889447569146754,0.003239399602376128,A_new344,30,3
10.0,0.9989673506215921,0.9959246761243582,0.0030426744972339046,0.0022306198840189705,0.0038028929067291505,A_new344,31,2
10.25,0.9987119445159758,0.9950094438070132,0.0037025007089626374,0.002769759474601179,0.004595597628086248,A_new344,31,2
10.5,0.9983669793325688,0.9939730013375305,0.004393977995038415,0.003364757451069129,0.005356780321036844,A_new344,30,3
10.75,0.998006854927171,0.9926897836792915,0.005317071247879379,0.004116970112603472,0.0064524793067514685,A_new344,32,1
11.0,0.9975042584301884,0.9911964387255683,0.006307819704620173,0.0049676671504123035,0.007530121991825103,A_new344,32,1
11.25,0.9968764523715775,0.9895239707529466,0.007352481618630839,0.005869599161899192,0.008660969775164272,A_new344,32,1
11.5,0.9961490320139129,0.9874413289622935,0.008707703051619291,0.007001819740659555,0.010152555548737327,A_new344,32,1
11.75,0.9952691606544646,0.9851743114508249,0.010094849203639577,0.008261038471023704,0.011688940594822615,A_new344,33,0
12.0,0.9942763528792772,0.9824171768870313,0.011859175992245789,0.009865346234629235,0.013650772068578272,A_new344,33,0
12.25,0.9930816226648201,0.9793916710931229,0.013689951571697277,0.011446272394870668,0.015651517285500134,A_new344,33,0
12.5,0.9917306774384029,0.9760778094045641,0.015652868033838897,0.013204140611038827,0.017852341414428527,A_new344,33,0
12.75,0.9900637084972407,0.9722806017740068,0.017783106723234018,0.015094359318956821,0.020208872856285212,A_new344,33,0
13.0,0.9882558389398137,0.9681491490187476,0.020106689921066113,0.017125757832511104,0.022771435227110812,A_new344,33,0
13.25,0.9859113644197587,0.9637469196144777,0.022164444805281045,0.01906901991437314,0.024889670189763093,A_new344,33,0
13.5,0.9833180048044506,0.9587476666727631,0.024570338131687353,0.021336217798421302,0.02741666114816212,A_new344,33,0
13.75,0.9803697262010506,0.9535679088904956,0.02680181731055505,0.023187697542483374,0.029998713693972452,A_new344,33,0
14.0,0.9769449393149795,0.9476134828569749,0.029331456458004692,0.025330485967422555,0.032955993338050424,A_new344,33,0
14.25,0.973451874141216,0.9414152479937117,0.03203662614750447,0.027810926203244837,0.03586590520057624,A_new344,33,0
14.5,0.9694743763161804,0.9347504781476553,0.03472389816852504,0.03025479645431861,0.03892251419610066,A_new344,33,0
14.75,0.9653136090564032,0.9279097655719293,0.03740384348447386,0.03271015294495028,0.04185737392712415,A_new344,33,0
15.0,0.9607520880147556,0.9203615867673108,0.04039050124744482,0.035414764910732095,0.044946213935508884,A_new344,33,0
15.25,0.9559058316860944,0.9125813525906936,0.04332447909540095,0.038044699524964504,0.04813265751700144,A_new344,33,0
15.5,0.9505654781115845,0.9041864612934066,0.04637901681817801,0.04072207546216772,0.05160009176311362,A_new344,33,0
15.75,0.9449670612152041,0.8955229491824889,0.049444112032715405,0.04350447593365736,0.05503019912993286,A_new344,33,0
16.0,0.9394141138529704,0.8864184808284375,0.05299563302453269,0.04676499459266205,0.059020147919342236,A_new344,33,0
16.25,0.9333258001637323,0.8772688308122847,0.05605696935144767,0.04940977641346416,0.06220668641931984,A_new344,33,0
16.5,0.9270932261044416,0.8678119270367857,0.05928129906765592,0.052677870565024654,0.06543211697856235,A_new344,33,0
16.75,0.9202764958592393,0.8580537502489012,0.06222274561033812,0.05529987856562804,0.068587321113026,A_new344,33,0
17.0,0.9131236594892188,0.8480946276610434,0.06502903182817543,0.05798077972490425,0.07165157253039177,A_new344,33,0
17.25,0.9057164656588385,0.8377554580922406,0.06796100756659779,0.060948876626830635,0.07478212233708512,A_new344,33,0
17.5,0.8979994500773033,0.8274153505035714,0.07058409957373185,0.06333941251241808,0.07760828108213802,A_new344,33,0
17.75,0.8898903212978853,0.8165953111560156,0.07329501014186969,0.06630011620883185,0.08013309468061262,A_new344,33,0
18.0,0.8812736792635136,0.8054459483115576,0.0758277309519561,0.06875815357143159,0.08282946446268255,A_new344,33,0
18.25,0.8723601176764391,0.794151402723272,0.0782087149531671,0.07114475964503461,0.08539530688305577,A_new344,33,0
18.5,0.8628272858256741,0.7824468243326114,0.08038046149306276,0.07342036992104004,0.08755428591212268,A_new344,33,0
18.75,0.8531719522775638,0.7705076314091479,0.08266432086841588,0.0754760638242608,0.09010791976148468,A_new344,33,0
19.0,0.8429536038663926,0.7583016648868619,0.08465193897953072,0.07712123827325544,0.09241291745031695,A_new344,33,0
19.25,0.8324236997613125,0.7456444263370162,0.08677927342429635,0.07906376898201384,0.0947737224904141,A_new344,33,0
19.5,0.8221969718720206,0.7326546997905404,0.08954227208148018,0.08175619761030065,0.0977332311945547,A_new344,33,0
19.75,0.8116798099001791,0.7193343842517418,0.09234542564843728,0.08458307190673232,0.10058044770981696,A_new344,33,0
20.0,0.8006302817972999,0.7053467553128658,0.09528352648443408,0.08714683878451093,0.10425298763751877,A_new344,33,0
20.25,0.7891607785933212,0.6906086145098869,0.09855216408343431,0.09042009015267197,0.10749972255069488,A_new344,33,0
20.5,0.7768528036501948,0.6753135228590232,0.10153928079117158,0.09315381249485838,0.11110944317403647,A_new344,33,0
20.75,0.7638296825565098,0.6595297748070925,0.10429990774941725,0.09587026349040466,0.11424842632303117,A_new344,33,0
21.0,0.7503074194730263,0.642977619692007,0.10732979978101918,0.09893465772704188,0.11699281817290627,A_new344,33,0
21.25,0.7356803530089306,0.625486163323263,0.11019418968566756,0.10159177301171517,0.12040704596669496,A_new344,33,0
21.5,0.7202764295202134,0.6071337970026303,0.11314263251758315,0.10466073808566882,0.12328840118758333,A_new344,33,0
21.75,0.7042028012119369,0.5880577709703517,0.11614503024158516,0.10712557378460277,0.12682162005706468,A_new344,33,0
22.0,0.6864035980682867,0.5678879744410725,0.1185156236272141,0.10916241804193434,0.1294275285533993,A_new344,33,0
22.25,0.6672048872857265,0.54670302611058,0.1205018611751465,0.11096129068627984,0.13156325397908805,A_new344,33,0
22.5,0.6469363536692068,0.5246114258147656,0.12232492785444116,0.11237171524853073,0.13407902304574934,A_new344,33,0
22.75,0.6252014610977923,0.5014491243797286,0.12375233671806368,0.11265213597324528,0.13619233159452068,A_new344,33,0
23.0,0.6023124740206248,0.4771571452285415,0.12515532879208324,0.11369664573832822,0.13787141144304893,A_new344,33,0
23.25,0.5782074216310968,0.45192091416981234,0.12628650746128442,0.11439424935645603,0.13931595174758743,A_new344,33,0
23.5,0.5522957318162166,0.4252694230660373,0.12702630875017926,0.11528195174697616,0.14008510673175695,A_new344,33,0
23.75,0.5248220860809094,0.3973387592236225,0.12748332685728692,0.11592509260064587,0.1405793306868039,A_new344,33,0
24.0,0.49559654131261327,0.36923563706402585,0.12636090424858742,0.11441333859704239,0.1393175722586814,A_new344,33,0
24.25,0.4655341555317659,0.34096640919277027,0.12456774633899557,0.11272259277004026,0.13756079217335765,A_new344,33,0
24.5,0.43437299176470473,0.31236876063497415,0.12200423112973048,0.1105416049420583,0.13452351706488208,A_new344,33,0
24.75,0.40196396224006425,0.2831507317858879,0.11881323045417633,0.10819484866711256,0.13065073092070104,A_new344,33,0
25.0,0.36783606278177516,0.2539101171927952,0.11392594558897991,0.10366973620615444,0.12562612383200786,A_new344,33,0
