analysis,field,minimum_days_per_regime,bandwidth_km,records,high_days,middle_days,mean_stations,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
dynamic_support_frozen_era_labels_min3,observed_wbt_slp_as_surface_c,3,2012.79624050077,22,112,178,25.415948033384396,9,-0.19063922818662585,0.04960393979515729,-0.30502611847667704,-0.07625233789657467,8
dynamic_support_frozen_era_labels_min5,era_wbt_c,5,125.799765031298,14,84,135,25.947277116349614,6,-0.09975196019384713,0.07247827239134891,-0.2860632906813496,0.08655937029365532,4
dynamic_support_frozen_era_labels_min5,era_wbt_c,5,251.599530062597,14,84,135,25.947277116349614,6,-0.08365776706742943,0.04974794632434271,-0.21153893424899511,0.044223400114136266,4
dynamic_support_frozen_era_labels_min5,era_wbt_c,5,503.199060125194,14,84,135,25.947277116349614,6,-0.12236795636185431,0.048352488231244696,-0.24666198431691058,0.0019260715932019612,5
dynamic_support_frozen_era_labels_min5,era_wbt_c,5,1006.39812025039,14,84,135,25.947277116349614,6,-0.17271630142610528,0.04969073526766539,-0.3004504029045787,-0.044982199947631835,6
dynamic_support_frozen_era_labels_min5,era_wbt_c,5,2012.79624050077,14,84,135,25.947277116349614,6,-0.19734633775961927,0.04855849711757898,-0.3221699284158661,-0.07252274710337242,6
dynamic_support_frozen_era_labels_min5,observed_wbt_c,5,125.799765031298,14,84,135,25.947277116349614,6,-0.09354933983663379,0.08613406206024067,-0.31496399519825946,0.12786531552499186,4
dynamic_support_frozen_era_labels_min5,observed_wbt_c,5,251.599530062597,14,84,135,25.947277116349614,6,-0.06084822478671759,0.07799880196757251,-0.2613505283259535,0.1396540787525183,4
dynamic_support_frozen_era_labels_min5,observed_wbt_c,5,503.199060125194,14,84,135,25.947277116349614,6,-0.09624182001867405,0.06964224649828048,-0.2752629138600606,0.08277927382271245,4
dynamic_support_frozen_era_labels_min5,observed_wbt_c,5,1006.39812025039,14,84,135,25.947277116349614,6,-0.15425206341915207,0.0617879103071608,-0.3130829433166654,0.004578816478361281,5
dynamic_support_frozen_era_labels_min5,observed_wbt_c,5,2012.79624050077,14,84,135,25.947277116349614,6,-0.18616888561540276,0.056586840424390536,-0.3316299897463918,-0.04070778148441376,6
dynamic_support_frozen_era_labels_min5,observed_wbt_slp_as_surface_c,5,125.799765031298,14,84,135,25.947277116349614,6,-0.08825003272616756,0.08541863840086503,-0.3078256330242177,0.13132556757188263,4
dynamic_support_frozen_era_labels_min5,observed_wbt_slp_as_surface_c,5,251.599530062597,14,84,135,25.947277116349614,6,-0.06001315210808542,0.07708540456500844,-0.2581674928755727,0.1381411886594019,4
dynamic_support_frozen_era_labels_min5,observed_wbt_slp_as_surface_c,5,503.199060125194,14,84,135,25.947277116349614,6,-0.09761881454799981,0.06825856009503962,-0.27308302925499844,0.07784540015899882,4
dynamic_support_frozen_era_labels_min5,observed_wbt_slp_as_surface_c,5,1006.39812025039,14,84,135,25.947277116349614,6,-0.15721844527567608,0.06028310749644306,-0.3121811064017439,-0.0022557841496082254,5
dynamic_support_frozen_era_labels_min5,observed_wbt_slp_as_surface_c,5,2012.79624050077,14,84,135,25.947277116349614,6,-0.19003129913807829,0.055123603071103304,-0.33173103190748254,-0.048331566368674,6
dynamic_support_station_defined_peak_and_labels,era_wbt_c,5,125.799765031298,30,236,435,24.54580588493632,10,-0.1109840417831418,0.03723361449171577,-0.19521232950452483,-0.0267557540617588,8
