section,analysis,field_or_component,estimate,standard_error,ci_lower,ci_upper,n_years,n_sites,notes,n_records,n_high_days,n_middle_days,n_fields
spatial_support,west_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.06416125461245914,0.013185561388518327,-0.09101936425697219,-0.037303144967946095,33.0,440.0,west_edge_inward_0.8deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,west_edge_inward_1.6deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.0854497771088101,0.013185472437605442,-0.11230770556624277,-0.05859184865137744,33.0,415.0,west_edge_inward_1.6deg; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,west_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.0631611312240839,0.013595398304318836,-0.09085405134777186,-0.03546821110039594,33.0,415.0,west_edge_inward_1.6deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,east_edge_inward_0.8deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.07788660048765923,0.01287268921624165,-0.10410741037222113,-0.05166579060309734,33.0,461.0,east_edge_inward_0.8deg; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,east_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.06938395268407573,0.012607513363476656,-0.09506461703226013,-0.043703288335891315,33.0,461.0,east_edge_inward_0.8deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,east_edge_inward_1.6deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.07802064197921944,0.012866860272381077,-0.10422957869367458,-0.05181170526476431,33.0,458.0,east_edge_inward_1.6deg; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,east_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.06790449711673,0.012498649600021559,-0.09336341323523817,-0.04244558099822182,33.0,458.0,east_edge_inward_1.6deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,natural_earth_china_mainland_intersection_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.07588433256678526,0.013068067120706078,-0.1025031142195261,-0.04926555091404441,33.0,445.0,natural_earth_china_mainland_intersection; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,natural_earth_china_mainland_intersection_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.0635290360129743,0.013281072580784363,-0.09058169558968766,-0.036476376436260935,33.0,445.0,natural_earth_china_mainland_intersection; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,natural_earth_china_mainland_intersection_wgs84_area_relabelled,five_scale_raw_ratio,-0.06456402783717574,0.0126105495348975,-0.09025087666416373,-0.03887717901018775,33.0,445.0,natural_earth_china_mainland_intersection; WGS84_geodesic; cosine_latitude_area; area_mean_relabelled,,,,
climatology_decomposition,inclusive_35_summer_monthly_climatology,total_effect,-0.0728344831814079,0.013325741361000537,-0.09997813008595527,-0.04569083627686051,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
climatology_decomposition,inclusive_35_summer_monthly_climatology,anomaly_energy_component,-0.012556356168541775,0.00438476271444774,-0.021487825544761,-0.003624886792322552,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
climatology_decomposition,inclusive_35_summer_monthly_climatology,climatology_anomaly_cross_component,-0.060278127012866056,0.012067599167894955,-0.08485902213346266,-0.03569723189226945,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
climatology_decomposition,inclusive_35_summer_monthly_climatology,climatology_energy_component,-5.290344021354948e-17,6.584988892938467e-19,-5.424475855778356e-17,-5.1562121869315407e-17,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
climatology_decomposition,leave_one_summer_out_monthly_climatology,total_effect,-0.0728344831814079,0.013325741361000537,-0.09997813008595527,-0.04569083627686051,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
climatology_decomposition,leave_one_summer_out_monthly_climatology,anomaly_energy_component,-0.012718373686955322,0.004441768960377536,-0.021765960986294436,-0.0036707863876162105,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
climatology_decomposition,leave_one_summer_out_monthly_climatology,climatology_anomaly_cross_component,-0.060116109494452515,0.012094950184519788,-0.08475271681278977,-0.03547950217611526,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
climatology_decomposition,leave_one_summer_out_monthly_climatology,climatology_energy_component,5.092456363993315e-18,7.75756516582202e-18,-1.0709186786334146e-17,2.0894099514320774e-17,33.0,,Five-bandwidth mean; exact Eq. 11 decomposition.,,,,
station_comparison,dynamic_support_frozen_era_labels_min1,era_wbt_c,-0.2101463751903064,0.03351125109070881,-0.28595409188135557,-0.13433865849925725,10.0,,Equal mean over bandwidths >=500 km; minimum 1 retained day(s) per regime.,30.0,366.0,669.0,
station_comparison,dynamic_support_frozen_era_labels_min1,observed_wbt_c,-0.17368174971664208,0.049284493828684765,-0.28517102044883996,-0.0621924789844442,10.0,,Equal mean over bandwidths >=500 km; minimum 1 retained day(s) per regime.,30.0,366.0,669.0,
station_comparison,dynamic_support_frozen_era_labels_min1,observed_wbt_slp_as_surface_c,-0.17288279679147892,0.05163233391707088,-0.2896832507968554,-0.0560823427861024,10.0,,Equal mean over bandwidths >=500 km; minimum 1 retained day(s) per regime.,30.0,366.0,669.0,
station_comparison,dynamic_support_frozen_era_labels_min2,era_wbt_c,-0.1575928889028084,0.051632745719061485,-0.27439427446900766,-0.04079150333660915,10.0,,Equal mean over bandwidths >=500 km; minimum 2 retained day(s) per regime.,24.0,348.0,576.0,
station_comparison,dynamic_support_frozen_era_labels_min2,observed_wbt_c,-0.1342232326809351,0.05206794582701957,-0.25200910928862663,-0.016437356073243606,10.0,,Equal mean over bandwidths >=500 km; minimum 2 retained day(s) per regime.,24.0,348.0,576.0,
station_comparison,dynamic_support_frozen_era_labels_min2,observed_wbt_slp_as_surface_c,-0.13880008909974673,0.04803582695570092,-0.24746467912120557,-0.0301354990782879,10.0,,Equal mean over bandwidths >=500 km; minimum 2 retained day(s) per regime.,24.0,348.0,576.0,
station_comparison,dynamic_support_frozen_era_labels_min3,era_wbt_c,-0.19094365815027742,0.04361762092002012,-0.29152607235961153,-0.09036124394094329,9.0,,Equal mean over bandwidths >=500 km; minimum 3 retained day(s) per regime.,22.0,336.0,534.0,
station_comparison,dynamic_support_frozen_era_labels_min3,observed_wbt_c,-0.15244151163448613,0.05469325175399845,-0.27856437634696907,-0.026318646922003197,9.0,,Equal mean over bandwidths >=500 km; minimum 3 retained day(s) per regime.,22.0,336.0,534.0,
station_comparison,dynamic_support_frozen_era_labels_min3,observed_wbt_slp_as_surface_c,-0.15553676428978477,0.05051154035173405,-0.2720165852164156,-0.03905694336315396,9.0,,Equal mean over bandwidths >=500 km; minimum 3 retained day(s) per regime.,22.0,336.0,534.0,
station_comparison,dynamic_support_frozen_era_labels_min5,era_wbt_c,-0.16414353184919295,0.048692258662887906,-0.28931096750411756,-0.03897609619426834,6.0,,Equal mean over bandwidths >=500 km; minimum 5 retained day(s) per regime.,14.0,252.0,405.0,
station_comparison,dynamic_support_frozen_era_labels_min5,observed_wbt_c,-0.1455542563510763,0.06238714850242335,-0.30592552706855103,0.014817014366398429,6.0,,Equal mean over bandwidths >=500 km; minimum 5 retained day(s) per regime.,14.0,252.0,405.0,
station_comparison,dynamic_support_frozen_era_labels_min5,observed_wbt_slp_as_surface_c,-0.14828951965391807,0.06093480788350628,-0.30492742995724775,0.008348390649411647,6.0,,Equal mean over bandwidths >=500 km; minimum 5 retained day(s) per regime.,14.0,252.0,405.0,
station_comparison,dynamic_support_station_defined_peak_and_labels,era_wbt_c,-0.1752029521524669,0.025469786054809863,-0.23281961111271646,-0.11758629319221733,10.0,,Equal mean over bandwidths >=500 km; minimum 5 retained day(s) per regime.,30.0,708.0,1305.0,
station_comparison,dynamic_support_station_defined_peak_and_labels,observed_wbt_c,-0.15988788778923385,0.030791058222533276,-0.22954210069919512,-0.0902336748792726,10.0,,Equal mean over bandwidths >=500 km; minimum 5 retained day(s) per regime.,30.0,708.0,1305.0,
station_comparison,dynamic_support_station_defined_peak_and_labels,observed_wbt_slp_as_surface_c,-0.16106125580656516,0.030113375256926884,-0.2291824433417357,-0.09294006827139463,10.0,,Equal mean over bandwidths >=500 km; minimum 5 retained day(s) per regime.,30.0,708.0,1305.0,
station_comparison,year_specific_fixed_common_support_frozen_era_labels,era_wbt_c,-0.2152078065275783,0.02630721995714854,-0.27471887258842015,-0.15569674046673643,10.0,,Equal mean over bandwidths >=500 km; minimum 1 retained day(s) per regime.,30.0,366.0,669.0,
station_comparison,year_specific_fixed_common_support_frozen_era_labels,observed_wbt_c,-0.18076925378583827,0.03913885417559838,-0.2693074931050702,-0.09223101446660635,10.0,,Equal mean over bandwidths >=500 km; minimum 1 retained day(s) per regime.,30.0,366.0,669.0,
station_comparison,year_specific_fixed_common_support_frozen_era_labels,observed_wbt_slp_as_surface_c,-0.18205783024705136,0.0415601976830371,-0.27607352912536604,-0.08804213136873666,10.0,,Equal mean over bandwidths >=500 km; minimum 1 retained day(s) per regime.,30.0,366.0,669.0,
station_availability,frozen_era_event_schedule,high_mean_station_count,13.279166666666667,,,,,,122 fields had at least 10 stations; eligibility fraction=0.508333.,,,,240.0
station_availability,frozen_era_event_schedule,middle_mean_station_count,13.122727272727273,,,,,,223 fields had at least 10 stations; eligibility fraction=0.506818.,,,,440.0
station_pressure,slp_as_surface_vs_standard_atmosphere_conversion,station_elevation_min_m,3.0,,,,,,"p_station_Pa = SLP_hPa * 100 * max(1 - 2.25577e-5 * elevation_m, 0.1)^5.2559",,,,
station_pressure,slp_as_surface_vs_standard_atmosphere_conversion,station_elevation_max_m,2063.0,,,,,,"p_station_Pa = SLP_hPa * 100 * max(1 - 2.25577e-5 * elevation_m, 0.1)^5.2559",,,,
station_pressure,slp_as_surface_vs_standard_atmosphere_conversion,matched_station_hours,175172.0,,,,,,"p_station_Pa = SLP_hPa * 100 * max(1 - 2.25577e-5 * elevation_m, 0.1)^5.2559",,,,
station_pressure,slp_as_surface_vs_standard_atmosphere_conversion,slp_as_surface_minus_converted_wbt_mean_c,0.07155940539298515,,,,,,"p_station_Pa = SLP_hPa * 100 * max(1 - 2.25577e-5 * elevation_m, 0.1)^5.2559",,,,
station_pressure,slp_as_surface_vs_standard_atmosphere_conversion,slp_as_surface_minus_converted_wbt_mean_absolute_c,0.07155940539298515,,,,,,"p_station_Pa = SLP_hPa * 100 * max(1 - 2.25577e-5 * elevation_m, 0.1)^5.2559",,,,
station_pressure,slp_as_surface_vs_standard_atmosphere_conversion,slp_as_surface_minus_converted_wbt_max_absolute_c,1.346020071298427,,,,,,"p_station_Pa = SLP_hPa * 100 * max(1 - 2.25577e-5 * elevation_m, 0.1)^5.2559",,,,
