analysis,domain,distance_method,target_weighting,label_rule,n_sites,bandwidth_km,weighted_mean_pair_distance_km,effective_edges,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
full_downloaded_domain_wgs84_equal_frozen_primary,full_downloaded_domain,WGS84_geodesic,equal_site,frozen_primary,465,251.599530062597,299.9722291315474,17549.07709546085,33,-0.04137820410970713,0.012278457151632052,-0.06638860288811259,-0.016367805331301662,23
full_downloaded_domain_wgs84_equal_frozen_primary,full_downloaded_domain,WGS84_geodesic,equal_site,frozen_primary,465,503.199060125194,535.6494905802354,49580.6233134376,33,-0.06521909649694793,0.014388020819999158,-0.09452653585160237,-0.035911657142293496,26
full_downloaded_domain_wgs84_equal_frozen_primary,full_downloaded_domain,WGS84_geodesic,equal_site,frozen_primary,465,1006.39812025039,806.8523409543914,90575.11353854358,33,-0.11172879301262718,0.014542138295717044,-0.14135015939238127,-0.08210742663287308,29
full_downloaded_domain_wgs84_equal_frozen_primary,full_downloaded_domain,WGS84_geodesic,equal_site,frozen_primary,465,2012.79624050077,962.5836527220564,105869.29069079769,33,-0.13911031993616899,0.014297648413230188,-0.16823367672214695,-0.109986963150191,31
full_downloaded_domain_wgs84_equal_domain_mean_relabelled,full_downloaded_domain,WGS84_geodesic,equal_site,domain_mean_relabelled,465,125.799765031298,163.84165248790168,5165.736207146133,33,-0.02439897357709,0.009841388389347403,-0.04444522573329283,-0.004352721420887176,22
full_downloaded_domain_wgs84_equal_domain_mean_relabelled,full_downloaded_domain,WGS84_geodesic,equal_site,domain_mean_relabelled,465,251.599530062597,299.9722291315474,17549.07709546085,33,-0.03338977479561344,0.012120336103820639,-0.058078091539428986,-0.008701458051797891,22
full_downloaded_domain_wgs84_equal_domain_mean_relabelled,full_downloaded_domain,WGS84_geodesic,equal_site,domain_mean_relabelled,465,503.199060125194,535.6494905802354,49580.6233134376,33,-0.05607546303613282,0.014612676561011806,-0.08584051116045566,-0.026310414911809986,25
full_downloaded_domain_wgs84_equal_domain_mean_relabelled,full_downloaded_domain,WGS84_geodesic,equal_site,domain_mean_relabelled,465,1006.39812025039,806.8523409543914,90575.11353854358,33,-0.10263135296828123,0.0148596166192092,-0.13289940153098231,-0.07236330440558014,30
full_downloaded_domain_wgs84_equal_domain_mean_relabelled,full_downloaded_domain,WGS84_geodesic,equal_site,domain_mean_relabelled,465,2012.79624050077,962.5836527220564,105869.29069079769,33,-0.1302006671059008,0.01455348951771901,-0.15984515516823972,-0.1005561790435619,31
full_downloaded_domain_wgs84_area_relabelled,full_downloaded_domain,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,465,125.799765031298,164.0919032357365,5099.749541663744,33,-0.026642071251951192,0.009023626170363038,-0.04502259627728285,-0.00826154622661954,23
full_downloaded_domain_wgs84_area_relabelled,full_downloaded_domain,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,465,251.599530062597,300.36501140672425,17329.37630425816,33,-0.03459314294180882,0.011241652265537784,-0.05749163927706652,-0.011694646606551121,22
full_downloaded_domain_wgs84_area_relabelled,full_downloaded_domain,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,465,503.199060125194,535.8764220136002,48944.18377773,33,-0.055315739998604445,0.013662391418209564,-0.08314512062975865,-0.027486359367450246,28
full_downloaded_domain_wgs84_area_relabelled,full_downloaded_domain,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,465,1006.39812025039,805.9854398379856,89407.18374601484,33,-0.09965448338299804,0.014178443153568487,-0.12853502700085528,-0.07077393976514079,30
full_downloaded_domain_wgs84_area_relabelled,full_downloaded_domain,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,465,2012.79624050077,960.7251969809746,104708.97926658925,33,-0.12567880807948298,0.014101294247037434,-0.15440220451721562,-0.09695541164175032,31
south_edge_inward_0.9deg_wgs84_equal_frozen_primary,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,462,125.799765031298,163.86675533535887,5144.901294747715,33,-0.030601086705770907,0.010254790683305698,-0.05148941177880027,-0.009712761632741537,22
south_edge_inward_0.9deg_wgs84_equal_frozen_primary,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,462,251.599530062597,299.9417056821926,17474.032465338405,33,-0.041066953386519764,0.012304721422755616,-0.06613085073451849,-0.016003056038521035,23
south_edge_inward_0.9deg_wgs84_equal_frozen_primary,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,462,503.199060125194,535.2822027664499,49304.67399417272,33,-0.0644699934717084,0.014434518321202582,-0.09387214513695166,-0.03506784180646513,26
south_edge_inward_0.9deg_wgs84_equal_frozen_primary,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,462,1006.39812025039,804.6378487700961,89750.17546962037,33,-0.11017260548219798,0.01460896711970523,-0.13993009772183784,-0.08041511324255812,29
south_edge_inward_0.9deg_wgs84_equal_frozen_primary,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,462,2012.79624050077,957.3924255322505,104578.06449929655,33,-0.13671409102653156,0.014375706782598257,-0.16599644750781148,-0.10743173454525165,31
south_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,462,125.799765031298,163.86675533535887,5144.901294747715,33,-0.023181367133249548,0.009870343621854627,-0.04328659916801397,-0.00307613509848512,22
south_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,462,251.599530062597,299.9417056821926,17474.032465338405,33,-0.030819163672976737,0.012216805053043485,-0.05570398123607286,-0.005934346109880612,22
south_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,462,503.199060125194,535.2822027664499,49304.67399417272,33,-0.053080250581970245,0.014700846326176544,-0.08302489464084217,-0.023135606523098314,24
south_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,462,1006.39812025039,804.6378487700961,89750.17546962037,33,-0.09959386684167586,0.014925068764239735,-0.12999523706099061,-0.0691924966223611,30
south_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,462,2012.79624050077,957.3924255322505,104578.06449929655,33,-0.12664389651885316,0.014644325357577346,-0.15647341113218072,-0.0968143819055256,31
south_edge_inward_1.8deg_wgs84_equal_frozen_primary,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,457,125.799765031298,163.83655960600174,5099.414276154042,33,-0.030339171935059916,0.010294972785617161,-0.05130934527209783,-0.009368998598022003,21
south_edge_inward_1.8deg_wgs84_equal_frozen_primary,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,457,251.599530062597,299.8168021612175,17304.324533927145,33,-0.040186330496068956,0.01238034577224646,-0.06540426960312307,-0.014968391389014846,23
south_edge_inward_1.8deg_wgs84_equal_frozen_primary,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,457,503.199060125194,534.7107423799697,48735.870986293965,33,-0.06269037841006327,0.014556424020633639,-0.09234084385923547,-0.03303991296089106,26
south_edge_inward_1.8deg_wgs84_equal_frozen_primary,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,457,1006.39812025039,801.4257726466875,88259.17852852283,33,-0.10698964059596014,0.014765297866996067,-0.13706556814736473,-0.07691371304455555,29
south_edge_inward_1.8deg_wgs84_equal_frozen_primary,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,457,2012.79624050077,950.2474042782685,102409.95119816567,33,-0.13232763399801797,0.01455354044185468,-0.16197222578942683,-0.10268304220660912,31
south_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,457,125.799765031298,163.83655960600174,5099.414276154042,33,-0.022840822040224223,0.009857614182172616,-0.0429201250548568,-0.0027615190255916473,22
south_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,457,251.599530062597,299.8168021612175,17304.324533927145,33,-0.02986785689273482,0.012218078310591268,-0.05475526799658484,-0.004980445788884801,23
south_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,457,503.199060125194,534.7107423799697,48735.870986293965,33,-0.05110684774434138,0.014677515828186596,-0.08100396913393806,-0.021209726354744697,24
south_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,457,1006.39812025039,801.4257726466875,88259.17852852283,33,-0.09622782806171323,0.014959248133211055,-0.12669881937734412,-0.06575683674608236,30
south_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,457,2012.79624050077,950.2474042782685,102409.95119816567,33,-0.12215252041104062,0.014751885221477632,-0.15220112729756471,-0.09210391352451652,30
north_edge_inward_0.9deg_wgs84_equal_frozen_primary,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,439,125.799765031298,163.99142213044928,4823.185328324062,33,-0.037038906217196875,0.009631261635408268,-0.05665714418194804,-0.01742066825244571,24
north_edge_inward_0.9deg_wgs84_equal_frozen_primary,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,439,251.599530062597,300.20414594273063,16427.378945135864,33,-0.05176201949136102,0.011588872390017806,-0.07536778007569245,-0.028156258907029597,27
