analysis,scale,n_years,estimate,se,ci_lower,ci_upper,p_one_sided
site_month_standardised_anomaly,125.799765,33,-0.11318262022450273,0.015936430796033716,-0.14564406748868822,-0.08072117296031725,2.333547203324816e-08
site_month_standardised_anomaly,2012.796241,33,-0.06375850762213095,0.024374088104392115,-0.11340690039840146,-0.014110114845860437,0.0067345322483906775
site_month_standardised_anomaly,251.599530,33,-0.12370785350912317,0.018008596629469416,-0.16039016445261262,-0.08702554256563372,4.4966024906219495e-08
site_month_standardised_anomaly,503.199060,33,-0.11099327794722857,0.02043235489397029,-0.15261262291616684,-0.06937393297829031,2.8239569905418034e-06
site_year_month_anomaly,1006.398120,33,0.03459334475324243,0.02609408904080947,-0.01855857528119919,0.08774526478768405,0.9028397374647432
site_year_month_anomaly,125.799765,33,-0.07693407117104756,0.016499900072682077,-0.11054326779285342,-0.043324874549241686,2.641231843883285e-05
site_year_month_anomaly,2012.796241,33,0.07629237286665173,0.02793371838101128,0.019393250489545544,0.13319149524375792,0.9949098348338282
site_year_month_anomaly,251.599530,33,-0.06984888468129427,0.018863133261652613,-0.10827182978408577,-0.03142593957850277,0.00040022683952493227
site_year_month_anomaly,503.199060,33,-0.030225972791331296,0.022443967374970505,-0.0759428382969394,0.015490892714276804,0.093764230811684
site_year_month_linear_detrended,1006.398120,33,-0.06716553566620284,0.027336394743504022,-0.12284794960923362,-0.011483121723172063,0.009808024670160198
site_year_month_linear_detrended,125.799765,33,-0.11153402924890359,0.01710950773007403,-0.1463849560344797,-0.07668310246332745,1.2190484446126775e-07
site_year_month_linear_detrended,2012.796241,33,-0.04391051696220611,0.029638601210094043,-0.10428237202056356,0.01646133809615135,0.0741229475991632
site_year_month_linear_detrended,251.599530,33,-0.11635678866077158,0.019994512169109954,-0.1570842771842504,-0.07562930013729277,9.15923952598734e-07
site_year_month_linear_detrended,503.199060,33,-0.10139791073010192,0.02363564029425863,-0.14954213453950643,-0.053253686920697395,7.7018335481251e-05
