file,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,year,month,day_definition,analysis_role
200108,2.65961723333599,3.1810820080143,-0.163926856762745,-0.521464774678305,8,15,graph_h_0.125,2001,8,utc,confirmatory
200206,2.42226383083052,2.38868208099477,0.0140586937470391,0.0335817498357454,8,14,graph_h_0.125,2002,6,utc,confirmatory
200207,3.17315245395833,2.63837042016326,0.202694068167266,0.534782033795071,8,15,graph_h_0.125,2002,7,utc,confirmatory
200208,2.63947498792757,3.07234746556822,-0.140893073616133,-0.432872477640643,8,15,graph_h_0.125,2002,8,utc,confirmatory
200306,2.44593122698877,2.68433149897927,-0.0888117850128217,-0.238400271990492,8,14,graph_h_0.125,2003,6,utc,confirmatory
200307,2.62767530435523,2.55557757871289,0.0282119103888241,0.0720977256423363,8,15,graph_h_0.125,2003,7,utc,confirmatory
200308,2.81655678451069,2.5854345085885,0.0893939781318906,0.231122275922196,8,15,graph_h_0.125,2003,8,utc,confirmatory
200406,2.94950198781475,2.79267531368262,0.0561564294151078,0.156826674132132,8,14,graph_h_0.125,2004,6,utc,confirmatory
200407,2.76024097457002,2.84926280363051,-0.0312438111876023,-0.0890218290604903,8,15,graph_h_0.125,2004,7,utc,confirmatory
200408,2.46918183074216,2.53295422408189,-0.0251770808700016,-0.0637723933397218,8,15,graph_h_0.125,2004,8,utc,confirmatory
200506,2.63873685784985,2.92221249745661,-0.0970071956962345,-0.283475639606755,8,14,graph_h_0.125,2005,6,utc,confirmatory
200507,2.48648778116828,2.62769024922265,-0.0537363443412496,-0.141202468054372,8,15,graph_h_0.125,2005,7,utc,confirmatory
200508,2.61454755764316,2.6164386124758,-0.000722759106070225,-0.00189105483264074,8,15,graph_h_0.125,2005,8,utc,confirmatory
200606,2.48438226182877,2.64712926784401,-0.0614805661333595,-0.162747006015235,8,14,graph_h_0.125,2006,6,utc,confirmatory
200607,2.70814288972762,2.50478770945164,0.0811865929829623,0.203355180275977,8,15,graph_h_0.125,2006,7,utc,confirmatory
200608,2.25862031425186,2.62590624422438,-0.139870161313014,-0.367285929972514,8,15,graph_h_0.125,2006,8,utc,confirmatory
200706,3.02872730683944,2.65015755163481,0.142848018590859,0.378569755204633,8,14,graph_h_0.125,2007,6,utc,confirmatory
200707,2.52218626822177,2.70064939905519,-0.0660815620479467,-0.178463130833415,8,15,graph_h_0.125,2007,7,utc,confirmatory
200708,2.9022818660801,2.72791794994165,0.0639183140175355,0.174363916138442,8,15,graph_h_0.125,2007,8,utc,confirmatory
200806,2.62902042973949,2.42277583928606,0.0851273927654037,0.206244590453434,8,14,graph_h_0.125,2008,6,utc,confirmatory
200807,2.80051242969247,2.74033556705321,0.0219596692327593,0.0601768626392545,8,15,graph_h_0.125,2008,7,utc,confirmatory
200808,2.86810060076377,2.89922406162359,-0.0107351002193291,-0.0311234608598197,8,15,graph_h_0.125,2008,8,utc,confirmatory
200906,2.95284898931786,3.1967819309063,-0.0763057808948775,-0.24393294158844,8,14,graph_h_0.125,2009,6,utc,confirmatory
200907,2.75981899572477,2.77182590627343,-0.00433176936599455,-0.0120069105486653,8,15,graph_h_0.125,2009,7,utc,confirmatory
