basis,year,analysis_role,bandwidth_km,total_effect,structured_component,residual_component
latitude,2004,held_out,251.59953,-0.010005581307714359,-0.060130841343038845,0.050125260035324214
latitude,2004,held_out,503.19906,-0.03161321026051316,-0.11617951860283464,0.08456630834232177
latitude,2004,held_out,1006.39812,-0.09751911145271551,-0.17637011135611416,0.07885099990339846
latitude,2004,held_out,2012.796241,-0.1406216184518373,-0.2078421231566506,0.06722050470481354
latitude,2005,held_out,125.799765,-0.05048876637583317,-0.0358878921650218,-0.014600874210810704
latitude,2005,held_out,251.59953,-0.0650721707529212,-0.06086907817883943,-0.004203092574082477
latitude,2005,held_out,503.19906,-0.08987288357039443,-0.11232695285819434,0.022454069287799413
latitude,2005,held_out,1006.39812,-0.14450619239460513,-0.17513538751358845,0.0306291951189831
latitude,2005,held_out,2012.796241,-0.1799367318932367,-0.20772010977250865,0.027783377879271848
latitude,2006,held_out,125.799765,-0.04005471148981595,-0.02048438339272553,-0.019570328097090667
latitude,2006,held_out,251.59953,-0.0530504371133807,-0.04251496635682172,-0.010535470756558224
latitude,2006,held_out,503.19906,-0.08710379140770542,-0.07867888719375618,-0.008424904213948786
latitude,2006,held_out,1006.39812,-0.1371482518135028,-0.11915677679619759,-0.01799147501730498
latitude,2006,held_out,2012.796241,-0.16203416653693872,-0.13984036558910154,-0.02219380094783689
latitude,2007,held_out,125.799765,0.04689492352021891,-0.035403828530684404,0.08229875205090366
latitude,2007,held_out,251.59953,0.04425642252690848,-0.06218676294234387,0.10644318546925258
latitude,2007,held_out,503.19906,0.010748305890286495,-0.11433591370376295,0.12508421959404914
latitude,2007,held_out,1006.39812,-0.07775516082957835,-0.17657631313347524,0.09882115230389686
latitude,2007,held_out,2012.796241,-0.12990271330887962,-0.20900578405909145,0.0791030707502114
latitude,2008,held_out,125.799765,0.03211732059861213,-0.01871454725883691,0.050831867857449066
latitude,2008,held_out,251.59953,0.012754530042978779,-0.030960157340639376,0.04371468738361802
latitude,2008,held_out,503.19906,-0.01843600235411318,-0.06104027900150429,0.042604276647390936
latitude,2008,held_out,1006.39812,-0.06321495655824767,-0.09710313029900064,0.03388817374075292
latitude,2008,held_out,2012.796241,-0.08710642835934175,-0.11481766449037817,0.0277112361310361
latitude,2009,held_out,125.799765,-0.08414173102338052,-0.02476667013348015,-0.05937506088990019
latitude,2009,held_out,251.59953,-0.08653275327270256,-0.045687191866451225,-0.04084556140625103
latitude,2009,held_out,503.19906,-0.1051739199875167,-0.08841789889147883,-0.01675602109603787
latitude,2009,held_out,1006.39812,-0.14453185826886417,-0.1334521720728714,-0.011079686195992524
latitude,2009,held_out,2012.796241,-0.16515886187202014,-0.15239610177323812,-0.012762760098782517
