record_id,year,month,forcing_segment,bandwidth_km,q_middle,q_high,relative_effect,n_high,n_middle
196108,1961,8,1950-1978,2012.796241,15.49464527033323,9.244021225699315,-0.4034054304296757,8,15
196206,1962,6,1950-1978,125.799765,2.5381316873763176,2.492714916986938,-0.017893780143585558,8,14
196206,1962,6,1950-1978,251.59953,4.369782148101276,4.285759773040689,-0.01922804666523159,8,14
196206,1962,6,1950-1978,503.19906,8.534764041859907,8.192759329273345,-0.04007195874533298,8,14
196206,1962,6,1950-1978,1006.39812,14.864272961797338,13.512415386734784,-0.09094676736204743,8,14
196206,1962,6,1950-1978,2012.796241,18.97739655213174,16.781083022919276,-0.11573313142185204,8,14
196207,1962,7,1950-1978,125.799765,2.605039998716847,2.649315719370961,0.016996176901668658,8,15
196207,1962,7,1950-1978,251.59953,4.357289213814557,4.355570344110752,-0.00039448143546583214,8,15
196207,1962,7,1950-1978,503.19906,8.217313934482926,7.980154885125566,-0.02886089679039172,8,15
196207,1962,7,1950-1978,1006.39812,12.961574372713358,12.145664498355263,-0.06294836189620179,8,15
196207,1962,7,1950-1978,2012.796241,15.423812354137016,14.173742614304555,-0.08104803865155719,8,15
196208,1962,8,1950-1978,125.799765,2.6074088043334824,2.305955908022465,-0.11561397499694182,8,15
196208,1962,8,1950-1978,251.59953,4.150142950694302,3.679337073203859,-0.11344329173328327,8,15
196208,1962,8,1950-1978,503.19906,7.353182126926585,6.412142085052355,-0.12797725197479337,8,15
196208,1962,8,1950-1978,1006.39812,11.538080259627844,9.551654566585944,-0.17216258236584425,8,15
196208,1962,8,1950-1978,2012.796241,13.862683178729046,11.148263073137077,-0.19580769975014545,8,15
196306,1963,6,1950-1978,125.799765,2.432953070269243,2.493851749525845,0.02503076610921351,8,14
196306,1963,6,1950-1978,251.59953,4.021365153914659,4.2810507608552575,0.06457648012586059,8,14
196306,1963,6,1950-1978,503.19906,7.281242995027619,8.537234070972675,0.1724967944075999,8,14
196306,1963,6,1950-1978,1006.39812,12.03545536496261,14.84877450177616,0.2337526127182219,8,14
196306,1963,6,1950-1978,2012.796241,15.27387820386512,18.716686893393636,0.2254050113256303,8,14
196307,1963,7,1950-1978,125.799765,2.6482781926523677,2.3309076940593347,-0.11984031718177324,8,15
196307,1963,7,1950-1978,251.59953,4.358637194107806,3.7906912475635743,-0.13030356078088023,8,15
196307,1963,7,1950-1978,503.19906,7.787158361203704,6.729815934362954,-0.1357802651232215,8,15
196307,1963,7,1950-1978,1006.39812,11.72503627751315,9.730741385737485,-0.1700885903099867,8,15
196307,1963,7,1950-1978,2012.796241,13.718244234543782,11.026424487764787,-0.1962218853051726,8,15
196308,1963,8,1950-1978,125.799765,2.3517623084746293,2.19290680299119,-0.0675474323706099,8,15
196308,1963,8,1950-1978,251.59953,3.8086248839665444,3.4642996452303016,-0.09040670825467079,8,15
196308,1963,8,1950-1978,503.19906,6.890538889626726,5.828395154492256,-0.1541452348137039,8,15
196308,1963,8,1950-1978,1006.39812,10.739728269497,8.367895872712834,-0.22084659288081332,8,15
196308,1963,8,1950-1978,2012.796241,12.762548334211946,9.559123887651523,-0.25100194433529843,8,15
196406,1964,6,1950-1978,125.799765,2.623278604188587,2.2232140192442538,-0.15250556471796417,8,14
196406,1964,6,1950-1978,251.59953,4.4226447754868765,3.3936244950237295,-0.23267079602834817,8,14
196406,1964,6,1950-1978,503.19906,8.339431006420153,5.805339954843543,-0.30386857923828703,8,14
196406,1964,6,1950-1978,1006.39812,14.252755226624101,9.712736076665365,-0.31853624634470634,8,14
196406,1964,6,1950-1978,2012.796241,18.371646732201658,12.344293583614203,-0.32807909037477645,8,14
196407,1964,7,1950-1978,125.799765,2.57924883702027,2.4710073960780936,-0.041966265289557936,8,15
196407,1964,7,1950-1978,251.59953,4.213990192155872,4.02818182288153,-0.04409321351060913,8,15
196407,1964,7,1950-1978,503.19906,7.604494018550649,7.0523245831081836,-0.07261093691381504,8,15
196407,1964,7,1950-1978,1006.39812,11.625477372540349,10.38737968910873,-0.10649865323862184,8,15
196407,1964,7,1950-1978,2012.796241,13.734917558972787,12.08675356899996,-0.1199980984884842,8,15
196408,1964,8,1950-1978,125.799765,2.43967206574649,2.4037800439096713,-0.014711822273472785,8,15
196408,1964,8,1950-1978,251.59953,3.8716819251421555,3.830563519779459,-0.010620295302586458,8,15
196408,1964,8,1950-1978,503.19906,6.83821184452691,6.5828633763276905,-0.03734140942176167,8,15
196408,1964,8,1950-1978,1006.39812,10.608944660151987,9.296467137537034,-0.12371423969668915,8,15
196408,1964,8,1950-1978,2012.796241,12.70427102378922,10.479014045526194,-0.1751581790168164,8,15
196506,1965,6,1950-1978,125.799765,2.284049355230272,2.0756591156197137,-0.0912371876436745,8,14
