year,bandwidth_km,total_effect,anomaly_energy_component,climatology_anomaly_cross_component,climatology_energy_component
1956,503.19906,-0.09454347350840046,-0.007899092148861359,-0.08664438135953954,0.0
1956,1006.39812,-0.1644697332108497,0.03633405365603829,-0.20080378686688816,0.0
1956,2012.796241,-0.19884952122264699,0.05781790838343831,-0.2566674296060849,0.0
1957,125.799765,-0.06899799019844409,-0.025643967856272997,-0.04335402234217097,0.0
1957,251.59953,-0.07226354839987359,-0.04049277218142499,-0.031770776218448316,0.0
1957,503.19906,-0.05608934207576711,-0.039133682958329946,-0.01695565911743702,0.0
1957,1006.39812,-0.05794692683489039,-0.027502359602704852,-0.030444567232185304,0.0
1957,2012.796241,-0.06608170126473759,-0.02221277260265887,-0.04386892866207837,0.0
1958,125.799765,0.01585465282836196,-0.0047630182692435285,0.020617671097606045,0.0
1958,251.59953,-0.014626750335436525,-0.004876727685890879,-0.009750022649545628,0.0
1958,503.19906,-0.06160448311016578,0.008814577149476565,-0.0704190602596418,0.0
1958,1006.39812,-0.13003219744765018,0.029924263810786663,-0.159956461258437,0.0
1958,2012.796241,-0.16868326621223365,0.040771059920948864,-0.2094543261331825,0.0
1959,125.799765,-0.06816745640684217,-0.026469428476607767,-0.041698027930234194,0.0
1959,251.59953,-0.10202947019020142,-0.02321186817164708,-0.07881760201855469,0.0
1959,503.19906,-0.13675158018280567,-0.00721540163406718,-0.12953617854873875,0.0
1959,1006.39812,-0.1792073132187555,0.01483182426560079,-0.19403913748435622,0.0
1959,2012.796241,-0.20704593452903164,0.027916651043316,-0.23496258557234773,0.0
1960,125.799765,-0.06988068619005923,-0.027304722753775223,-0.042575963436283115,0.0
1960,251.59953,-0.08255716801553586,-0.030381467163026667,-0.052175700852509464,0.0
1960,503.19906,-0.10113203140751748,-0.023189980605820226,-0.07794205080169718,0.0
1960,1006.39812,-0.14857537449295993,-0.00580881263179961,-0.1427665618611608,0.0
1960,2012.796241,-0.18028817034158448,0.003431354281937124,-0.18371952462352178,0.0
1961,125.799765,-0.06581826602362958,-0.03394185615718757,-0.03187640986644181,0.0
1961,251.59953,-0.11315494857686863,-0.03670389223315398,-0.07645105634371539,0.0
1961,503.19906,-0.18978216003250492,-0.031164339090233042,-0.1586178209422718,0.0
1961,1006.39812,-0.2440124138425733,-0.017286033667063185,-0.22672638017550992,0.0
1961,2012.796241,-0.2633718417185947,-0.00868601357367883,-0.2546858281449157,0.0
1962,125.799765,-0.03883719274628628,-0.05096475922398869,0.012127566477702328,0.0
