year,forcing_segment,bandwidth_km,relative_effect
1974,1950-1978,125.799765,-0.12884014302852287
1974,1950-1978,251.59953,-0.14980105714925332
1974,1950-1978,503.19906,-0.16998626818721888
1974,1950-1978,1006.39812,-0.20581485202392766
1974,1950-1978,2012.796241,-0.2276380943612961
1975,1950-1978,125.799765,-0.09240691261119079
1975,1950-1978,251.59953,-0.10390476897112692
1975,1950-1978,503.19906,-0.13490962182988553
1975,1950-1978,1006.39812,-0.184813338362697
1975,1950-1978,2012.796241,-0.2144500806747621
1976,1950-1978,125.799765,-0.022939972245905715
1976,1950-1978,251.59953,-0.044499456732495335
1976,1950-1978,503.19906,-0.08512157413735333
1976,1950-1978,1006.39812,-0.14600964784647866
1976,1950-1978,2012.796241,-0.1785131033025309
1977,1950-1978,125.799765,-0.11489258203275936
1977,1950-1978,251.59953,-0.1108273484017686
1977,1950-1978,503.19906,-0.09060540918718996
1977,1950-1978,1006.39812,-0.11811809147944212
1977,1950-1978,2012.796241,-0.14975603992592842
1978,1950-1978,125.799765,-0.06237340884228874
1978,1950-1978,251.59953,-0.09577377005726011
1978,1950-1978,503.19906,-0.14871213725343066
1978,1950-1978,1006.39812,-0.2151697375047905
1978,1950-1978,2012.796241,-0.2502247322777782
1979,1979-1990,125.799765,-0.08050470206107059
1979,1979-1990,251.59953,-0.11042555192309567
1979,1979-1990,503.19906,-0.1586051939948818
1979,1979-1990,1006.39812,-0.21501466051468476
1979,1979-1990,2012.796241,-0.2452237964812316
1980,1979-1990,125.799765,-0.05160324714415169
1980,1979-1990,251.59953,-0.04186744033524507
1980,1979-1990,503.19906,-0.029881613518311423
1980,1979-1990,1006.39812,-0.060075130237610165
1980,1979-1990,2012.796241,-0.08699220379081089
1981,1979-1990,125.799765,-0.004371102766915214
1981,1979-1990,251.59953,-0.024861069774558892
1981,1979-1990,503.19906,-0.06389939550472312
1981,1979-1990,1006.39812,-0.12254152284095081
1981,1979-1990,2012.796241,-0.15456167401822737
1982,1979-1990,125.799765,-0.09706305219267841
1982,1979-1990,251.59953,-0.10591815155028157
1982,1979-1990,503.19906,-0.11798978679298318
1982,1979-1990,1006.39812,-0.1401075424340752
1982,1979-1990,2012.796241,-0.1523003334875872
1983,1979-1990,125.799765,-0.08860707504867334
1983,1979-1990,251.59953,-0.1276399297637294
1983,1979-1990,503.19906,-0.18052201276318935
1983,1979-1990,1006.39812,-0.2395584339368195
1983,1979-1990,2012.796241,-0.2706180282692086
1984,1979-1990,125.799765,-0.1145914801276428
1984,1979-1990,251.59953,-0.15731449083792512
1984,1979-1990,503.19906,-0.20595789738995388
1984,1979-1990,1006.39812,-0.23916293655850948
1984,1979-1990,2012.796241,-0.25490842790069784
1985,1979-1990,125.799765,-0.061012120359639765
1985,1979-1990,251.59953,-0.06483723941455151
1985,1979-1990,503.19906,-0.06862066947365468
1985,1979-1990,1006.39812,-0.08358871276995934
1985,1979-1990,2012.796241,-0.0981574414935145
1986,1979-1990,125.799765,-0.042888052896976614
1986,1979-1990,251.59953,-0.04093855328117546
1986,1979-1990,503.19906,-0.042472096178079864
1986,1979-1990,1006.39812,-0.08182562408798728
1986,1979-1990,2012.796241,-0.11004056360667865
1987,1979-1990,125.799765,-0.07152001428652954
1987,1979-1990,251.59953,-0.07124276266411211
1987,1979-1990,503.19906,-0.07725043781794061
1987,1979-1990,1006.39812,-0.10104985222400054
1987,1979-1990,2012.796241,-0.11704122060413584
1988,1979-1990,125.799765,-0.1396757855472414
1988,1979-1990,251.59953,-0.1957883088453215
1988,1979-1990,503.19906,-0.2876654340155747
1988,1979-1990,1006.39812,-0.36758281061504877
1988,1979-1990,2012.796241,-0.39954047987191893
1989,1979-1990,125.799765,-0.04094577709028857
1989,1979-1990,251.59953,-0.04720373323710292
1989,1979-1990,503.19906,-0.055470024164859986
1989,1979-1990,1006.39812,-0.10557178213910279
1989,1979-1990,2012.796241,-0.14254329028084603
1990,1979-1990,125.799765,-0.05814823698843041
1990,1979-1990,251.59953,-0.07695192389893905
1990,1979-1990,503.19906,-0.10923253536854834
1990,1979-1990,1006.39812,-0.14459114646297377
1990,1979-1990,2012.796241,-0.16087353153910078
