basis,year,bandwidth_km,total_effect,structured_component,residual_component
latitude,1973,251.59953,-0.04752150574255678,-0.04125304914131809,-0.006268456601238825
latitude,1973,503.19906,-0.05555738758834835,-0.069700925819374,0.01414353823102546
latitude,1973,1006.39812,-0.08450528942195491,-0.10544851666857546,0.02094322724662107
latitude,1973,2012.796241,-0.10686727463909194,-0.12832602718747116,0.02145875254837915
latitude,1974,125.799765,-0.1288401430285229,-0.024963809838261478,-0.10387633319026135
latitude,1974,251.59953,-0.14980105714925332,-0.046868716452976224,-0.10293234069627673
latitude,1974,503.19906,-0.16998626818721893,-0.09384581590931133,-0.07614045227790699
latitude,1974,1006.39812,-0.20581485202392766,-0.1506045573764716,-0.05521029464745616
latitude,1974,2012.796241,-0.22763809436129612,-0.17881067746194088,-0.04882741689935557
latitude,1975,125.799765,-0.09240691261119079,-0.03264555351400473,-0.05976135909718555
latitude,1975,251.59953,-0.1039047689711269,-0.0584486792367318,-0.04545608973439528
latitude,1975,503.19906,-0.13490962182988556,-0.10573123537610478,-0.029178386453781315
latitude,1975,1006.39812,-0.184813338362697,-0.16089463781194244,-0.023918700550754343
latitude,1975,2012.796241,-0.2144500806747621,-0.1907269755385761,-0.023723105136186366
latitude,1976,125.799765,-0.02293997224590573,-0.03172801671202801,0.008788044466121922
latitude,1976,251.59953,-0.04449945673249537,-0.05340276121826443,0.008903304485769861
latitude,1976,503.19906,-0.08512157413735334,-0.10378828450205485,0.018666710364702282
latitude,1976,1006.39812,-0.1460096478464787,-0.1641027192383102,0.018093071391831934
latitude,1976,2012.796241,-0.1785131033025309,-0.19350917372601725,0.014996070423485908
latitude,1977,125.799765,-0.11489258203275932,-0.03528309710164145,-0.07960948493111766
latitude,1977,251.59953,-0.11082734840176857,-0.056019332015202816,-0.05480801638656616
latitude,1977,503.19906,-0.09060540918718994,-0.08450318301454175,-0.006102226172648162
latitude,1977,1006.39812,-0.11811809147944212,-0.1211214167432687,0.0030033252638264154
latitude,1977,2012.796241,-0.14975603992592842,-0.14565189648356192,-0.004104143442366662
latitude,1978,125.799765,-0.06237340884228876,-0.050300008780704376,-0.012073400061583368
latitude,1978,251.59953,-0.09577377005726011,-0.07909004494656811,-0.0166837251106926
latitude,1978,503.19906,-0.14871213725343063,-0.12641491309599154,-0.022297224157438667
latitude,1978,1006.39812,-0.21516973750479051,-0.18519743158379995,-0.02997230592099029
latitude,1978,2012.796241,-0.2502247322777782,-0.2179246731658453,-0.03230005911193299
latitude,1979,125.799765,-0.08050470206107056,-0.033574238066131405,-0.046930463994937395
latitude,1979,251.59953,-0.11042555192309567,-0.05871423898371661,-0.051711312939378695
latitude,1979,503.19906,-0.15860519399488174,-0.1136895892611939,-0.044915604733687865
latitude,1979,1006.39812,-0.2150146605146848,-0.1808955585663652,-0.03411910194831919
latitude,1979,2012.796241,-0.2452237964812316,-0.21458891935887528,-0.030634877122355936
latitude,1980,125.799765,-0.05160324714415169,-0.02580600232952975,-0.025797244814622478
latitude,1980,251.59953,-0.04186744033524507,-0.044430824357193505,0.0025633840219479315
latitude,1980,503.19906,-0.02988161351831139,-0.07074982618544796,0.04086821266713659
latitude,1980,1006.39812,-0.06007513023761018,-0.09443109501306655,0.03435596477545654
latitude,1980,2012.796241,-0.08699220379081089,-0.1096748636742199,0.022682659883409468
latitude,1981,125.799765,-0.00437110276691522,-0.025694616968856988,0.021323514201941163
latitude,1981,251.59953,-0.024861069774558913,-0.046347868353541995,0.0214867985789821
latitude,1981,503.19906,-0.06389939550472311,-0.08963753479913728,0.02573813929441435
latitude,1981,1006.39812,-0.12254152284095081,-0.14277814955944787,0.020236626718497092
latitude,1981,2012.796241,-0.15456167401822737,-0.16981811667393254,0.015256442655705563
latitude,1982,125.799765,-0.09706305219267845,-0.02664165844199381,-0.07042139375068428
latitude,1982,251.59953,-0.10591815155028161,-0.03999848718376182,-0.06591966436651982
latitude,1982,503.19906,-0.11798978679298322,-0.0638622855599288,-0.05412750123305454
latitude,1982,1006.39812,-0.1401075424340752,-0.08980689010549721,-0.050300652328578145
latitude,1982,2012.796241,-0.1523003334875872,-0.10181501818989126,-0.0504853152976962
latitude,1983,125.799765,-0.08860707504867336,-0.04478883384485905,-0.04381824120381383
latitude,1983,251.59953,-0.12763992976372943,-0.0774370163588531,-0.0502029134048769
latitude,1983,503.19906,-0.18052201276318938,-0.13395347313139386,-0.046568539631795386
latitude,1983,1006.39812,-0.23955843393681953,-0.19926285104746946,-0.040295582889349375
latitude,1983,2012.796241,-0.2706180282692086,-0.23421894702262477,-0.03639908124658406
latitude,1984,125.799765,-0.11459148012764281,-0.03251620818762877,-0.08207527194001363
latitude,1984,251.59953,-0.1573144908379251,-0.05517595829062105,-0.10213853254730383
latitude,1984,503.19906,-0.20595789738995388,-0.09160082315829475,-0.11435707423165901
latitude,1984,1006.39812,-0.23916293655850948,-0.13259227531389073,-0.10657066124461845
latitude,1984,2012.796241,-0.25490842790069784,-0.15546812683082062,-0.09944030106987763
latitude,1985,125.799765,-0.061012120359639745,-0.01786276258590181,-0.0431493577737386
latitude,1985,251.59953,-0.0648372394145515,-0.03013306871976204,-0.03470417069478925
latitude,1985,503.19906,-0.06862066947365468,-0.05142623476337519,-0.017194434710279982
latitude,1985,1006.39812,-0.08358871276995937,-0.07772689764984539,-0.005861815120113846
latitude,1985,2012.796241,-0.0981574414935145,-0.09477996869831727,-0.0033774727951971597
latitude,1986,125.799765,-0.04288805289697661,-0.028472533000503907,-0.014415519896472996
latitude,1986,251.59953,-0.04093855328117548,-0.05005797607861367,0.009119422797438584
latitude,1986,503.19906,-0.04247209617807987,-0.08670574377122557,0.0442336475931458
latitude,1986,1006.39812,-0.08182562408798731,-0.1256531631526688,0.04382753906468156
latitude,1986,2012.796241,-0.11004056360667865,-0.1459023028676892,0.03586173926101049
latitude,1987,125.799765,-0.07152001428652958,-0.02536538663317631,-0.04615462765335348
latitude,1987,251.59953,-0.07124276266411211,-0.041567248391004376,-0.029675514273107693
latitude,1987,503.19906,-0.07725043781794057,-0.06945347259073437,-0.007796965227206382
latitude,1987,1006.39812,-0.10104985222400054,-0.09976281528966861,-0.0012870369343317423
latitude,1987,2012.796241,-0.11704122060413584,-0.11583753054986083,-0.001203690054274888
latitude,1988,125.799765,-0.13967578554724136,-0.052918378775257506,-0.08675740677198318
latitude,1988,251.59953,-0.19578830884532153,-0.09420203694353986,-0.10158627190178278
latitude,1988,503.19906,-0.28766543401557465,-0.1753416231412872,-0.11232381087428685
latitude,1988,1006.39812,-0.3675828106150487,-0.26367103041978623,-0.10391178019526198
latitude,1988,2012.796241,-0.39954047987191893,-0.30233238364064996,-0.0972080962312696
latitude,1989,125.799765,-0.04094577709028854,-0.0400578272634021,-0.0008879498268865906
latitude,1989,251.59953,-0.047203733237102925,-0.06716833641307728,0.01996460317597391
latitude,1989,503.19906,-0.05547002416486,-0.10444201949842154,0.04897199533356133
latitude,1989,1006.39812,-0.10557178213910273,-0.14543968030582707,0.03986789816672447
latitude,1989,2012.796241,-0.14254329028084603,-0.17147936646007925,0.028936076179233133
latitude,1990,125.799765,-0.05814823698843041,-0.017976495682627103,-0.04017174130580344
latitude,1990,251.59953,-0.07695192389893903,-0.03363116180504662,-0.04332076209389338
latitude,1990,503.19906,-0.10923253536854831,-0.067923737494389,-0.04130879787415904
latitude,1990,1006.39812,-0.14459114646297377,-0.10763105291831036,-0.03696009354466344
latitude,1990,2012.796241,-0.16087353153910075,-0.1263085459927671,-0.034564985546333735
latitude_longitude,1950,125.799765,-0.061716808364845284,-0.04172554269583483,-0.019991265669010872
latitude_longitude,1950,251.59953,-0.07648900535342455,-0.0679379069541657,-0.008551098399259128
latitude_longitude,1950,503.19906,-0.10544213701431403,-0.11439470017692495,0.00895256316261119
latitude_longitude,1950,1006.39812,-0.1654224973027644,-0.1747535661386758,0.009331068835910996
latitude_longitude,1950,2012.796241,-0.20372246347310866,-0.21022228117502798,0.006499817701918788
latitude_longitude,1951,125.799765,-0.04829783515924126,-0.01812099611544205,-0.03017683904379929
latitude_longitude,1951,251.59953,-0.0370438247867168,-0.027909126023302946,-0.009134698763412939
latitude_longitude,1951,503.19906,-0.038194642031581384,-0.0558042809303038,0.01760963889872232
latitude_longitude,1951,1006.39812,-0.09750853916222364,-0.11475062156702458,0.017242082404800664
latitude_longitude,1951,2012.796241,-0.1445206075540406,-0.1567461655732083,0.012225558019167351
latitude_longitude,1952,125.799765,-0.09466764652961475,-0.05206842295061986,-0.042599223578994365
latitude_longitude,1952,251.59953,-0.129935235230353,-0.08541160284342113,-0.044523632386931605
latitude_longitude,1952,503.19906,-0.1824493440963619,-0.14518857310754213,-0.03726077098881966
latitude_longitude,1952,1006.39812,-0.24291125019906765,-0.21874263218720946,-0.024168618011858364
latitude_longitude,1952,2012.796241,-0.2756119492320715,-0.2579770571818273,-0.01763489205024547
latitude_longitude,1953,125.799765,0.05933362295107739,-0.027435844492912836,0.08676946744399071
latitude_longitude,1953,251.59953,0.043152647938427345,-0.05111660851402411,0.09426925645245131
latitude_longitude,1953,503.19906,-0.0019435511231530357,-0.09622931809272404,0.09428576696957074
latitude_longitude,1953,1006.39812,-0.07184343400073033,-0.14665768985362418,0.07481425585289318
latitude_longitude,1953,2012.796241,-0.10952017571174776,-0.17129685689130084,0.061776681179553435
latitude_longitude,1954,125.799765,-0.09466476644016096,-0.01897153893492974,-0.07569322750523118
latitude_longitude,1954,251.59953,-0.09049341315344656,-0.03230983852075004,-0.05818357463269632
latitude_longitude,1954,503.19906,-0.09211221017551045,-0.06785536387544207,-0.02425684630006857
latitude_longitude,1954,1006.39812,-0.12766421332556746,-0.11076922279755795,-0.01689499052800939
latitude_longitude,1954,2012.796241,-0.14877366844201748,-0.13128575838447795,-0.01748791005753918
latitude_longitude,1955,125.799765,-0.0384433369029115,-0.00815547133915861,-0.030287865563754058
latitude_longitude,1955,251.59953,-0.04881241721331806,-0.018775699660286745,-0.030036717553031222
latitude_longitude,1955,503.19906,-0.07403285959345624,-0.03911088517752234,-0.034921974415934455
latitude_longitude,1955,1006.39812,-0.11441274741093733,-0.08243358254409583,-0.03197916486684169
latitude_longitude,1955,2012.796241,-0.1423157228868329,-0.1134114506059889,-0.02890427228084434
latitude_longitude,1956,125.799765,-0.02064709952436374,-0.025626869787604766,0.004979770263241649
latitude_longitude,1956,251.59953,-0.04323591421513786,-0.052858841783058885,0.009622927567920936
latitude_longitude,1956,503.19906,-0.09454347350840046,-0.124785553117383,0.030242079608982276
latitude_longitude,1956,1006.39812,-0.1644697332108497,-0.20207555036665978,0.03760581715580982
latitude_longitude,1956,2012.796241,-0.19884952122264699,-0.2344626508802936,0.03561312965764632
latitude_longitude,1957,125.799765,-0.06899799019844409,-0.019433735067212323,-0.049564255131231603
latitude_longitude,1957,251.59953,-0.07226354839987359,-0.029921911179327156,-0.04234163722054656
latitude_longitude,1957,503.19906,-0.05608934207576711,-0.04906938145485829,-0.007019960620908872
latitude_longitude,1957,1006.39812,-0.05794692683489039,-0.06882726513281129,0.010880338297921082
latitude_longitude,1957,2012.796241,-0.06608170126473759,-0.0780389591389279,0.011957257874190242
