partition,year,scale,ratio,rms_absolute
30--70,2012,1,-0.16513795470952106,-0.19922559903873882
30--70,2012,2,-0.22409753535837915,-0.35492307005256246
30--70,2012,3,-0.30617439430691296,-0.6843448769678601
30--70,2012,4,-0.3590467754587577,-1.0540374591976924
30--70,2012,5,-0.3772326528467997,-1.2404492782319307
30--70,2012,6,-0.3834445943084555,-1.3108691229401437
30--70,2013,1,0.011178823618859987,0.012338848715821507
30--70,2013,2,-0.0010157083801956013,-0.003705877340959063
30--70,2013,3,-0.02391380961486937,-0.054707307990416044
30--70,2013,4,-0.07311080279707145,-0.1908054791854168
30--70,2013,5,-0.10056276359340506,-0.28479034974594813
30--70,2013,6,-0.11164236341370186,-0.3259349124957979
30--70,2014,1,-0.006252368559714709,-0.008740445487950646
30--70,2014,2,-0.006541069097487824,-0.011261261991023877
30--70,2014,3,0.010371412630296136,0.017192294021687687
30--70,2014,4,-0.0024264698779937013,-0.009590877566009404
30--70,2014,5,-0.018869060884647126,-0.05585762554956405
30--70,2014,6,-0.02629589331014211,-0.07938933202692529
30--70,2016,1,0.09036185681392128,0.09896889024539106
30--70,2016,2,0.09342894188923512,0.13070184948356647
30--70,2016,3,0.07796437740776659,0.14667539386385942
30--70,2016,4,0.034553714620946585,0.0801314901198289
30--70,2016,5,0.007078064819810696,0.011655212509162164
30--70,2016,6,-0.004720556514292595,-0.023148236475530066
30--70,2017,1,-0.06708785004376916,-0.08043975604406943
30--70,2017,2,-0.07082163734439843,-0.10836249428968199
30--70,2017,3,-0.08274989773709014,-0.17194024042088207
30--70,2017,4,-0.12361975862381928,-0.3257448346648782
30--70,2017,5,-0.15109230796676076,-0.4414859895795858
30--70,2017,6,-0.1627923644750048,-0.49344409540912054
30--70,2018,1,-0.09043087919918975,-0.10374451649165965
30--70,2018,2,-0.11356521803750685,-0.16369513063636396
30--70,2018,3,-0.14756169793048526,-0.2780426861444966
30--70,2018,4,-0.2131269195502239,-0.5035067911749055
30--70,2018,5,-0.25607699892767904,-0.67334016012565
30--70,2018,6,-0.27470895426918,-0.7513485272884358
30--70,2019,1,-0.059814266698997254,-0.07434339926433549
30--70,2019,2,-0.06645499561782675,-0.10550024367320932
30--70,2019,3,-0.07735947130556949,-0.1673702523888645
30--70,2019,4,-0.11456732821730142,-0.32355452322968653
30--70,2019,5,-0.1419954848629449,-0.4526027820264466
30--70,2019,6,-0.15416935581427862,-0.5132597364971542
30--70,2020,1,-0.027384064523404066,-0.032306389819652136
30--70,2020,2,-0.055704540265063475,-0.0823772793701778
30--70,2020,3,-0.1076693820843924,-0.2225237813244072
30--70,2020,4,-0.15036140941033319,-0.4095733715916084
30--70,2020,5,-0.1651967702542616,-0.504255942442243
30--70,2020,6,-0.1702435915394879,-0.5403094977716417
30--70,2021,1,-0.08593770859430679,-0.10240464236794056
30--70,2021,2,-0.08329760917825653,-0.1277886465002306
30--70,2021,3,-0.08171942675215756,-0.17199267678932806
30--70,2021,4,-0.10763221039276367,-0.29247093675450103
30--70,2021,5,-0.12744336640780762,-0.3871280464162912
30--70,2021,6,-0.1361358387378699,-0.43025581917497807
30--70,2023,1,-0.14603205552342358,-0.18737052144767827
30--70,2023,2,-0.18354370712965595,-0.30566152687543324
30--70,2023,3,-0.2220186960558533,-0.5189281952456292
30--70,2023,4,-0.24915792906888423,-0.7576950220539574
30--70,2023,5,-0.26434664324935103,-0.8906034602542109
30--70,2023,6,-0.2707748664516955,-0.9431053677151547
30--70,2024,1,0.03516405838530919,0.03702950266050845
30--70,2024,2,0.014754939970333317,0.014372620233245778
30--70,2024,3,-0.017931165363073858,-0.05212320826520678
30--70,2024,4,-0.06801846755370484,-0.2046895894780262
30--70,2024,5,-0.09464875076246256,-0.31045646195849635
30--70,2024,6,-0.10546157903280196,-0.3572020961868188
30--70,2025,1,-0.09428425144259263,-0.10888465346616523
30--70,2025,2,-0.11408880268628514,-0.16837895025261465
30--70,2025,3,-0.13465867164451148,-0.2681823422215448
30--70,2025,4,-0.16242183991497885,-0.42221426551133856
30--70,2025,5,-0.17666862994364727,-0.5220585542861933
30--70,2025,6,-0.18194071708445525,-0.5641105003971898
Quartiles,1991,1,0.07281041033487679,0.0806580930109777
Quartiles,1991,2,0.07721930439696807,0.10899945908461817
Quartiles,1991,3,0.08419294833409818,0.15353624790011308
Quartiles,1991,4,0.041711727256061835,0.0865717047319577
Quartiles,1991,5,0.0047660252789822515,-0.002050773927860128
Quartiles,1991,6,-0.0118722239318562,-0.047351299170682225
Quartiles,1992,1,0.04696221026521993,0.050971511242988043
Quartiles,1992,2,0.03576211147413266,0.04571754158196839
Quartiles,1992,3,0.029034860969232763,0.04173327863070483
Quartiles,1992,4,-0.02033286812893172,-0.060610175523805467
Quartiles,1992,5,-0.05810118311111027,-0.16526739420098271
Quartiles,1992,6,-0.07441182139003948,-0.21629985573539892
Quartiles,1993,1,-0.01688065956862424,-0.0243286626537708
Quartiles,1993,2,-0.007764407688316988,-0.020591232932547204
Quartiles,1993,3,-0.004533389415210383,-0.022280911625499833
Quartiles,1993,4,-0.038708334470152574,-0.11574020957874698
Quartiles,1993,5,-0.06601950988657575,-0.20967327061427662
Quartiles,1993,6,-0.07790075875188474,-0.25475282877261307
Quartiles,1994,1,0.03827246422481778,0.04109607905530366
Quartiles,1994,2,0.04487437642391723,0.05285752848817671
Quartiles,1994,3,0.0378557097944345,0.03369707815589473
Quartiles,1994,4,-0.016982807779126603,-0.0859512205732192
Quartiles,1994,5,-0.05631557693340972,-0.18563083079892628
Quartiles,1994,6,-0.07345314477997993,-0.23256427869441096
Quartiles,1995,1,0.007188224917916079,0.007121134102178998
Quartiles,1995,2,-0.012526020593260245,-0.01851004783786688
Quartiles,1995,3,-0.05440341240629546,-0.1111523734525283
Quartiles,1995,4,-0.09620459253762785,-0.25017101339965137
Quartiles,1995,5,-0.11249002390859093,-0.3199313139979599
Quartiles,1995,6,-0.11845625093220462,-0.34654307679018564
Quartiles,1996,1,-0.06923980007832327,-0.08794225389564773
Quartiles,1996,2,-0.06187954907244175,-0.10123075359489242
Quartiles,1996,3,-0.06310095366619488,-0.13499721984360402
Quartiles,1996,4,-0.12582043820542796,-0.3318804049361743
Quartiles,1996,5,-0.1670774167995297,-0.4905471236244085
Quartiles,1996,6,-0.18417608434030572,-0.5622689085620381
Quartiles,1997,1,-0.0743258900264853,-0.09336991575211329
Quartiles,1997,2,-0.10154294145229965,-0.162067007742424
Quartiles,1997,3,-0.1371808953833801,-0.2958794624011308
Quartiles,1997,4,-0.17534008727902195,-0.4848322722719847
Quartiles,1997,5,-0.19434568621540424,-0.5987456482241053
Quartiles,1997,6,-0.20177560865772484,-0.6452831929267587
Quartiles,1998,1,-0.0011527962103240845,-0.003931907294208929
Quartiles,1998,2,0.001827702121129778,-0.0030880531766319663
Quartiles,1998,3,-0.002542427518170539,-0.020987508107177383
Quartiles,1998,4,-0.035399816289870135,-0.12705483434604817
Quartiles,1998,5,-0.05594523495368423,-0.21419991614981862
Quartiles,1998,6,-0.06443630697785448,-0.2546811205275172
Quartiles,1999,1,-0.10718238774587015,-0.1285740804534692
Quartiles,1999,2,-0.13773752520137006,-0.21547082371523393
Quartiles,1999,3,-0.1663211587104234,-0.3630783683243884
Quartiles,1999,4,-0.20490429324561296,-0.5828491178187795
Quartiles,1999,5,-0.23009175451788663,-0.7342801114268482
Quartiles,1999,6,-0.24093784231408974,-0.8008924090296933
Quartiles,2000,1,-0.11036013010090158,-0.13687539687074146
Quartiles,2000,2,-0.13251151409061812,-0.20993490231095505
Quartiles,2000,3,-0.16746543759046348,-0.3606495666212406
Quartiles,2000,4,-0.2190249162492264,-0.5986563100956706
Quartiles,2000,5,-0.24737756004821254,-0.7485936619928649
Quartiles,2000,6,-0.25897780302197626,-0.811747940975096
Quartiles,2001,1,-0.0677674123387156,-0.08773152906508634
Quartiles,2001,2,-0.07215520422484074,-0.1193473975442106
Quartiles,2001,3,-0.0834092261189124,-0.1881056259973614
Quartiles,2001,4,-0.1211568998906235,-0.34901156102786474
Quartiles,2001,5,-0.14749520067323718,-0.47485591833849927
Quartiles,2001,6,-0.1588363876625147,-0.5322616513319014
Quartiles,2002,1,0.02528656276605845,0.018709726797942583
Quartiles,2002,2,0.022962254498447538,0.014453786828650728
Quartiles,2002,3,0.03250626044426034,0.02571485198736682
Quartiles,2002,4,0.02111579049180649,-0.01346930991435998
Quartiles,2002,5,0.003204059635737259,-0.07319757880175685
Quartiles,2002,6,-0.005629313052677924,-0.1043329122521482
Quartiles,2003,1,0.009598034502634115,0.008616780996313356
Quartiles,2003,2,0.007227065477928766,0.004314771561878168
Quartiles,2003,3,-0.004618159186256336,-0.017495095536413114
Quartiles,2003,4,-0.06998528072981791,-0.18461807949577155
Quartiles,2003,5,-0.10755049583247826,-0.31353587042747133
Quartiles,2003,6,-0.12264424845153381,-0.37125776518653925
Quartiles,2004,1,-8.815421416215792e-05,-0.00021679341727764978
Quartiles,2004,2,-0.010005581311561743,-0.016471301907120466
Quartiles,2004,3,-0.03161321027749412,-0.0717768073472446
Quartiles,2004,4,-0.09751911147577715,-0.2755518755000453
Quartiles,2004,5,-0.1406216184432155,-0.4426226329423096
Quartiles,2004,6,-0.15906374973336032,-0.5208731834797554
Quartiles,2005,1,-0.05048876638118153,-0.06117360893484817
Quartiles,2005,2,-0.065072170758947,-0.10240305588910752
Quartiles,2005,3,-0.08987288358534788,-0.19021967073964138
Quartiles,2005,4,-0.14450619241349696,-0.3818440501851965
Quartiles,2005,5,-0.17993673188611378,-0.5265716164277846
Quartiles,2005,6,-0.19522092822627876,-0.5925393192884236
Quartiles,2006,1,-0.04005471148780052,-0.04969093319774517
Quartiles,2006,2,-0.053050437122115546,-0.08234710540090633
Quartiles,2006,3,-0.08710379142472746,-0.17977862467853903
Quartiles,2006,4,-0.13714825182809517,-0.35559150804814915
Quartiles,2006,5,-0.16203416653242111,-0.46445675746242365
Quartiles,2006,6,-0.17128742878806377,-0.5089448029656589
Quartiles,2007,1,0.04689492352015064,0.05144670199305349
Quartiles,2007,2,0.04425642252381612,0.0614276671893547
Quartiles,2007,3,0.010748305864602847,0.016423820343351103
Quartiles,2007,4,-0.07775516085830299,-0.2051313598836959
Quartiles,2007,5,-0.12990271329871586,-0.3818487622615028
Quartiles,2007,6,-0.15144237236719338,-0.46384205776224413
Quartiles,2008,1,0.03211732059294651,0.034795217729491824
Quartiles,2008,2,0.01275453003395007,0.014141352496176355
Quartiles,2008,3,-0.018436002369208948,-0.05098526467479347
Quartiles,2008,4,-0.0632149565716326,-0.18326003571145577
Quartiles,2008,5,-0.08710642835472422,-0.26877356734415453
Quartiles,2008,6,-0.09690900009457344,-0.30588263373715324
Quartiles,2009,1,-0.0841417310213125,-0.10968572441071849
Quartiles,2009,2,-0.08653275327624421,-0.14598660679008577
Quartiles,2009,3,-0.10517391999956986,-0.24000899864356282
Quartiles,2009,4,-0.14453185828078466,-0.42248507005376695
Quartiles,2009,5,-0.1651588618681943,-0.5386862284467208
Quartiles,2009,6,-0.17310500402261178,-0.5866472226229599
Quartiles,2010,1,-0.008427480424166004,-0.010911290986961605
Quartiles,2010,2,-0.018795293194711887,-0.033517122373991036
Quartiles,2010,3,-0.041185836355734695,-0.11333353538938178
Quartiles,2010,4,-0.09754692522242499,-0.31918854310969663
Quartiles,2010,5,-0.136408106270727,-0.471109076214326
Quartiles,2010,6,-0.15339015058416752,-0.5394681608964914
Quartiles,2011,1,-0.01584788187032286,-0.018305574149119003
Quartiles,2011,2,-0.026034848247795634,-0.038775120139183716
Quartiles,2011,3,-0.04518523212370377,-0.09119447416986419
Quartiles,2011,4,-0.1090168798090246,-0.287055093754228
Quartiles,2011,5,-0.14753527798602226,-0.43740289504043606
Quartiles,2011,6,-0.16330527272007325,-0.5048138121601005
Quartiles,2012,1,-0.15719744091092544,-0.18755180168177654
Quartiles,2012,2,-0.220594332302543,-0.3456760489390242
Quartiles,2012,3,-0.3007200770347968,-0.6616060921112794
Quartiles,2012,4,-0.35095429542070694,-1.0084151520366222
Quartiles,2012,5,-0.3687728230252594,-1.185183428478105
Quartiles,2012,6,-0.3749037678628633,-1.2521864159877598
Quartiles,2013,1,0.008176083915524305,0.008420570435258679
Quartiles,2013,2,-0.010132641067099804,-0.020261970014079072
Quartiles,2013,3,-0.034322841088072854,-0.08801142869683327
Quartiles,2013,4,-0.07822947752807434,-0.22266177459483671
Quartiles,2013,5,-0.10311575953340031,-0.3113672529930425
Quartiles,2013,6,-0.1130806214382681,-0.34924024772657436
Quartiles,2014,1,-0.006289860254514279,-0.006950028953634242
Quartiles,2014,2,-0.00015455880273351763,-0.0001549844964371753
Quartiles,2014,3,0.018301176210815246,0.03420232177964788
Quartiles,2014,4,0.0017858475255831952,0.004368912743114646
Quartiles,2014,5,-0.015194974417808113,-0.0414919215441459
Quartiles,2014,6,-0.02256094959542565,-0.06432437069430434
Quartiles,2016,1,0.0791235786353605,0.08557937653321905
Quartiles,2016,2,0.0825256699207318,0.11173638418889527
Quartiles,2016,3,0.07206136470475588,0.12433681632033074
Quartiles,2016,4,0.033733014721231615,0.05841089924343734
Quartiles,2016,5,0.00921937264496194,-0.00518148800740222
Quartiles,2016,6,-0.0012493088670040657,-0.03670661481437154
Quartiles,2017,1,-0.031226640591187294,-0.036271508771963834
Quartiles,2017,2,-0.03188029811473192,-0.048664025569532754
Quartiles,2017,3,-0.045966681386310326,-0.09830428247039746
Quartiles,2017,4,-0.09289706399131852,-0.25332062404399175
Quartiles,2017,5,-0.12391302359437362,-0.3775657374919617
Quartiles,2017,6,-0.1373693589390669,-0.4360446121729729
Quartiles,2018,1,-0.09383054468399994,-0.10729779374194164
Quartiles,2018,2,-0.11276327190829094,-0.16085520505105486
Quartiles,2018,3,-0.13352527857057087,-0.2460464944281009
Quartiles,2018,4,-0.19448298936986005,-0.44759128268758436
Quartiles,2018,5,-0.23857265438439865,-0.6109629288035948
Quartiles,2018,6,-0.25817835741577383,-0.687803436521094
Quartiles,2019,1,-0.06714857394952267,-0.08091263386342067
Quartiles,2019,2,-0.07598703188008116,-0.11643881727682936
Quartiles,2019,3,-0.0855768236917243,-0.17787100878869552
Quartiles,2019,4,-0.11283552199027602,-0.3035888430587059
Quartiles,2019,5,-0.13473272799303768,-0.40779673254881743
Quartiles,2019,6,-0.14475495102528824,-0.4571359136400037
Quartiles,2020,1,-0.0212655197749948,-0.024880639733717718
Quartiles,2020,2,-0.029778170053292235,-0.04275674286180431
Quartiles,2020,3,-0.05846457382170944,-0.11463903029016483
Quartiles,2020,4,-0.09540801503886671,-0.2475598353797374
Quartiles,2020,5,-0.11069292696552446,-0.32361927237144705
Quartiles,2020,6,-0.116198479193575,-0.35417185364345105
Quartiles,2021,1,-0.07016701212050865,-0.08534859937040891
Quartiles,2021,2,-0.06809586653998916,-0.10766245971066857
Quartiles,2021,3,-0.07067664629043773,-0.1557866535806093
Quartiles,2021,4,-0.10265702028341668,-0.292877067682389
Quartiles,2021,5,-0.12381785210625722,-0.3951477785358944
Quartiles,2021,6,-0.13277777086735135,-0.44086661380675835
Quartiles,2023,1,-0.13617324702248387,-0.17423970150856874
Quartiles,2023,2,-0.17455839585055496,-0.2890026184584979
Quartiles,2023,3,-0.21635927278475955,-0.5019107567377546
Quartiles,2023,4,-0.24866197411338986,-0.7514865838174002
Quartiles,2023,5,-0.2668317084953464,-0.8954012581455757
Quartiles,2023,6,-0.2746053715792888,-0.9538010395464352
Quartiles,2024,1,0.04022692248764285,0.043372993822645554
Quartiles,2024,2,0.02666441370403753,0.03397131827284842
Quartiles,2024,3,0.0009437820340894761,-0.007226291070248229
Quartiles,2024,4,-0.046731023145466656,-0.13450788868950672
Quartiles,2024,5,-0.0733623729547687,-0.2289014487144613
Quartiles,2024,6,-0.08423352030711846,-0.2714103837429456
Quartiles,2025,1,-0.11988279776377819,-0.13993074945210862
Quartiles,2025,2,-0.14827745530546363,-0.2210018072006541
Quartiles,2025,3,-0.18709155821633497,-0.3743814610949469
Quartiles,2025,4,-0.22606001762323016,-0.5773298890669438
Quartiles,2025,5,-0.24524372120591184,-0.7004975486594738
Quartiles,2025,6,-0.25265121676088415,-0.7516182008343041
Tertiles,1991,1,0.08687659797677856,0.09424570170682485
Tertiles,1991,2,0.09078853685845045,0.12392417133257021
Tertiles,1991,3,0.08918548796841026,0.15598435413648915
Tertiles,1991,4,0.042904218799837524,0.0793803075425572
Tertiles,1991,5,0.0065510076991721995,-0.010927393970275645
Tertiles,1991,6,-0.00938258650913811,-0.05617175546381681
Tertiles,1992,1,0.05310021469842474,0.05704544995450581
Tertiles,1992,2,0.04922313522484245,0.06585042794197908
Tertiles,1992,3,0.032329423537592605,0.05682869719031647
Tertiles,1992,4,-0.022232035966091912,-0.05858384178645585
Tertiles,1992,5,-0.055482555831986656,-0.1579365634272225
Tertiles,1992,6,-0.0689252918690677,-0.20405957641124317
Tertiles,1993,1,-0.04576877758726431,-0.055878468633800825
Tertiles,1993,2,-0.053267455853183786,-0.08581803842496634
Tertiles,1993,3,-0.07014910392034053,-0.157077720702957
Tertiles,1993,4,-0.1072890197528263,-0.3100311620690652
Tertiles,1993,5,-0.12890636379958978,-0.41612344142058405
Tertiles,1993,6,-0.13749813333998273,-0.4612105246252553
Tertiles,1994,1,0.007739516362760342,0.0060300000834961525
Tertiles,1994,2,0.029183258251049542,0.029991774469877292
Tertiles,1994,3,0.038311740491544254,0.036900820436185366
Tertiles,1994,4,-0.007443246458418318,-0.06287001487956918
Tertiles,1994,5,-0.04189224810947637,-0.15158305863426977
Tertiles,1994,6,-0.05705582605044609,-0.1938341951747775
Tertiles,1995,1,0.0029108201054283134,0.0034307651162817088
Tertiles,1995,2,-0.010291399574443508,-0.015349269197852067
Tertiles,1995,3,-0.03787045829111535,-0.08242507762817282
Tertiles,1995,4,-0.0747641143991263,-0.2029568390857935
Tertiles,1995,5,-0.09127690492360181,-0.269588885697603
Tertiles,1995,6,-0.09770252532589148,-0.29638353074725404
Tertiles,1996,1,-0.0376896145283534,-0.05334147497524885
Tertiles,1996,2,-0.024643000378095564,-0.04550024499870853
Tertiles,1996,3,-0.025783606389533736,-0.05661882624332145
Tertiles,1996,4,-0.09459539092961695,-0.2431740503160388
Tertiles,1996,5,-0.13705172439002608,-0.39337132568551425
Tertiles,1996,6,-0.15423446132154014,-0.4610068931131576
Tertiles,1997,1,-0.07578951590285347,-0.09245461811177247
Tertiles,1997,2,-0.1085481227421639,-0.16724308140917943
Tertiles,1997,3,-0.14007244280197761,-0.28856499320160056
Tertiles,1997,4,-0.1736493956612528,-0.4565140978130217
Tertiles,1997,5,-0.19080641723685968,-0.5572683251435052
Tertiles,1997,6,-0.19751167441502096,-0.5979256852759957
Tertiles,1998,1,0.014400597539123964,0.014576504808703353
Tertiles,1998,2,0.02315782267229453,0.032287729848372436
Tertiles,1998,3,0.026159820552220214,0.049830960821720595
Tertiles,1998,4,-0.0013996238029096257,-0.010665255244465932
Tertiles,1998,5,-0.02167204334733175,-0.07521239334486089
Tertiles,1998,6,-0.030774000866639284,-0.10824757321648981
Tertiles,1999,1,-0.10592360888021408,-0.12599232030535168
Tertiles,1999,2,-0.15568872725890837,-0.24210433531656048
Tertiles,1999,3,-0.20024096459344065,-0.4341992281038209
Tertiles,1999,4,-0.23013696528317962,-0.65308308758681
Tertiles,1999,5,-0.2474327773792893,-0.7895126745141926
Tertiles,1999,6,-0.25483491251557644,-0.8473669875271165
Tertiles,2000,1,-0.005669049152562833,-0.014860209032272476
Tertiles,2000,2,-0.015878975483143765,-0.0388129922352299
Tertiles,2000,3,-0.04143907863331472,-0.11388711339740354
Tertiles,2000,4,-0.0887179455191857,-0.26189691235518175
Tertiles,2000,5,-0.11641492517603753,-0.3645508648184223
Tertiles,2000,6,-0.12800881959040286,-0.4100540660045189
Tertiles,2001,1,-0.11653308581394402,-0.15190412992447108
Tertiles,2001,2,-0.10981314690574344,-0.18257341248159134
Tertiles,2001,3,-0.10736977899236566,-0.2409571977718845
Tertiles,2001,4,-0.12729148090537054,-0.3638619372730405
Tertiles,2001,5,-0.1441341717469167,-0.4585012136215501
Tertiles,2001,6,-0.15185517711470498,-0.501585692387985
Tertiles,2002,1,0.014274531684507727,0.007349013026675048
Tertiles,2002,2,-0.011734896946680617,-0.034187715175494425
Tertiles,2002,3,-0.03125174683036791,-0.08878718260682221
Tertiles,2002,4,-0.05450878421125064,-0.1820348352655333
Tertiles,2002,5,-0.07283425180060625,-0.26414449508853427
Tertiles,2002,6,-0.08110263947054148,-0.3031904010648641
Tertiles,2003,1,-0.03096344073165669,-0.0374024506132448
Tertiles,2003,2,-0.038665245528449264,-0.060748033112212475
Tertiles,2003,3,-0.035264847912694464,-0.0739762987893416
Tertiles,2003,4,-0.07163338373492915,-0.18725684497806463
Tertiles,2003,5,-0.09988199225960663,-0.29050565709917703
Tertiles,2003,6,-0.11246632374392274,-0.3398071656547052
Tertiles,2004,1,0.07734251240999179,0.08684043337723368
Tertiles,2004,2,0.09319798241031862,0.13205245803747032
Tertiles,2004,3,0.08037204922756865,0.14776550517147888
Tertiles,2004,4,-0.0032806181218798156,-0.020071783802225518
Tertiles,2004,5,-0.05616761324447354,-0.17326967323451795
Tertiles,2004,6,-0.07820894714896616,-0.24673356754781248
Tertiles,2005,1,-0.05113062229549218,-0.06234663739355787
Tertiles,2005,2,-0.06949447823480541,-0.11054533552616637
Tertiles,2005,3,-0.09732676192360878,-0.21114475711216407
Tertiles,2005,4,-0.15141156501103725,-0.4117978353202239
Tertiles,2005,5,-0.18532447368944213,-0.5578401733436126
Tertiles,2005,6,-0.19968519549398514,-0.6230286665846899
Tertiles,2006,1,-0.07250901747023027,-0.08667033527145307
Tertiles,2006,2,-0.07900424531809473,-0.12151957449043493
Tertiles,2006,3,-0.09671488151519207,-0.2004451991094037
Tertiles,2006,4,-0.12376723224199555,-0.32097369725142855
Tertiles,2006,5,-0.13879822223868352,-0.3973959616270581
Tertiles,2006,6,-0.14445151910379514,-0.4287981729775862
Tertiles,2007,1,0.04508707426985903,0.04517397184245242
Tertiles,2007,2,0.037737706592836186,0.04511337582877154
Tertiles,2007,3,0.00748600552817343,-0.0013026327145363819
Tertiles,2007,4,-0.06468007202021915,-0.18446869676118371
Tertiles,2007,5,-0.10938670025972248,-0.3333839757480508
Tertiles,2007,6,-0.1284069933860328,-0.4036832515443374
Tertiles,2008,1,0.023736931311831928,0.025725333850245224
Tertiles,2008,2,0.016829189047221638,0.02239461142740214
Tertiles,2008,3,-0.007614000643210865,-0.023062047131242824
Tertiles,2008,4,-0.05769832004781483,-0.16073261477919912
Tertiles,2008,5,-0.08576452556203762,-0.25795559266294027
Tertiles,2008,6,-0.09749916225757127,-0.30174827725686565
Tertiles,2009,1,-0.05547814260836703,-0.0750808893619106
Tertiles,2009,2,-0.05537257322622132,-0.09528143988381747
Tertiles,2009,3,-0.08227792095740323,-0.18682356306721135
Tertiles,2009,4,-0.12833316558177735,-0.3709848745553333
Tertiles,2009,5,-0.14973901052919916,-0.4824026768194892
Tertiles,2009,6,-0.15774844236065722,-0.5278756663737676
Tertiles,2010,1,-0.018791650762660317,-0.022147198894717796
Tertiles,2010,2,-0.03351567114215211,-0.0531211328948434
Tertiles,2010,3,-0.06483827886378961,-0.1498434503962859
Tertiles,2010,4,-0.11927213949342348,-0.352701309873576
Tertiles,2010,5,-0.15254344785694632,-0.49319832175893136
Tertiles,2010,6,-0.16660456230477497,-0.5550664406435448
Tertiles,2011,1,0.00027396802877714216,-0.0026211800735285173
Tertiles,2011,2,-0.0049305841395099375,-0.014920880840674519
Tertiles,2011,3,-0.02123932403143754,-0.05574933458841006
Tertiles,2011,4,-0.07884157232670774,-0.21810077486009968
Tertiles,2011,5,-0.1128253444973556,-0.3418804489804262
Tertiles,2011,6,-0.12640654074593413,-0.39664178182801874
Tertiles,2012,1,-0.16079122283657463,-0.1923886978788345
Tertiles,2012,2,-0.21508460142734154,-0.3360040363655113
Tertiles,2012,3,-0.29014874543845676,-0.6339831890136572
Tertiles,2012,4,-0.33611374083727313,-0.9539191874808942
Tertiles,2012,5,-0.35136554570541634,-1.111705496513614
Tertiles,2012,6,-0.35651113736111056,-1.1708252829939474
Tertiles,2013,1,-0.0008884208359018672,-0.0012757596141490524
Tertiles,2013,2,-0.004098769242108946,-0.008118508569731434
Tertiles,2013,3,-0.014963457733331706,-0.036715147724468565
Tertiles,2013,4,-0.057101297500740555,-0.15109892357680219
Tertiles,2013,5,-0.08317258189869059,-0.23716821917889983
Tertiles,2013,6,-0.09413802887607355,-0.2762423643082534
Tertiles,2014,1,-0.017174921974314732,-0.021693563146474897
Tertiles,2014,2,-0.02755662830981546,-0.043912030593423225
Tertiles,2014,3,-0.021553255211679317,-0.04841024624101342
Tertiles,2014,4,-0.03209071236728248,-0.09103114713423377
Tertiles,2014,5,-0.044622705983740775,-0.13830330706100055
Tertiles,2014,6,-0.050363393214615325,-0.16116071719873748
Tertiles,2016,1,0.09135434627004953,0.0988148419901577
Tertiles,2016,2,0.09298879062190098,0.13003192500547897
Tertiles,2016,3,0.07872154341707478,0.15068990939964713
Tertiles,2016,4,0.03323655190482951,0.08227390508813522
Tertiles,2016,5,0.004701809661457834,0.012714716261619685
Tertiles,2016,6,-0.007624289732221919,-0.02242252796696646
Tertiles,2017,1,-0.05064347383648471,-0.061225846706636076
Tertiles,2017,2,-0.05150111091225277,-0.07908995806010728
Tertiles,2017,3,-0.06650013321521513,-0.13844734705263825
Tertiles,2017,4,-0.10958982144452534,-0.2878015309832964
Tertiles,2017,5,-0.13743715096733586,-0.40088366583044
Tertiles,2017,6,-0.14922490415788647,-0.4521891447476154
Tertiles,2018,1,-0.07156806525609664,-0.08133976345626293
Tertiles,2018,2,-0.09361113718656329,-0.13309983056505356
Tertiles,2018,3,-0.13016876365929234,-0.24118353624707467
Tertiles,2018,4,-0.19845670369527638,-0.4635392298954888
Tertiles,2018,5,-0.2429036348817983,-0.6346257012286692
Tertiles,2018,6,-0.2621528439769377,-0.7140085406035547
Tertiles,2019,1,-0.04917552901198904,-0.06193802454196037
Tertiles,2019,2,-0.040407364669003555,-0.0648096201150586
Tertiles,2019,3,-0.037462078246331854,-0.08054585379467749
Tertiles,2019,4,-0.07054919205403509,-0.19540056608043255
Tertiles,2019,5,-0.09801123134934082,-0.30478858491713784
Tertiles,2019,6,-0.1104852687490742,-0.35825664131174645
Tertiles,2020,1,0.009472720323970951,0.007555701175591345
Tertiles,2020,2,-0.008367419532080164,-0.013602132379500365
Tertiles,2020,3,-0.049089101046270546,-0.10161200042965819
Tertiles,2020,4,-0.08882135957321506,-0.2453296706335483
Tertiles,2020,5,-0.10481692201544746,-0.3256967854887707
Tertiles,2020,6,-0.11077825826249126,-0.35829013487528477
Tertiles,2021,1,-0.07969686716371964,-0.09464405401850733
Tertiles,2021,2,-0.0780328874475232,-0.12013904370996216
Tertiles,2021,3,-0.07771843837124966,-0.16255181897602755
Tertiles,2021,4,-0.10631617526773444,-0.28108811538612805
Tertiles,2021,5,-0.1260708568287162,-0.3699631412718161
Tertiles,2021,6,-0.13449783702556817,-0.4097391182849668
Tertiles,2023,1,-0.15567751017344686,-0.20346233601596161
Tertiles,2023,2,-0.19242626679547017,-0.3257022349151309
Tertiles,2023,3,-0.2205274644867993,-0.5211432268357911
Tertiles,2023,4,-0.23677992681956792,-0.7219767939677061
Tertiles,2023,5,-0.24700952591831415,-0.8300195809902764
Tertiles,2023,6,-0.2515004057942111,-0.8715780701252352
Tertiles,2024,1,0.04256067612164357,0.03939775532724029
Tertiles,2024,2,0.02468892868398224,0.01806645640691107
Tertiles,2024,3,-0.008802653341654828,-0.05665123671875468
Tertiles,2024,4,-0.05948238982538515,-0.22189823299045752
