partition,year,scale,ratio,rms_absolute
25--70,2003,6,-0.1301247661045576,-0.3925221870961355
25--70,2004,1,0.030559454081970472,0.03533185569572295
25--70,2004,2,0.03119701221455151,0.04553517415354932
25--70,2004,3,0.010355113912194014,0.013202849717233475
25--70,2004,4,-0.058859044559734376,-0.17576333750082007
25--70,2004,5,-0.1039690839466219,-0.3366719409411513
25--70,2004,6,-0.12327535950505435,-0.4130065140559432
25--70,2005,1,-0.05744601205364989,-0.07005974115570505
25--70,2005,2,-0.07773063754623784,-0.12445753408656286
25--70,2005,3,-0.10990462500688625,-0.23853582198430345
25--70,2005,4,-0.1675852234958768,-0.4550894686329225
25--70,2005,5,-0.2030455341184545,-0.6109324309867509
25--70,2005,6,-0.21810089258782975,-0.6807203602856289
25--70,2006,1,-0.04751325758526196,-0.058117232511711414
25--70,2006,2,-0.048555015106910515,-0.07577494200162278
25--70,2006,3,-0.06348707289552091,-0.13069408970213012
25--70,2006,4,-0.09431206606427793,-0.24120160237449242
25--70,2006,5,-0.11131307575800924,-0.31482348889421274
25--70,2006,6,-0.11774969849689298,-0.34576900503118857
25--70,2007,1,0.03352851311516362,0.034722030665068924
25--70,2007,2,0.027920701152904497,0.03560038207332624
25--70,2007,3,0.0008998521544419935,-0.006010763230027916
25--70,2007,4,-0.07142945621736947,-0.19063583210341997
25--70,2007,5,-0.1166839276509007,-0.34368713249642785
25--70,2007,6,-0.13584149017768832,-0.41610929575419736
25--70,2008,1,0.045040388546925346,0.049218733323145226
25--70,2008,2,0.03854509498708584,0.05273921574538187
25--70,2008,3,0.010875535799102387,0.011741519824961522
25--70,2008,4,-0.04247365581632497,-0.12338294824342395
25--70,2008,5,-0.07177161582980644,-0.21906695402601115
25--70,2008,6,-0.08385193434940263,-0.26202823695536165
25--70,2009,1,-0.04251782149018816,-0.060555944776621885
25--70,2009,2,-0.03992270345891099,-0.07236460426671698
25--70,2009,3,-0.06638859570800715,-0.1514343769346372
25--70,2009,4,-0.11683780286355146,-0.3347727195703036
25--70,2009,5,-0.14167155083519276,-0.452820172018642
25--70,2009,6,-0.1512477753656886,-0.5025859923348639
25--70,2010,1,0.019082941824322647,0.022462683252100064
25--70,2010,2,0.016427094793833714,0.022689061487436213
25--70,2010,3,-0.006185964223784553,-0.030294593187267498
25--70,2010,4,-0.06359241288179629,-0.2050014130171934
25--70,2010,5,-0.09921479306135099,-0.33106697257700696
25--70,2010,6,-0.11426001651350581,-0.38730436546429675
25--70,2011,1,-0.020528406951705064,-0.02433414186217157
25--70,2011,2,-0.022751012315638548,-0.03590123093936729
25--70,2011,3,-0.031448392067471666,-0.06716498961575912
25--70,2011,4,-0.0910799408960491,-0.2415386172970022
25--70,2011,5,-0.12747898023828497,-0.3778760073200476
25--70,2011,6,-0.1421063644444893,-0.4384628204244443
25--70,2012,1,-0.1682195882980864,-0.2032374156259363
25--70,2012,2,-0.22651731712973164,-0.3598104745506103
25--70,2012,3,-0.308055974145006,-0.6910666428222282
25--70,2012,4,-0.3607085172210797,-1.0637827552033956
25--70,2012,5,-0.37860917948466694,-1.2514350051298508
25--70,2012,6,-0.3846959390316164,-1.3222857670401618
25--70,2013,1,0.00950244158977398,0.009763799679766816
25--70,2013,2,-0.0012841269815797955,-0.006468950943929741
25--70,2013,3,-0.021496639139537588,-0.05625463106949624
25--70,2013,4,-0.0697405334772238,-0.19053423824134796
25--70,2013,5,-0.09719547345133106,-0.2836963703920257
25--70,2013,6,-0.10834431301976193,-0.3245748583157706
25--70,2014,1,-0.00831086046674249,-0.010357655437306898
25--70,2014,2,-0.0067415418663459015,-0.01093187906189789
25--70,2014,3,0.01227718218787388,0.02180394714785801
25--70,2014,4,0.002118142481000581,0.003191530779995825
25--70,2014,5,-0.013058760957909551,-0.0376960076615358
25--70,2014,6,-0.02001666610494342,-0.058929275020529914
25--70,2016,1,0.08879504767397339,0.09684949475315537
25--70,2016,2,0.09081157331211213,0.12641816590073537
25--70,2016,3,0.07263561876874507,0.1353228294983455
25--70,2016,4,0.02902260745228047,0.0616098609943494
25--70,2016,5,0.0024408158278825067,-0.009142156900707002
25--70,2016,6,-0.00890916832928564,-0.04455013646832059
25--70,2017,1,-0.07250201559493792,-0.08637999568323791
25--70,2017,2,-0.07765315676671503,-0.11851989317880696
25--70,2017,3,-0.09133556728072319,-0.19011164110758574
25--70,2017,4,-0.1338706965847489,-0.35599141060153777
25--70,2017,5,-0.1622130155218312,-0.48005382133984487
25--70,2017,6,-0.1743003089752123,-0.535874914084595
25--70,2018,1,-0.08960982704392369,-0.10277712148631268
25--70,2018,2,-0.1142614235109571,-0.16453080611482282
25--70,2018,3,-0.1482460379472552,-0.27836737837710057
25--70,2018,4,-0.21394554477261174,-0.5052622000764005
25--70,2018,5,-0.25755081425807325,-0.6784559277719086
25--70,2018,6,-0.2765770446868603,-0.7584803842582059
25--70,2019,1,-0.05703087999562569,-0.0717447606064594
25--70,2019,2,-0.06390459253841833,-0.10228081810709888
25--70,2019,3,-0.07818108026071509,-0.17079843975274103
25--70,2019,4,-0.1194023743482322,-0.3399352409534287
25--70,2019,5,-0.14847803080552302,-0.47668019547481794
25--70,2019,6,-0.16120929750969196,-0.5404539081112171
25--70,2020,1,-0.03133843080134535,-0.03700158232799877
25--70,2020,2,-0.05296102263668786,-0.07822775442345635
25--70,2020,3,-0.09813345094701269,-0.2004949680609469
25--70,2020,4,-0.14172105872931992,-0.3818863455703987
25--70,2020,5,-0.15903724344234138,-0.4813097478340313
25--70,2020,6,-0.16534153694386858,-0.5208138232049446
25--70,2021,1,-0.08531468487627662,-0.10162156966914271
25--70,2021,2,-0.08067321336838222,-0.12280919120261717
25--70,2021,3,-0.07904093935632524,-0.16297982031075606
25--70,2021,4,-0.10545574442572525,-0.2796280996088578
25--70,2021,5,-0.12553437526131395,-0.3726771296122558
25--70,2021,6,-0.13432235354071273,-0.4152633586251528
25--70,2023,1,-0.15073818755291843,-0.19501918192557058
